mag,err,mjd,filter,JD,mag_err_all,norm_t,norm_m
17.26877978554747,0.0157085141903172,59720.309672250005,c,2459720.80967225,0.0157085141903172,16.219791249837726,0.0749202200956205
17.141238342323184,0.0197983116536342,59724.25390775,c,2459724.75390775,0.0197983116536342,20.16402674978599,-0.05262122312866424
16.722860113745078,0.0985156523555051,59709.03712975001,o,2459709.53712975,0.0985156523555051,4.947248749900609,-0.4709994517067706
16.559916122776833,0.0138698485527804,59710.18353025,o,2459710.68353025,0.0138698485527804,6.093649249989539,-0.6339434426750152
16.562445549797808,0.0385968474095008,59711.111029,o,2459711.611029,0.0385968474095008,7.0211479999125,-0.6314140156540411
16.88816929771043,0.0171279598991529,59714.190965500005,o,2459714.6909655,0.0171279598991529,10.101084500085562,-0.3056902677414186
17.037535686683306,0.0314121023946756,59715.0375985,o,2459715.5375985,0.0314121023946756,10.947717499919236,-0.1563238787685428
17.13924482855478,0.0244915197683228,59716.31742875,o,2459716.81742875,0.0244915197683228,12.227547749876976,-0.05461473689706864
17.172347399547927,0.0239171332120999,59717.067999750005,o,2459717.56799975,0.0239171332120999,12.97811874980107,-0.021512165903921243
17.19385956545185,0.020119240241151,59719.089881,o,2459719.589881,0.020119240241151,15.0,0.0
17.043535430928785,0.0135872417058016,59722.25150975,o,2459722.75150975,0.0135872417058016,18.161628749687225,-0.15032413452306415
16.931421779436043,0.0125159918791309,59724.77851999999,o,2459725.27852,0.0125159918791309,20.688639000058174,-0.2624377860158056
16.8752593834939,0.0178397947095484,59726.7780815,o,2459727.2780815,0.0178397947095484,22.688200499862432,-0.31860018195794737
16.913693108457423,0.0186274970423026,59727.32618614286,o,2459727.826186143,0.0186274970423026,23.236305142752826,-0.28016645699442577
16.864381010670197,0.0299733128834355,59728.734309,o,2459729.234309,0.0299733128834355,24.644427999854088,-0.32947855478165167
16.30770045181959,0.0104304289267831,59710.17247689981,ZTF_g,2459710.6724769,0.0104304289267831,6.0825958997011185,-0.8861591136322602
16.528194428826083,0.0115804016224874,59712.171747699846,ZTF_g,2459712.6717477,0.0115804016224874,8.081866699736565,-0.6656651366257655
16.956723473591488,0.0250184769298362,59714.232847199775,ZTF_g,2459714.7328472,0.0250184769298362,10.142966199666262,-0.23713609186036066
17.324941675145503,0.0132106168451654,59722.19501159992,ZTF_g,2459722.6950116,0.0132106168451654,18.105130599811673,0.1310821096936543
17.2829358295537,0.017046879708437,59724.19427079987,ZTF_g,2459724.6942708,0.017046879708437,20.104389799758792,0.08907626410185188
16.500658443573354,0.0122891091029197,59710.23461809987,ZTF_r,2459710.7346181,0.0122891091029197,6.144737099763006,-0.693201121878495
16.545891477064096,0.0106320672780092,59712.19347220007,ZTF_r,2459712.6934722,0.0106320672780092,8.103591199964285,-0.6479680883877528
16.797972779956055,0.0128580446657178,59714.17134260014,ZTF_r,2459714.6713426,0.0128580446657178,10.081461600027978,-0.3958867854957937
17.181975484401356,0.0244000436672017,59717.2486343002,ZTF_r,2459717.7486343,0.0244000436672017,13.158753300085664,-0.011884081050492767
17.175031470192856,0.0146473185922351,59719.22836809978,ZTF_r,2459719.7283681,0.0146473185922351,15.138487099669874,-0.01882809525899276
