mag,err,mjd,filter,JD,mag_err_all,norm_t,norm_m
19.790039558423263,0.0794026348108653,59080.48554009999,c,2459080.9855401,0.0794026348108653,8.047638866584748,-1.1373430771404394
21.157724967479854,0.347424,59084.52263774999,c,2459085.02263775,0.347424,12.084736516699195,0.23034233191615172
20.61039433685717,9999.0,59088.4781845,c,2459088.9781845,9999.0,16.040283266454935,-0.31698829870653356
20.17443186736137,0.1709925204074518,59082.5528506,o,2459083.0528506,0.1709925204074518,10.114949366543442,-0.7529507682023322
19.99973967596549,0.1570510070268786,59086.49365433333,o,2459086.9936543335,0.1570510070268786,14.055753100197762,-0.927642959598213
20.455518221893872,9999.0,59090.5366898,o,2459091.0366898,9999.0,18.09878856688738,-0.4718644136698309
19.91632027842941,9999.0,59092.4966455,o,2459092.9966455,9999.0,20.05874426662922,-1.0110623571342927
19.774044340414697,9999.0,59094.494885750006,o,2459094.99488575,9999.0,22.056984516792,-1.1533382951490054
19.62887395869756,9999.0,59096.47529975,o,2459096.97529975,9999.0,24.037398516666144,-1.2985086768661418
20.907879373114277,0.1081096801823512,59079.47049190011,ZTF_g,2459079.9704919,0.1081096801823512,7.032590666785836,-0.019503262449426018
19.50526256969657,0.0560557558513594,59080.41118060006,ZTF_g,2459080.9111806,0.0560557558513594,7.973279366735369,-1.4221200658671336
19.49848548410297,0.0514735818846689,59081.46959490003,ZTF_g,2459081.9695949,0.0514735818846689,9.031693666707724,-1.4288971514607312
19.929682457355,0.0527052226821707,59082.39792053308,ZTF_g,2459082.897920533,0.0527052226821707,9.96001929976046,-0.9977001782087029
20.746901639182497,0.1415725590155526,59084.47383099981,ZTF_g,2459084.973831,0.1415725590155526,12.035929766483605,-0.18048099638120618
21.49561271974722,0.0884140878597162,59085.36549769994,ZTF_g,2459085.8654977,0.0884140878597162,12.927596466615796,0.5682300841835186
21.48929569555832,0.1712282240746916,59086.47533565015,ZTF_g,2459086.97533565,0.1712282240746916,14.03743441682309,0.561913059994616
21.777977292209822,0.2409273603039825,59087.14721450023,ZTF_g,2459087.6472145002,0.2409273603039825,14.709313266910613,0.8505946566461198
20.71942524656011,0.0865982552398493,59079.424976833165,ZTF_r,2459079.924976833,0.0865982552398493,6.9870755998417735,-0.2079573890035924
19.44146949072981,0.0558969238765901,59080.482777799945,ZTF_r,2459080.9827778,0.0558969238765901,8.044876566622406,-1.4859131448338943
19.551889925946792,0.0338984187649787,59081.11707946658,ZTF_r,2459081.6170794666,0.0338984187649787,8.679178233258426,-1.3754927096169105
19.75216406917136,0.0617265695355192,59082.47560765036,ZTF_r,2459082.9756076504,0.0617265695355192,10.037706417031586,-1.175218566392342
19.96303774887905,0.0897509530515476,59082.50699070003,ZTF_r,2459083.0069907,0.0897509530515476,10.069089466705918,-0.9643448866846533
20.49716605516861,0.1268599775237857,59084.491169000044,ZTF_r,2459084.991169,0.1268599775237857,12.053267766721547,-0.4302165803950935
21.00153471970478,0.0620582536366139,59085.16849827487,ZTF_r,2459085.668498275,0.0620582536366139,12.730597041547298,0.0741520841410761
20.899020921763643,0.095038840894792,59086.40279323375,ZTF_r,2459086.9027932337,0.095038840894792,13.964892000425607,-0.028361713800059363
20.927382635563703,0.11123438968676,59087.43790123332,ZTF_r,2459087.9379012333,0.11123438968676,15.0,0.0
21.08443015375877,0.1270740682481694,59088.39730326645,ZTF_r,2459088.8973032665,0.1270740682481694,15.959402033127844,0.15704751819506768
20.929668815781348,0.0971580336612351,59089.451527799945,ZTF_r,2459089.9515278,0.0971580336612351,17.013626566622406,0.0022861802176450396
21.466615202195143,0.1618877110921001,59090.466354133096,ZTF_r,2459090.966354133,0.1618877110921001,18.028452899772674,0.5392325666314406
20.87793656196014,0.0904441703593731,59091.46908950014,ZTF_r,2459091.9690895,0.0904441703593731,19.03118826681748,-0.04944607360356201
21.08625920072715,0.2676485319722416,59093.36864196649,ZTF_r,2459093.8686419665,0.2676485319722416,20.930740733165294,0.15887656516344606
20.58421463614137,0.1754082402100656,59095.41689237487,ZTF_r,2459095.916892375,0.1754082402100656,22.978991141542792,-0.34316799942233445
