mag,err,mjd,filter,JD,mag_err_all,norm_t,norm_m
18.34757568315844,0.028444040216013,59811.25365225,c,2459811.75365225,0.028444040216013,18.855527250096202,-0.9027642374446359
17.770533911189272,0.0345275618374558,59815.238376,c,2459815.738376,0.0345275618374558,22.84025100013241,-1.479806009413803
19.386587902921683,9999.0,59799.270612,o,2459799.770612,9999.0,6.872487000189722,0.1362479823186078
17.963774175622166,0.0336238275382665,59800.705324375,o,2459801.205324375,0.0336238275382665,8.30719937523827,-1.2865657449809085
17.68247683687916,0.0684369469851673,59801.285452,o,2459801.785452,0.0684369469851673,8.88732700003311,-1.567863083723914
18.27152022523473,0.1602844417432909,59802.38925760001,o,2459802.8892576,0.1602844417432909,9.991132600232959,-0.9788196953683439
18.58873510116534,0.0650155065964886,59808.4749605,o,2459808.9749605,0.0650155065964886,16.076835500076413,-0.6616048194377342
18.31274941609091,0.046211071017187,59810.52771350001,o,2459811.0277135,0.046211071017187,18.12958850013092,-0.9375905045121655
17.988311446266007,0.0355244758518558,59812.49691375,o,2459812.99691375,0.0355244758518558,20.098788750357926,-1.2620284743370682
17.825086523992844,0.0259050336376509,59813.05429975,o,2459813.55429975,0.0259050336376509,20.656174750067294,-1.4252533966102305
17.69103064246764,0.0304967582928614,59814.54775875,o,2459815.04775875,0.0304967582928614,22.14963375031948,-1.5593092781354336
17.387446850733056,0.0174948874026358,59801.42236110009,ZTF_g,2459801.9223611,0.0174948874026358,9.024236100260168,-1.8628930698700188
19.250339920603075,0.099881754122705,59807.39812499983,ZTF_g,2459807.898125,0.099881754122705,15.0,0.0
18.53760721715056,0.0359138479317696,59810.38418979989,ZTF_g,2459810.8841898,0.0359138479317696,17.986064800061285,-0.7127327034525166
18.179721091397923,0.0204439038602307,59812.42693290021,ZTF_g,2459812.9269329,0.0204439038602307,20.028807900380343,-1.0706188292051522
17.911222410470412,0.0170103214363274,59814.42084489996,ZTF_g,2459814.9208449,0.0170103214363274,22.022719900123775,-1.3391175101326631
17.647519324913638,0.0139105755958869,59816.43646989996,ZTF_g,2459816.9364699,0.0139105755958869,24.038344900123775,-1.6028205956894368
18.136543503011094,0.0270273323966826,59810.42096060002,ZTF_r,2459810.9209606,0.0270273323966826,18.022835600189865,-1.1137964175919812
