mag,err,mjd,filter
19.790039558423263,0.07940263481086539,59080.48554009999,c
21.157724967479858,0.347424,59084.52263774999,c
20.610394336857166,9999.0,59088.478184499996,c
20.17059945676174,9999.0,59074.575512,o
20.233998008702766,9999.0,59076.613453000005,o
20.618166717428263,9999.0,59078.52954825,o
20.17443186736137,0.17099252040745186,59082.5528506,o
19.999739675965486,0.1570510070268786,59086.493654333324,o
20.455518221893872,9999.0,59090.5366898,o
19.91632027842941,9999.0,59092.4966455,o
19.774044340414697,9999.0,59094.494885750006,o
19.628873958697557,9999.0,59096.47529975,o
18.85638253479794,9999.0,59097.5602455,o
19.573118236779088,9999.0,59098.497547499996,o
20.04927275052765,9999.0,59100.47076875,o
20.56479322278585,0.24272589760479685,59101.4945925,o
20.906707715256456,0.3450682746413108,59102.482121,o
20.871455243815273,0.3242555249966638,59104.545688750004,o
20.45187929701603,9999.0,59106.47812566667,o
20.907879373114273,0.10810968018235123,59079.47049190011,ZTF_g
19.505262569696566,0.05605575585135948,59080.41118060006,ZTF_g
19.49848548410297,0.05147358188466898,59081.46959490003,ZTF_g
19.929682457355,0.05270522268217076,59082.39792053308,ZTF_g
20.746901639182497,0.14157255901555263,59084.47383099981,ZTF_g
21.49561271974722,0.08841408785971627,59085.36549769994,ZTF_g
21.48929569555832,0.17122822407469168,59086.475335650146,ZTF_g
21.777977292209826,0.24092736030398254,59087.14721450023,ZTF_g
20.71942524656011,0.08659825523984936,59079.424976833165,ZTF_r
19.44146949072981,0.055896923876590114,59080.482777799945,ZTF_r
19.551889925946792,0.033898418764978774,59081.11707946658,ZTF_r
19.75216406917136,0.06172656953551924,59082.475607650355,ZTF_r
19.96303774887905,0.08975095305154765,59082.50699070003,ZTF_r
20.49716605516861,0.1268599775237857,59084.491169000044,ZTF_r
21.00153471970478,0.06205825363661395,59085.16849827487,ZTF_r
20.899020921763643,0.09503884089479209,59086.40279323375,ZTF_r
20.927382635563703,0.11123438968676005,59087.43790123332,ZTF_r
21.084430153758774,0.12707406824816941,59088.39730326645,ZTF_r
20.929668815781348,0.0971580336612351,59089.451527799945,ZTF_r
21.466615202195143,0.16188771109210012,59090.466354133096,ZTF_r
20.87793656196014,0.09044417035937316,59091.46908950014,ZTF_r
21.08625920072715,0.2676485319722416,59093.36864196649,ZTF_r
20.58421463614137,0.17540824021006562,59095.416892374866,ZTF_r
20.28882620097998,0.18045949112966345,59097.4646469499,ZTF_r
20.666966654989633,0.29228428383610544,59098.38232639991,ZTF_r
20.61116214502186,0.3038055983198723,59099.338634300046,ZTF_r
21.24602398933683,0.24324816454047707,59106.387170149945,ZTF_r
