mag,err,mjd,filter
20.2795465752762,9999.0,59086.57053425,c
18.36980476151639,0.03119107217986296,59106.52018275,c
18.610367075825923,0.04126096824512163,59110.48971525,c
18.888313511009,0.0598993509813259,59114.49174625,c
19.922280320265426,0.24081633705845878,59138.51545,c
20.587241245455477,9999.0,59084.5551025,o
19.124055905619812,0.06749208948245483,59088.59076575001,o
19.650013528088998,0.11840376972547885,59090.571302,o
19.08878454570128,0.11838538758952152,59092.5220305,o
18.67058597731409,0.11614432487202424,59094.467294999995,o
18.018377484176302,0.033313515718318816,59102.545792,o
17.930510277041538,0.0257490817240601,59104.48429925,o
17.9452151139998,0.02641592573560669,59108.491616499996,o
18.285048428173553,0.036779349702409904,59112.48853325,o
18.90252891968575,0.08964592162841593,59120.47608275,o
19.355976330486584,0.10879706603132687,59130.52462625,o
19.101883335221572,0.08182318739219284,59132.44621225,o
19.341519892612197,0.1092586329298421,59134.574632,o
19.344784946692403,0.08715806091810245,59136.519104000006,o
18.945950379250878,0.02937123957152124,59087.48306134995,ZTF_g
19.57671665065053,0.07856538132383799,59089.48275459977,ZTF_g
20.16841233447066,0.12046395155069758,59090.43241900019,ZTF_g
19.8222639854393,0.05828376232063069,59091.40471064998,ZTF_g
19.38037330161533,0.0578300019231692,59092.405848733615,ZTF_g
19.189381676819103,0.11086229882075996,59093.437384299934,ZTF_g
18.9172532378521,0.08016212225713176,59094.48098955024,ZTF_g
19.08403462299117,0.1409259643374947,59095.34132524999,ZTF_g
18.843139380231108,0.08890953983098722,59096.501296299975,ZTF_g
18.673901378069367,0.2611000241666707,59102.50020830007,ZTF_g
18.798162115865725,0.029600066420274247,59107.10152393347,ZTF_g
19.19631112668471,0.07530268528854545,59110.339513900224,ZTF_g
19.613722790451362,0.06738673048379541,59113.416562499944,ZTF_g
20.065547150195233,0.09554627287409569,59116.504814799875,ZTF_g
20.09449315413693,0.0915683154389113,59118.47579859989,ZTF_g
20.338373307543325,0.16939388699691318,59119.37501160009,ZTF_g
20.1018439735951,0.1080789785733467,59120.34066360025,ZTF_g
20.02482892403431,0.11042617186676937,59121.34243826708,ZTF_g
20.45531799918373,0.24191934284347366,59122.33292436646,ZTF_g
20.20806740429439,0.22359977894492095,59128.34685184993,ZTF_g
20.60243894957623,0.15872193493040648,59129.37322335038,ZTF_g
20.607143782525405,0.13313526573569717,59130.38057100028,ZTF_g
20.671568484179133,0.17245140360664166,59131.36791665014,ZTF_g
20.4916311324171,0.1948248713809417,59134.38090279978,ZTF_g
20.770019416607123,0.10570873563826182,59135.28556710016,ZTF_g
20.77912808598941,0.08383634879587679,59136.36255013337,ZTF_g
20.703930184588053,0.10349119224602454,59137.405381950084,ZTF_g
20.906068772835763,0.23177376662491112,59138.372569399886,ZTF_g
19.43133576014374,0.050429505867593066,59087.44914350007,ZTF_r
18.81049963525648,0.042713544495771714,59088.441469899844,ZTF_r
19.597095638745245,0.10232889887511407,59089.47315970017,ZTF_r
19.743728143016536,0.0727077571113537,59090.467384300195,ZTF_r
19.548185205903696,0.04215664388324481,59090.7545659747,ZTF_r
18.976872354715255,0.07100943507148566,59093.38156250026,ZTF_r
18.744552495169465,0.04397648080262948,59094.41045136005,ZTF_r
18.487703462426424,0.031893097358544294,59095.449730900116,ZTF_r
18.400027516792814,0.03613137374392319,59096.38605323387,ZTF_r
17.915974378519564,0.04039746897912538,59102.446018533316,ZTF_r
17.799505746317344,0.03675990283355646,59104.424294000026,ZTF_r
17.895448261477803,0.0218516736063542,59107.4209838002,ZTF_r
18.06894483257894,0.015075364210372231,59110.45592010021,ZTF_r
18.220603334233473,0.021720376615736215,59112.415960600134,ZTF_r
18.372577744468874,0.026265750049144127,59113.420520800166,ZTF_r
18.501513733903153,0.03151354805067999,59115.350185200106,ZTF_r
18.576960086622737,0.021118166881304523,59116.39020255022,ZTF_r
18.776373048411724,0.014497025561950976,59118.410692516714,ZTF_r
18.98511088379638,0.12545828785360133,59123.35331019992,ZTF_r
18.977281449701046,0.11355238426890762,59124.375231499784,ZTF_r
19.37985322011427,0.07551751741395879,59130.42304399982,ZTF_r
19.555822192951823,0.08718578624978253,59134.42355319997,ZTF_r
19.477053827790186,0.06658513310636599,59136.319363399874,ZTF_r
19.71905575719672,0.09039499131813815,59138.34959489992,ZTF_r
