SN_ID,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
snztf18,-1.8626801586941664,0.0983574130113011,-0.0897434758715897,-3.161607731441124,7.200226968670023,13.253308817800177,-5.5435635821801945
sn18dfi,-0.2471556726269901,0.0919210581714993,-0.0586932504749853,-1.8807941229752752,6.366673393092746,13.359779144998049,-2.9251914835772848
sn19rwd,-0.6804567496289373,0.0703204690901856,-0.0361356306410809,-1.6576386782991832,8.559194349941132,13.16520851395357,-2.123766869661902
sn20ano,-1.219848638288349,0.2741793203580791,-0.0974476041431072,-4.560904789494716,9.353552310050752,14.503143736730332,-5.5038613417506985
sn20ikq,-1.3125647029887455,0.0232527502987415,-0.0456466410608429,-0.6232324961434619,-0.7103999868464885,13.961533662019033,-1.4327551588762146
sn20rsc,-1.6380592323691254,0.1306392919910406,-0.1637792030127118,-3.4771611779997915,7.619531158168899,16.005775347375007,-0.9269022597385468
sn20sbw,-4.973065780980088,0.5743125033154957,-0.2390844448624796,-10.4743640024528,12.150482774201308,14.189049332503725,-3.541403440081679
sn21gno,-3.179642475903455,-0.0347027694009448,-0.1109903252390264,-0.0249849086996076,10.910618912150284,14.35211867700559,-2.787903640359072
sn21heh,-1.402309956210393,0.1234210000165208,-0.0773159249847677,-2.018570491768591,1.940473323141529,13.72959913263372,-1.906975510620548
sn21pb,-1.4007638869206094,0.1194124379716879,-0.1531355770174284,-3.847865691674076,8.140442517723683,12.806405551980442,-2.61778799344113
sn21vgn,-1.0215177591117828,0.1547095513454831,-0.0856876659924622,-3.037147310410573,8.379797799343006,14.269291913224992,-2.4674127723989066
sn22hnt,-1.469353388733755,0.2661909424155529,-0.1322019478860103,-4.774696541101476,9.239076649483444,14.128150406344147,-2.705785909400407
sn22jpx,-1.080998267049475,0.0918725551644855,-0.0428276511888349,-1.2987560901875617,3.7966265787537856,12.126498736239904,-2.015146317952658
sn22qzr,-1.712288679158492,0.147003332225376,-0.1530142581770854,-4.393885500399898,8.404553596543613,12.87055629927933,-3.445937620820088
