SN_ID,t_min,t_max
snztf18,5.866770799737424,24.908703699707985
sn18dfi,2.8501852001063526,24.831932900007814
sn19rwd,7.8673147996887565,18.951041599735618
sn20ano,9.863252299837768,24.922013899777085
sn20ikq,-3.094292499590665,22.95023290021345
sn20rsc,7.028414399828762,24.961666699964553
sn20sbw,11.054438900202513,20.99026620015502
sn21gno,8.927882200106978,24.946898399852216
sn21heh,6.0159028000198305,23.976863499730825
sn21pb,9.904794799629599,19.890847999602556
sn21vgn,6.97166969999671,23.932387300301343
sn22hnt,9.95053240004927,23.91949070012197
sn22jpx,4.85206489963457,18.94458999997005
sn22qzr,9.024236100260168,24.038344900123775
