SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g
snztf18,-1.894898580469753,0.2836709888052294,-0.0346339824999196,-3.682764445560381,6.480501125577836,12.30511194345241,-4.507408966299956
sn18dfi,-2.581739960386609,0.1433797099327332,-0.0537616703969245,-1.909138437916412,4.969857444629161,14.41761658987733,-2.275822704616573
sn19rwd,-0.7401445495440206,0.1409014179855979,-0.0491499335202915,-1.90780698225772,8.353929704832897,14.17480814292625,-2.6481739274292733
sn20ano,,0.4983764954347748,-0.1008795001758157,-6.572783261399817,,14.67075774190645,-4.74967720510411
sn20ikq,-1.0890475588608286,0.0908810259096929,0.0114997039880566,-1.0409603865878312,0.0832232266493911,11.259932896988545,-1.798152451269467
sn20rsc,-2.4899487886907687,0.3478850368630085,-0.0450237060712002,-4.761371148216848,7.704197916791106,17.079262709385986,-2.069299308622968
sn20sbw,-4.072592593557231,0.3402767927491762,-0.2171227827837172,-4.728208884833127,11.6030503074009,14.895997306338174,-2.264486096602143
sn21gno,-2.706942990525093,0.1403251153759957,-0.0979832234137638,-1.9337043335000383,10.50314555453708,15.018440347138442,-1.433260731990072
sn21heh,,0.1999408495844947,-0.0515478848279268,-2.0973343334923538,,13.624307949052042,-1.1557774990396386
sn21pb,,0.3837177085455737,-0.0934024523303518,-4.758604205779735,,12.77734625815069,-1.844508682533971
sn21vgn,-1.0115058911948256,0.1990767772618396,-0.0743965028997223,-2.722169152772224,8.13754696213196,14.936211669309944,-2.7080846912901047
sn22hnt,,0.4067375643167407,-0.1597072604229593,-5.372787496966158,,14.904132717986483,-1.5570914041081798
sn22jpx,,0.1282598148871838,-0.0279517503593436,-1.3762960676511968,,11.764964126831702,0.3308377537647614
sn22qzr,,0.3269035264957923,-0.1552694979944643,-4.809462976400045,,14.304671625162504,-3.288632264196427
