SN_ID,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
snztf18,-1.3313074117692207,0.2291577595130097,-0.0558524039804877,-1.8976662668618651,8.057417884511546,16.29995606610666,-3.462593281401201
sn18dfi,-0.1220974016799087,0.1204773254987305,-0.0484789182601044,-1.568286521867909,7.20716498305173,14.22337734255486,-2.375532866085565
sn19rwd,-0.3191491318152623,0.1154861681200164,-0.0225270803183836,-1.1570670745337708,9.104634074992015,14.5883156978142,-1.6908523077387736
sn20ano,-0.3621033175416048,0.3284126847562507,-0.0724048324051506,-3.934892491723669,10.050349983302,15.237139898136082,-3.271976088609358
sn20ikq,-0.4670099928830086,0.0345667589124103,0.0023994587646045,-0.502453885263331,0.4456477768064745,19.188248372284008,-0.8697788376928076
sn20rsc,-0.5554653815626045,0.2039576155167392,-0.0825225491073288,-2.4411742554379936,8.549140603975875,17.57526154818972,-0.4579794419009305
sn20sbw,-1.1707668559538895,0.753848571691773,-0.2190543199518927,-8.114720543570664,12.589854717280684,14.457897984302804,-2.4810246669771683
sn21gno,-1.78197372532944,-0.0052215588103124,-0.0995406282489103,0.3395885516072351,10.963902444385624,15.23801389738454,-2.3730362825396365
sn21heh,0.1120148888679672,0.1520611655196971,-0.0555573713880345,-1.6819529421453732,5.809267564090352,14.277217670791032,-1.3357197851821263
sn21pb,-0.5104264779609434,0.2964150066504386,-0.0814421858182999,-1.8081656333937643,9.59132715240064,14.35757960146252,-0.8000266644818597
sn21vgn,-0.8591047233415796,0.2126267440979474,-0.067934467802486,-2.298848243045853,8.663732762745825,14.91778294811451,-1.6950160207922722
sn22hnt,-0.5841542388259243,0.3364324213436314,-0.1164347956891848,-3.8921625977500938,10.338463686796512,14.583141226532936,-2.0689932579673367
sn22jpx,-0.7110880266998781,0.1049738118798836,-0.0354832189170012,-1.1611854735769318,4.223122872606523,12.489994815987316,-1.604823413905294
sn22qzr,-1.004286277069261,0.3204934843027803,-0.1315292353142204,-2.842597683397736,8.647157284133613,15.255904717193692,-2.793186387868765
