SN_ID,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r
snztf18,-1.607324681132786,0.1281119198457306,-0.072735293227426,-2.160737759590813,7.679506270806085,14.979879702639948,-4.560905051142621
sn18dfi,-0.1709560545791643,0.1083151233537247,-0.0531218058787026,-1.749192654265737,6.830513190149883,13.667015339075668,-2.656726137898824
sn19rwd,-0.4733051687240457,0.091771340908097,-0.0292286087313974,-1.3939254014679288,8.781263407565458,13.807811654806656,-1.9047746618649968
sn20ano,-0.710381322700604,0.2992398018573079,-0.0844710507085169,-4.218604100789345,9.64847363188722,14.83471490664953,-4.441431789616749
sn20ikq,-0.8240104550209313,0.0285178003579134,-0.0174418334115978,-0.561784695925265,-0.0115002108391078,17.540185228317288,-1.1446358179000515
sn20rsc,-1.054974417025381,0.1628071494371703,-0.1209439558768186,-2.910198733013196,7.978924480234184,16.734658916919678,-0.6894817422886537
sn20sbw,-2.9526640516555496,0.6770141605283071,-0.2288494905220271,-9.465049806901352,12.269101628635614,14.298749283841923,-2.95492372143526
sn21gno,-2.531568973569559,-0.0229162063144375,-0.1051044220865318,0.1906091723974562,10.929793078917657,14.877640948304103,-2.583764628903721
sn21heh,-0.3483589211085052,0.1375089851500258,-0.0658635238531604,-1.84549655730544,3.942771511160703,13.988281546525329,-1.620877250779842
sn21pb,-0.7647481614685759,0.1978872024559171,-0.1176365548951473,-2.7080653005120103,9.19327301816543,13.437362237916528,-1.456083904511559
sn21vgn,-0.9395602100919644,0.1797452618769496,-0.0768533586166032,-2.6152977679952576,8.504165543084666,14.591756351105731,-2.0542257440282787
sn22hnt,-0.8925760341782458,0.3039628047601371,-0.12432783412731,-4.363900041773668,10.147552100651502,14.341342940789517,-2.374862986922317
sn22jpx,-0.8582134165509026,0.0984601956903967,-0.0391461242867826,-1.230742397157964,4.016110672847124,12.310498455320047,-1.816767533590536
sn22qzr,-1.265525583078285,0.2245109413802016,-0.1419672323212433,-3.5311886341973096,8.521339414817598,13.90321325225374,-3.0922989686125715
