JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,norm_t,norm_m,max_ztf_err,mag_err_all
2458226.8385995,ZTF_r,23.589919916810658,,1.1942021859796093,,ztf,4.981712899636477,2.9970771162271106,1.1942021859796093,1.1942021859796093
2458226.8581597,ZTF_r,23.35729922718821,,1.0618761051328498,,ztf,5.001273099798709,2.7644564266046636,1.0618761051328498,1.0618761051328498
2458226.8784722,ZTF_r,23.810909042545354,,1.4214687270380217,,ztf,5.021585599984974,3.2180662419618073,1.4214687270380217,1.4214687270380217
2458226.8794213,ZTF_r,25.746977572699763,,3.1417943253769174,,ztf,5.022534699644893,5.154134772116215,3.1417943253769174,3.1417943253769174
2458227.8331134,ZTF_g,19.614308535345597,0.06379638687232259,0.06025492687834344,,ztf,5.976226799655706,-0.9785342652379505,0.06379638687232259,0.06379638687232259
2458227.8350116,ZTF_g,19.661391108716376,0.06821549341163191,0.06418178144613762,,ztf,5.978124999906868,-0.9314516918671707,0.06821549341163191,0.06821549341163191
2458227.8572106,ZTF_g,19.53529916443511,0.06230063384252915,0.05891892914037555,,ztf,6.000323999673128,-1.0575436361484378,0.06230063384252915,0.06230063384252915
2458227.8581597,ZTF_g,19.54924140510729,0.06819571663868018,0.06416427475884845,,ztf,6.001273099798709,-1.0436013954762586,0.06819571663868018,0.06819571663868018
2458227.8957639,ZTF_i,20.71992628327437,0.38067601536277706,0.28129932318336515,,ztf,6.03887729998678,0.12708348269082137,0.38067601536277706,0.38067601536277706
2458229.8193981,ZTF_g,18.824467865875253,0.031986598000585786,0.0310711543166029,,ztf,7.962511499878019,-1.7683749347082944,0.031986598000585786,0.031986598000585786
2458229.837963,ZTF_g,18.88021034918298,0.0340739655987683,0.033037071358336334,,ztf,7.981076399795711,-1.712632451400566,0.0340739655987683,0.0340739655987683
2458229.8389005,ZTF_g,18.923072305221897,0.03449438464212662,0.03343214209959555,,ztf,7.982013899832964,-1.6697704953616501,0.03449438464212662,0.03449438464212662
2458229.8398495,ZTF_g,18.880946005949063,0.03311975688434643,0.03213929252321179,,ztf,7.982962899841368,-1.7118967946344839,0.03311975688434643,0.03311975688434643
2458229.8935648,ZTF_r,19.20714171788848,0.042367906380931686,0.040776519136695555,,ztf,8.036678199656308,-1.3857010826950678,0.042367906380931686,0.042367906380931686
