field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,mag,mag_err_lower,mag_err_upper
678,6,3,ZTF_g,460405112315,56,4.6879,192.92,90.591,24.125,0.00147753,0.0564426,-0.0806903,0.00422162,26,30.0,0.086573,0.0819,16.864,26.325,2,2458214.9051157,678120123,-832.107683262577,759.928043049344,-1.21804087315568,0.959744924574987,-473.59537062935,911.364176237909,-0.523155369862093,1.27051237851111,1.66334284043528,21.2240001678467,0.0900000035762787,0.828000009059906,-0.0509999990463257,2458166.987847,2458204.95941,0,,,
678,6,3,ZTF_r,462362962315,0,3.7195,159.754,5.14549,26.2501,6.9759e-06,0.0274507,0.134654,1.22159e-05,611,30.0,0.065828,0.062579,20.307,26.2501,3,2458216.862963,678120223,-67.6103642654351,30.6148870363329,-2.45660547596479,1.07652876883018,-108.201467175548,44.8992131507269,-2.42610510604402,1.11301484332174,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,
678,6,3,ZTF_r,462363902315,0,3.7082,158.665,5.23906,26.2595,7.5688e-06,0.0284806,0.127139,1.32342e-05,610,30.0,0.06722,0.059336,20.268,26.2595,1,2458216.8639005,678120223,9.49006061511028,33.8653922777022,0.311722159970104,0.948551175034074,66.3260821318719,48.6558812163629,1.3723478116483,1.12644726940999,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,23.81632753407301,,22.16689068189799
678,6,3,ZTF_r,462364842315,0,3.5942,159.212,5.21005,26.2514,5.886e-06,0.0251131,0.127631,1.02938e-05,610,30.0,0.063782,0.060638,20.305,26.2514,2,2458216.8648495,678120223,-35.2217230308124,32.9216826189193,-1.19009978009686,0.954587450710741,-38.1205568166479,48.0955701546075,-0.797938372218137,1.1165641727554,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,
678,6,3,ZTF_r,462384452315,0,4.054,158.522,5.81775,26.2479,8.4004e-06,0.0289788,0.133043,1.45887e-05,570,30.0,0.064608,0.064187,20.0217,26.2479,2,2458216.884456,678120223,45.1788179735829,36.7672588186621,1.36687378073075,0.966987278535167,65.2719030657088,50.27078058884,1.30715123812613,1.15240343548534,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,22.110562839596344,23.93570874129639,21.46407958413134
678,6,3,ZTF_r,462408582315,0,4.143,159.02,6.27919,26.2461,9.3715e-06,0.0306556,0.139595,1.63282e-05,569,30.0,0.066459,0.065408,19.8624,26.2461,2,2458216.908588,678120223,25.9078393697839,43.0848958236694,0.66889962063432,1.03276744559649,-14.7825315155122,56.3976093133892,-0.263878077403677,1.1590355509958,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,22.712522010656517,,21.64909159313877
678,6,3,ZTF_r,463365872315,0,2.027,157.293,5.76198,26.2459,4.584e-06,0.0221204,0.114492,8.09385e-06,605,30.0,0.04857,0.047284,20.6243,26.2459,2,2458217.8658796,678120223,-27.3899083759989,24.6591816908822,-1.23556819359467,1.02235136583468,-83.0452993160126,44.8565961499936,-1.86381984726056,1.06190681326222,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,
678,6,3,ZTF_r,463383842315,0,2.166,159.956,5.60051,26.263,4.8772e-06,0.0227641,0.118573,8.53154e-06,607,30.0,0.050512,0.048566,20.6042,26.263,2,2458217.8838426,678120223,8.18477348226182,24.2272932608231,0.375799821433801,0.977168708649847,12.559738535367,44.0017757406407,0.287359518660236,1.05571964190171,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,23.980483338511906,,22.486233188656755
678,6,3,ZTF_r,463409542315,0,1.9315,164.051,5.66467,26.2779,5.1684e-06,0.0234385,0.11814,9.02417e-06,607,30.0,0.049648,0.048981,20.6781,26.2779,2,2458217.9095486,678120223,-15.9219507525938,25.9651094984131,-0.682120212954279,0.983782896517547,-41.2482840977039,47.5259305747414,-0.873756561147445,1.06195276216084,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,23.77322418159178
678,6,3,ZTF_r,463410852315,0,1.9813,160.937,5.75977,26.2586,5.0164e-06,0.0232487,0.117427,8.77245e-06,611,30.0,0.050161,0.053072,20.6908,26.2586,3,2458217.9108565,678120223,12.3530957726559,23.9721241694597,0.573223637917625,0.996397082675099,5.60497877090798,43.4659424231521,0.129819539410387,1.06064740307795,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,23.529160478784085,,22.35807936863418
678,6,3,ZTF_r,463424862315,0,2.108,164.662,5.9331,26.2923,4.7043e-06,0.0224301,0.121579,8.18825e-06,610,30.0,0.050745,0.048022,20.6166,26.2923,2,2458217.9248611,678120223,-25.7883874853079,27.5650024546819,-1.04068897265501,0.924289529932739,-124.868410698423,48.7712489018356,-2.57753101385186,1.06598171709275,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,25.668316707350353
678,6,3,ZTF_r,463451552315,0,1.992,164.686,6.14131,26.2831,4.6988e-06,0.0224148,0.119535,8.30096e-06,604,30.0,0.044865,0.047419,20.614,26.2831,3,2458217.9515509,678120223,-49.3284952333011,26.5883593929118,-2.06376920683414,0.964190792355261,-82.6359379186612,48.2007488164986,-1.72595857445514,1.06164186445841,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,
678,6,3,ZTF_r,463452492315,0,2.025,163.642,6.1495,26.2884,4.7158e-06,0.02242,0.116075,8.36686e-06,605,30.0,0.047489,0.046727,20.5706,26.2884,2,2458217.9525,678120223,26.9897753476781,26.3901154222104,1.13766076613142,1.12352070356554,82.7351970091779,46.9072660283611,1.77568275394342,1.06201069587205,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,22.710401825814134,26.84363743389095,21.969955798087426
678,6,3,ZTF_r,463467322315,0,2.1651,163.528,6.28343,26.2822,5.4432e-06,0.0241739,0.124267,9.50954e-06,609,30.0,0.052664,0.049108,20.5006,26.2822,2,2458217.9673264,678120223,-2.55632895471786,26.788641660226,-0.106150207474933,1.10058183539351,55.3064567423773,46.4865631926236,1.19774285485196,1.06757603707056,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,22.821212838231375
678,6,3,ZTF_r,464317912315,0,1.7778,156.294,5.96038,26.237,4.8218e-06,0.0226715,0.112653,8.44635e-06,605,30.0,0.048215,0.045958,20.5784,26.237,2,2458218.8179167,678120223,-23.3400605150853,24.4429191154053,-1.06219366808086,1.05772591027633,-61.3304590105678,46.1003465493701,-1.33932882943783,1.05349938335675,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,26.13070041436029
678,6,3,ZTF_r,464338902315,0,2.0674,154.943,5.89285,26.2255,4.7107e-06,0.0224548,0.114851,8.25964e-06,610,30.0,0.047028,0.04682,20.5562,26.2255,2,2458218.8389005,678120223,-19.6013527923882,26.3614450817665,-0.827125923786476,0.943598891470673,-0.44390358001691,47.1612820672805,-0.0094758513038457,1.06291661966924,1.9553400037162,19.2309998512268,0.0869999974966049,5.69399976730347,0.486000001430511,2458160.989132,2458218.965567,0,,,24.15061843747796
