HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459585.943,2022-01-06.4400372,bC,1.42,18.664,>18.664,99.99,0.031,0.025,g
2459587.934,2022-01-08.4308474,bC,1.67,18.453,>18.453,99.99,0.066,0.03,g
2459591.041,2022-01-11.5377225,bC,1.62,18.966,>18.966,99.99,0.047,0.019,g
2459593.899,2022-01-14.3960302,bC,1.52,17.374,>17.374,99.99,0.168,0.082,g
2459596.022,2022-01-16.5180950,bC,1.53,18.126,>18.126,99.99,0.115,0.041,g
2459597.812,2022-01-18.3092474,bt,1.44,16.677,>16.677,99.99,0.181,0.155,g
2459597.987,2022-01-18.483125,bs,1.52,99.99,99.99,99.99,99.99,99.99,g
2459601.866,2022-01-22.3623494,bt,2.18,17.45,>17.450,99.99,0.135,0.076,g
2459601.991,2022-01-22.4871724,bC,2.26,18.116,>18.116,99.99,0.095,0.041,g
2459604.118,2022-01-24.6140921,bC,1.64,18.216,>18.216,99.99,0.073,0.038,g
2459604.759,2022-01-25.2556089,bt,1.52,18.357,>18.357,99.99,-0.054,0.033,g
2459605.968,2022-01-26.4637428,bs,1.45,99.99,99.99,99.99,99.99,99.99,g
2459606.016,2022-01-26.5127386,bt,1.58,18.15,>18.150,99.99,-0.022,0.04,g
2459606.949,2022-01-27.4447809,bC,1.44,18.911,>18.911,99.99,0.056,0.02,g
2459608.949,2022-01-29.4446844,bC,1.47,18.856,>18.856,99.99,-0.092,0.021,g
2459610.923,2022-01-31.4191630,bC,1.47,19.346,>19.346,99.99,-0.003,0.013,g
2459616.031,2022-02-05.5266353,bC,1.49,19.048,>19.048,99.99,0.022,0.017,g
2459618.004,2022-02-07.5003504,bC,1.52,19.104,>19.104,99.99,-0.035,0.017,g
2459619.89,2022-02-09.3861576,bt,1.54,18.276,>18.276,99.99,0.116,0.036,g
2459620.822,2022-02-10.3180968,bt,1.46,17.755,>17.755,99.99,-0.053,0.057,g
2459620.824,2022-02-10.3195894,bC,1.41,17.948,>17.948,99.99,0.203,0.048,g
