###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58336.622144 -20.133  0.456   -32   15 o  0   1.22   2.19813  -8.98482  3571.57  2318.65 3.00 2.83   0.1 -0.449 19.20 20.68 01a58336o0688o
58336.633365  21.446  5.528    10   53 o  0   1.05   2.19813  -8.98482  3511.28  2240.05 2.90 2.73  -1.0 -0.467 17.70 18.28 01a58336o0711o
58338.615068 -22.414  2.280    -4    9 c  0   1.35   2.19813  -8.98482  4360.44  8637.89 2.77 2.68 -42.4 -0.412 19.66 21.63 02a58338o0813c
58338.627727  20.625  0.803    20   16 c  0   1.01   2.19813  -8.98482  4339.57  8598.32 2.77 2.61 -50.8 -0.407 19.19 20.52 02a58338o0839c
58340.602003 -19.489  0.494   -58   29 o  0   2.06   2.19813  -8.98482  5672.12  3159.13 3.61 3.31   2.1 -0.400 17.99 19.84 01a58340o0445o
58340.612663  19.864  0.982    41   40 o  0   1.14   2.19813  -8.98482  5691.51  3197.28 3.70 3.14  -1.4 -0.402 17.96 19.81 01a58340o0467o
58340.623837 -18.763  0.590  -114   67 o  0   1.18   2.19813  -8.98482  5631.58  3119.78 3.11 2.77 -88.3 -0.442 17.50 18.76 01a58340o0490o
58340.634500  22.611 79.167     3  260 o  0   0.99   2.19813  -8.98482  5612.22  3234.20 3.00 2.68 -88.5 -0.479 15.84 16.39 01a58340o0512o
58342.600967  21.107  0.619    13    8 c  0   1.40   2.19813  -8.98482  4328.50  5849.78 2.54 2.50 -81.9 -0.423 19.72 21.77 02a58342o0791c
58342.611920 -22.490  1.964    -4    7 c  0   1.49   2.19813  -8.98482  4308.15  5811.21 2.49 2.45 -80.4 -0.423 19.78 21.75 02a58342o0814c
58342.622920  21.411  1.082    10   11 c  0   0.82   2.19813  -8.98482  4364.98  5888.85 2.55 2.49 -65.4 -0.426 19.63 21.41 02a58342o0837c
58342.633842  19.411  0.519    62   32 c  0   1.06   2.19813  -8.98482  4385.58  5773.57 2.60 2.50 -64.1 -0.425 18.31 19.35 02a58342o0860c
58344.589121  21.002  1.250    14   18 o  0   1.28   2.19813  -8.98482  4203.62  4615.37 3.45 2.82  -1.1 -0.421 18.82 20.70 01a58344o0765o
58344.599811  19.560  0.923    54   50 o  0   1.31   2.19813  -8.98482  4221.75  4653.06 3.02 2.94 -26.6 -0.436 17.76 19.60 01a58344o0787o
58344.611064  20.965  1.765    15   26 o  0   1.20   2.19813  -8.98482  4162.17  4574.85 3.03 2.68 -86.7 -0.447 18.44 20.25 01a58344o0810o
58344.621812 -20.848  2.414   -17   40 o  0   1.07   2.19813  -8.98482  4143.77  4689.89 3.05 2.63 -85.4 -0.456 18.08 19.78 01a58344o0832o
58348.565937 -22.874  4.538    -3   12 o  0   1.16   2.19813  -8.98482  5006.65  4721.27 3.09 2.93  89.9 -0.416 19.33 21.10 01a58348o0715o
58348.576884  23.386  6.125     2   10 o  0   1.87   2.19813  -8.98482  5043.28  4757.38 3.09 3.03 -34.5 -0.406 19.31 21.05 01a58348o0737o
58348.588012 -22.703  4.062    -3   12 o  0   1.23   2.19813  -8.98482  4964.83  4679.05 3.12 2.74 -84.5 -0.434 19.31 20.98 01a58348o0759o
58348.601461 -23.689 10.143    -1   12 o  0   0.86   2.19813  -8.98482  4946.28  4793.97 2.95 2.61 -84.8 -0.446 19.32 20.90 01a58348o0784o
58349.567678 -20.184  0.344   -31   11 o  0   1.32   2.19813  -8.98482  7022.54  8062.30 2.68 2.46 -73.7 -0.399 19.59 21.13 02a58349o0037o
58349.578447  21.864  1.460     6   10 o  0   1.36   2.19813  -8.98482  7078.56  8141.95 2.54 2.31 -75.4 -0.400 19.66 21.18 02a58349o0060o
58349.588708  22.798  3.727     3   10 o  0   1.20   2.19813  -8.98482  7097.68  8025.70 2.45 2.24 -77.4 -0.427 19.63 21.14 02a58349o0082o
58350.570284  19.012  0.225    90   20 o  0   1.83   2.19813  -8.98482  6070.22  6293.89 2.31 2.18 -62.4 -0.436 18.86 20.14 02a58350o0704o
58350.581068 -21.534  3.030    -9   27 o  0   0.89   2.19813  -8.98482  6050.77  6255.70 2.35 2.16 -65.4 -0.440 18.64 19.92 02a58350o0726o
