HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459613.66,2022-02-03.1543540,bF,1.56,18,>18.000,99.99,0.034,0.046,g
2459613.981,2022-02-03.4752925,bB,2,18.981,>18.981,99.99,-0.053,0.019,g
2459614.669,2022-02-04.1635052,bj,1.58,18.287,>18.287,99.99,-0.047,0.035,g
2459614.999,2022-02-04.4939773,bB,2.03,19.082,>19.082,99.99,0.049,0.017,g
2459616.781,2022-02-06.2751853,bj,1.56,18.14,>18.140,99.99,0.048,0.04,g
2459618.871,2022-02-08.3661065,bB,2.03,18.318,>18.318,99.99,-0.143,0.034,g
2459619.896,2022-02-09.3903723,br,1.46,18.365,>18.365,99.99,0.086,0.033,g
2459620.458,2022-02-09.9523847,bn,1.45,18.371,>18.371,99.99,0.046,0.033,g
2459621.343,2022-02-10.8378371,bn,1.51,17.328,>17.328,99.99,-0.042,0.085,g
2459622.835,2022-02-12.3293986,bB,2.23,18.206,>18.206,99.99,-0.11,0.038,g
2459627.552,2022-02-17.0473952,bj,1.57,16.458,>16.458,99.99,-0.545,0.19,g
2459627.618,2022-02-17.1135109,bF,1.75,16.699,>16.699,99.99,-0.258,0.152,g
2459628.621,2022-02-18.1161346,bj,1.66,16.762,>16.762,99.99,-0.249,0.143,g
2459629.383,2022-02-18.8785667,bn,1.5,16.639,>16.639,99.99,-0.113,0.16,g
2459629.605,2022-02-19.1001846,bj,1.57,17.028,>17.028,99.99,0.306,0.112,g
2459630.326,2022-02-19.8216719,bn,1.55,17.551,>17.551,99.99,-0.127,0.069,g
2459631.479,2022-02-20.9738841,bn,1.46,16.917,>16.917,99.99,-0.185,0.124,g
2459632.619,2022-02-22.1139186,bF,1.55,18.133,>18.133,99.99,-0.075,0.041,g
2459633.465,2022-02-22.9604037,bn,1.49,17.463,>17.463,99.99,0.26,0.075,g
2459635.749,2022-02-25.2446305,bB,2.18,19.077,>19.077,99.99,-0.098,0.017,g
2459636.668,2022-02-26.1636724,bF,1.5,18.543,>18.543,99.99,0.076,0.028,g
2459638.864,2022-02-28.3598346,bB,2,19.062,>19.062,99.99,0.05,0.017,g
2459639.453,2022-02-28.9488515,bn,1.58,18.061,>18.061,99.99,0.025,0.043,g
2459640.784,2022-03-02.2803486,bB,2.3,19.084,18.58,0.137,0.134,0.017,g
2459642.381,2022-03-03.8771556,bn,1.6,18.32,>18.320,99.99,-0.07,0.034,g
2459643.824,2022-03-05.3202065,br,1.48,18.985,>18.985,99.99,0.059,0.018,g
2459647.428,2022-03-08.9246564,bn,1.54,17.99,>17.990,99.99,0.007,0.046,g
2459648.378,2022-03-09.8742638,bn,1.48,18.123,>18.123,99.99,-0.048,0.041,g
2459649.908,2022-03-11.4049526,bB,1.99,17.967,>17.967,99.99,0.092,0.047,g
2459655.749,2022-03-17.2457947,br,1.61,16.971,>16.971,99.99,-0.437,0.118,g
2459657.808,2022-03-19.3053908,br,1.52,17.292,>17.292,99.99,-0.386,0.088,g
2459659.384,2022-03-20.8811560,bn,1.48,16.675,>16.675,99.99,0.079,0.155,g
2459660.543,2022-03-22.0402912,bj,1.52,18.611,>18.611,99.99,-0.055,0.026,g
2459660.858,2022-03-22.3556649,bB,2.19,17.998,>17.998,99.99,0.156,0.046,g
2459663.297,2022-03-24.7941901,bn,1.5,18.502,>18.502,99.99,0.02,0.029,g
2459663.658,2022-03-25.1560885,bF,2.01,18.237,>18.237,99.99,-0.109,0.037,g
2459663.907,2022-03-25.4049487,bB,2,18.512,>18.512,99.99,0.06,0.029,g
2459666.78,2022-03-28.2783648,bB,2.44,19.082,>19.082,99.99,0.012,0.017,g
2459667.549,2022-03-29.0466721,bF,1.6,18.728,>18.728,99.99,-0.034,0.023,g
2459667.574,2022-03-29.0721347,bj,1.62,18.269,>18.269,99.99,-0.164,0.036,g
2459669.674,2022-03-31.1723015,br,2.29,18.631,>18.631,99.99,0.117,0.026,g
2459670.758,2022-04-01.2558951,br,1.53,18.741,>18.741,99.99,-0.047,0.023,g
2459671.349,2022-04-01.8475373,bn,1.54,18.04,>18.040,99.99,-0.13,0.044,g
2459672.76,2022-04-03.2588245,br,1.55,18.589,>18.589,99.99,0.089,0.027,g
2459673.33,2022-04-03.8284656,bn,1.52,18.128,>18.128,99.99,-0.041,0.041,g
2459674.76,2022-04-05.2583820,br,1.53,18.499,>18.499,99.99,0.061,0.029,g
2459676.756,2022-04-07.2546393,br,1.54,18.238,>18.238,99.99,0.022,0.037,g
2459682.571,2022-04-13.0708623,bF,1.53,17.323,>17.323,99.99,-0.06,0.085,g
2459684.547,2022-04-15.0464780,bF,1.52,17.111,>17.111,99.99,0.189,0.104,g
2459687.565,2022-04-18.0651141,bj,1.67,16.935,>16.935,99.99,0.16,0.122,g
2459688.564,2022-04-19.0637136,bj,1.6,17.022,>17.022,99.99,0.105,0.113,g
2459691.65,2022-04-22.1500717,br,1.44,18.829,>18.829,99.99,-0.036,0.021,g
2459692.503,2022-04-23.0038967,bj,1.55,18.419,>18.419,99.99,0.073,0.031,g
2459693.689,2022-04-24.1894401,br,1.46,18.501,>18.501,99.99,-0.115,0.029,g
2459694.556,2022-04-25.0564497,bj,1.6,17.793,>17.793,99.99,0.05,0.055,g
2459698.278,2022-04-28.7787016,bn,1.54,17.856,>17.856,99.99,0.168,0.052,g
2459699.672,2022-04-30.1733627,br,1.49,18.253,>18.253,99.99,0.012,0.036,g
2459701.633,2022-05-02.1348296,br,1.47,18.934,>18.934,99.99,-0.015,0.019,g
2459702.499,2022-05-02.9999309,bF,1.63,18.505,>18.505,99.99,0.005,0.029,g
2459712.629,2022-05-13.1311325,br,1.49,17.604,>17.604,99.99,0.238,0.066,g
2459713.236,2022-05-13.7380094,bn,1.59,16.604,>16.604,99.99,-0.194,0.166,g
2459714.49,2022-05-14.9924971,bF,1.62,16.829,>16.829,99.99,0.145,0.135,g
2459715.629,2022-05-16.1317718,br,1.61,18.215,>18.215,99.99,0.05,0.038,g
2459716.48,2022-05-16.9828157,bF,1.7,17.134,>17.134,99.99,0.084,0.102,g
2459717.47,2022-05-17.9727076,bj,1.63,17.572,>17.572,99.99,0.112,0.068,g
2459718.643,2022-05-19.1463498,br,1.53,18.056,>18.056,99.99,0.039,0.044,g
2459720.61,2022-05-21.1128436,br,1.78,17.22,>17.220,99.99,0.285,0.094,g
2459721.461,2022-05-21.9641079,bj,1.59,17.845,>17.845,99.99,-0.087,0.053,g
2459725.456,2022-05-25.9592449,bF,1.59,18.182,>18.182,99.99,-0.081,0.039,g
2459727.452,2022-05-27.9551997,bF,1.68,17.615,>17.615,99.99,-0.029,0.065,g
2459831.97,2022-09-09.4733547,br,1.6,16.94,>16.940,99.99,0.502,0.122,g
2459835.958,2022-09-13.4620156,br,1.5,17.325,>17.325,99.99,0.031,0.085,g
2459840.966,2022-09-18.4690019,br,1.44,18,>18.000,99.99,-0.027,0.046,g
2459846.95,2022-09-24.4530633,br,1.46,18.423,>18.423,99.99,-0.093,0.031,g
