###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58205.615965  23.413  7.125     2   11 o  0   1.20 245.29379  36.06122  3304.77  3803.18 3.28 2.71 -85.9 -0.445 19.34 21.20 01a58205o0595o
58205.627555  21.415  1.180    10   12 o  0   1.33 245.29379  36.06122  3322.36  3888.41 3.30 2.72 -89.6 -0.444 19.30 21.16 01a58205o0616o
58205.640062 -21.178  1.078   -12   13 o  0   1.09 245.29379  36.06122  3262.51  3861.33 3.24 2.69  89.4 -0.448 19.26 20.94 01a58205o0637o
58207.532048 -21.579  2.714    -8   23 o  0   1.13 245.29379  36.06122 10300.16  1563.89 2.87 2.20  35.7 -0.482 18.97 19.54 02a58207o0456o
58207.534011 -19.684  0.429   -49   21 o  0   1.41 245.29379  36.06122 10253.69  1526.46 2.95 2.24  38.3 -0.486 18.92 19.53 02a58207o0460o
58207.534935  20.090  0.712    33   24 o  0   1.19 245.29379  36.06122 10316.60  1602.65 2.91 2.25  34.9 -0.493 18.89 19.52 02a58207o0462o
58207.543332 -21.432  2.218   -10   22 o  0   1.04 245.29379  36.06122   785.90  1608.09 2.46 1.94  27.4 -0.514 18.94 19.56 02a58207o0478o
58207.553138  20.659  1.263    20   25 o  0   0.99 245.29379  36.06122   803.94  1648.59 2.33 1.90  23.5 -0.515 19.03 19.58 02a58207o0497o
58207.553621  19.469  0.437    59   26 o  0   0.70 245.29379  36.06122 10236.94  1650.27 2.74 2.16  35.0 -0.507 18.99 19.56 02a58207o0498o
58207.554103  20.332  0.920    27   25 o  0   1.00 245.29379  36.06122   726.10  1685.79 2.41 1.90  24.2 -0.503 18.93 19.59 02a58207o0499o
58207.554560 -19.685  0.515   -48   25 o  0   0.88 245.29379  36.06122   740.71  1568.82 2.39 1.91  26.2 -0.502 19.03 19.58 02a58207o0500o
58213.600069  20.939  1.212    15   18 o  0   1.09 245.29379  36.06122  9353.33  2402.11 3.63 2.92 -85.9 -0.423 19.09 20.38 01a58213o0710o
58213.610595 -20.569  0.830   -22   18 o  0   1.11 245.29379  36.06122  9372.47  2482.89 3.61 2.92 -86.7 -0.422 19.06 20.35 01a58213o0731o
58213.623177  21.350  1.860    10   20 o  0   0.82 245.29379  36.06122  9332.28  2457.04 3.44 2.76 -88.3 -0.436 19.11 20.34 01a58213o0754o
58213.637715  21.587  2.750     8   23 o  0   0.86 245.29379  36.06122  9327.51  2632.24 3.52 2.71 -87.4 -0.436 18.83 19.78 01a58213o0776o
58221.609662 -22.105  2.667    -5   14 o  0   0.81 245.29379  36.06122  1279.06  1675.74 3.05 2.80  71.9 -0.453 19.41 21.25 01a58221o0523o
58221.642401  20.678  3.663    19   71 o  0   1.19 245.29379  36.06122  1260.75  1882.43 3.41 3.12  78.8 -0.434 17.51 17.88 01a58221o0536o
58227.580178 -18.056  2.622  -218  570 c  0   1.14 245.29379  36.06122  8827.73  5989.08 2.57 2.52  76.4 -0.445 16.95 18.67 02a58227o0557c
58227.590269  23.765 14.400     1   16 c  0   1.39 245.29379  36.06122  8810.48  5949.67 2.59 2.49 -77.4 -0.425 19.14 20.96 02a58227o0577c
58227.608474 -20.249  0.986   -29   28 c  0   1.00 245.29379  36.06122  8855.88  6027.76 2.80 2.68  72.2 -0.422 18.52 20.26 02a58227o0613c
58227.616770  18.821  0.966   108  104 c  0   1.11 245.29379  36.06122  8888.16  5911.22 2.60 2.55  60.6 -0.440 17.20 18.64 02a58227o0626c
58231.555201  21.706  1.959     8   15 o  0   0.80 245.29379  36.06122  8222.25  5683.98 2.08 2.04 -55.8 -0.456 19.04 20.10 02a58231o0667o
58231.565260  19.972  2.446    37   91 o  0   1.33 245.29379  36.06122  8187.25  5641.97 2.26 2.22 -65.9 -0.449 17.41 18.44 02a58231o0686o
58231.568152  21.322  1.151    11   12 o  0   1.40 245.29379  36.06122  8251.49  5722.81 2.28 2.24 -37.4 -0.447 19.24 20.40 02a58231o0692o
