HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458850.757,2020-01-02.2555149,bA,2.03,18.363,>18.363,99.99,-0.073,0.033,g
2458854.747,2020-01-06.2454804,bA,2.12,17.604,>17.604,99.99,0.258,0.066,g
2458866.694,2020-01-18.1930799,bq,1.67,17.775,>17.775,99.99,0.164,0.056,g
2458867.688,2020-01-19.1874760,bq,1.52,18.514,>18.514,99.99,0.02,0.029,g
2458872.665,2020-01-24.1646491,bq,1.46,18.386,>18.386,99.99,0.028,0.032,g
2458877.633,2020-01-29.1335209,bq,1.43,18.494,>18.494,99.99,0.009,0.029,g
2458879.567,2020-01-31.0675627,bq,1.53,18.065,>18.065,99.99,-0.017,0.043,g
2458892.611,2020-02-13.1123726,bq,1.46,18.152,>18.152,99.99,0.074,0.04,g
2458893.592,2020-02-14.0937016,bq,1.52,18.473,>18.473,99.99,0.032,0.03,g
2458904.582,2020-02-25.0844796,bq,1.68,18.104,>18.104,99.99,-0.04,0.042,g
2458905.587,2020-02-26.0901800,bq,1.68,18.177,>18.177,99.99,0.074,0.039,g
2458998.108,2020-05-28.6117265,bA,2,17.428,>17.428,99.99,0.063,0.078,g
2459000.105,2020-05-30.6086704,bA,2.15,17.679,>17.679,99.99,0.08,0.062,g
2459001.101,2020-05-31.6049633,bA,2.03,17.885,>17.885,99.99,0.049,0.051,g
2459002.098,2020-06-01.6015079,bA,1.71,18.031,>18.031,99.99,0.13,0.045,g
2459004.09,2020-06-03.5939972,bA,1.71,18.417,>18.417,99.99,-0.026,0.031,g
2459013.09,2020-06-12.5928376,bA,2.18,18.103,>18.103,99.99,0.038,0.042,g
2459014.919,2020-06-14.4222608,bq,1.59,17.895,>17.895,99.99,0.164,0.05,g
2459015.916,2020-06-15.4187488,bq,1.53,17.775,>17.775,99.99,-0.093,0.056,g
2459025.052,2020-06-24.5542324,bA,1.95,18.645,>18.645,99.99,0.005,0.025,g
2459028.045,2020-06-27.5470135,bA,2.04,18.681,>18.681,99.99,-0.038,0.024,g
2459029.041,2020-06-28.5429807,bA,1.97,18.735,>18.735,99.99,-0.051,0.023,g
2459030.047,2020-06-29.5490136,bA,1.65,18.833,>18.833,99.99,-0.008,0.021,g
2459032.039,2020-07-01.5411353,bA,2.04,18.627,>18.627,99.99,0.037,0.026,g
2459033.038,2020-07-02.5401119,bA,1.99,17.718,>17.718,99.99,0.081,0.059,g
2459034.025,2020-07-03.5271253,bA,1.99,17.155,>17.155,99.99,0.222,0.1,g
2459037.017,2020-07-06.5185533,bA,2.01,17.153,>17.153,99.99,0.129,0.1,g
2459040.013,2020-07-09.5141407,bA,1.66,17.379,>17.379,99.99,-0.194,0.081,g
2459040.862,2020-07-10.3628932,bq,1.47,17.298,>17.298,99.99,0.179,0.088,g
2459041.864,2020-07-11.3653715,bq,1.55,17.597,>17.597,99.99,-0.015,0.066,g
2459042.853,2020-07-12.3541451,bq,1.58,17.636,>17.636,99.99,-0.102,0.064,g
2459043.855,2020-07-13.3563586,bq,1.48,17.824,>17.824,99.99,0.069,0.054,g
2459048.991,2020-07-18.4914709,bA,1.68,18.597,>18.597,99.99,0.036,0.026,g
2459049.989,2020-07-19.4893189,bA,1.98,18.695,>18.695,99.99,-0.019,0.024,g
2459051.013,2020-07-20.5132465,bA,2.03,18.687,>18.687,99.99,0.069,0.024,g
2459051.998,2020-07-21.4987480,bA,2.13,18.749,>18.749,99.99,0.02,0.023,g
2459053.971,2020-07-23.4708171,bA,1.65,18.376,>18.376,99.99,0.031,0.032,g
2459055.821,2020-07-25.3211956,bq,1.46,18.445,>18.445,99.99,-0.027,0.03,g
2459058.954,2020-07-28.4532927,bA,2.13,18.79,>18.790,99.99,0.035,0.022,g
2459059.81,2020-07-29.3096293,bq,1.48,18.029,>18.029,99.99,-0.072,0.045,g
2459060.12,2020-07-29.6200225,bA,1.68,18.377,>18.377,99.99,0.09,0.032,g
2459060.81,2020-07-30.3092369,bq,1.49,17.431,>17.431,99.99,0.162,0.077,g
2459061.805,2020-07-31.3045502,bq,1.5,17.45,>17.450,99.99,0.009,0.076,g
2459062.043,2020-07-31.5429572,bA,1.98,18.341,>18.341,99.99,-0.038,0.033,g
2459062.801,2020-08-01.3005715,bq,1.49,16.948,>16.948,99.99,0.032,0.121,g
2459066.784,2020-08-05.2829914,bq,1.51,17.111,>17.111,99.99,0.101,0.104,g
2459068.783,2020-08-07.2824143,bq,1.46,17.112,>17.112,99.99,0.442,0.104,g
2459069.778,2020-08-08.2768655,bq,1.46,17.563,>17.563,99.99,0.279,0.069,g
2459070.783,2020-08-09.2818682,bq,1.42,17.584,>17.584,99.99,-0.234,0.067,g
2459071.122,2020-08-09.6203932,bA,1.65,17.977,>17.977,99.99,-0.057,0.047,g
2459072.018,2020-08-10.5164806,bA,1.63,18.153,>18.153,99.99,-0.025,0.04,g
2459072.776,2020-08-11.2746487,bq,1.47,18.158,>18.158,99.99,0.116,0.04,g
2459073.771,2020-08-12.2699550,bq,1.75,18.175,>18.175,99.99,0.038,0.039,g
2459074.115,2020-08-12.6135672,bA,1.68,18.093,>18.093,99.99,-0.004,0.042,g
2459074.765,2020-08-13.2631409,bq,1.48,18.279,>18.279,99.99,-0.096,0.035,g
2459075.115,2020-08-13.6130769,bA,1.69,18.409,>18.409,99.99,-0.079,0.031,g
2459075.763,2020-08-14.2614476,bq,1.46,18.303,>18.303,99.99,0.056,0.035,g
2459075.994,2020-08-14.4924773,bA,1.67,18.559,>18.559,99.99,-0.015,0.027,g
2459077.894,2020-08-16.3920344,bA,1.67,18.675,>18.675,99.99,0.001,0.025,g
2459078.939,2020-08-17.4366965,bA,2,18.751,>18.751,99.99,-0.046,0.023,g
2459079.759,2020-08-18.2568307,bq,1.46,17.654,>17.654,99.99,-0.029,0.063,g
2459080.067,2020-08-18.5650861,bA,1.63,19.032,>19.032,99.99,-0.004,0.018,g
2459080.752,2020-08-19.2499584,bq,1.51,18.512,>18.512,99.99,-0.002,0.029,g
2459081.748,2020-08-20.2454836,bq,1.46,18.076,>18.076,99.99,0.029,0.043,g
2459082.75,2020-08-21.2482129,bq,1.48,17.728,>17.728,99.99,0.09,0.059,g
2459083.88,2020-08-22.3774506,bA,1.98,18.477,>18.477,99.99,0.062,0.03,g
2459084.742,2020-08-23.2394186,bq,1.44,17.996,>17.996,99.99,0.114,0.046,g
2459085.038,2020-08-23.5355236,bA,1.65,18.739,>18.739,99.99,-0.018,0.023,g
2459085.908,2020-08-24.4058628,bq,1.45,17.742,>17.742,99.99,-0.081,0.058,g
2459086.736,2020-08-25.2337625,bq,1.48,18.172,>18.172,99.99,-0.051,0.039,g
2459086.999,2020-08-25.4968508,bA,1.67,18.772,>18.772,99.99,0.021,0.022,g
2459087.732,2020-08-26.2294736,bq,1.48,17.916,>17.916,99.99,-0.095,0.049,g
2459087.979,2020-08-26.4766165,bA,2.03,18.923,>18.923,99.99,-0.054,0.02,g
2459088.722,2020-08-27.2195240,bq,1.47,18.014,>18.014,99.99,-0.007,0.045,g
2459089.727,2020-08-28.2239072,bq,1.51,17.479,>17.479,99.99,-0.094,0.074,g
2459090.122,2020-08-28.6194509,bA,2.25,18.604,>18.604,99.99,0.021,0.026,g
2459090.722,2020-08-29.2193175,bq,1.47,17.103,>17.103,99.99,-0.198,0.105,g
2459091.044,2020-08-29.5409603,bA,1.97,18.849,>18.849,99.99,-0.022,0.021,g
2459091.724,2020-08-30.2208273,bq,1.63,16.975,>16.975,99.99,0.083,0.118,g
2459097.709,2020-09-05.2053412,bq,1.54,17.184,>17.184,99.99,0.045,0.097,g
2459099.051,2020-09-06.5473758,bA,2.02,17.417,>17.417,99.99,0.057,0.078,g
2459100.835,2020-09-08.3319165,bA,1.69,18.423,>18.423,99.99,0.002,0.031,g
2459102.042,2020-09-09.5384583,bA,1.6,18.106,>18.106,99.99,-0.007,0.042,g
2459103.054,2020-09-10.5500401,bA,1.63,18.241,>18.241,99.99,0.052,0.037,g
2459103.83,2020-09-11.3260777,bA,1.96,18.404,>18.404,99.99,-0.029,0.032,g
2459105.825,2020-09-13.3208877,bA,1.99,18.677,>18.677,99.99,-0.036,0.025,g
2459106.843,2020-09-14.3388339,bA,1.66,18.613,>18.613,99.99,0.03,0.026,g
2459108.03,2020-09-15.5261442,bA,1.7,18.813,>18.813,99.99,-0.026,0.022,g
2459108.887,2020-09-16.383225,bA,1.66,18.773,>18.773,99.99,0.043,0.022,g
2459114.931,2020-09-22.4263797,bA,1.64,18.882,>18.882,99.99,0.037,0.02,g
2459117.79,2020-09-25.2862295,bA,2.01,17.68,>17.680,99.99,0.096,0.062,g
2459118.787,2020-09-26.2823384,bA,2.13,17.793,>17.793,99.99,-0.037,0.055,g
2459120.049,2020-09-27.5444340,bA,2.16,18.332,>18.332,99.99,0.032,0.034,g
2459120.821,2020-09-28.3165622,bA,1.99,17.268,>17.268,99.99,0.049,0.09,g
2459121.887,2020-09-29.3821978,bA,1.6,17.661,>17.661,99.99,0.179,0.063,g
2459122.695,2020-09-30.1904601,bq,2.02,17.625,>17.625,99.99,-0.055,0.065,g
2459125.985,2020-10-03.4801656,bA,2.13,17.398,>17.398,99.99,-0.037,0.08,g
2459126.986,2020-10-04.4816649,bA,2.16,17.374,>17.374,99.99,0.119,0.082,g
2459127.823,2020-10-05.3181709,bA,2.05,17.52,>17.520,99.99,0.092,0.071,g
2459128.623,2020-10-06.1181060,bq,1.43,17.864,>17.864,99.99,-0.01,0.052,g
2459128.823,2020-10-06.3180168,bA,2.21,17.853,>17.853,99.99,-0.053,0.052,g
2459129.615,2020-10-07.1100140,bq,1.51,18.027,>18.027,99.99,0.093,0.045,g
2459129.814,2020-10-07.3090983,bA,1.97,18.289,>18.289,99.99,0.021,0.035,g
2459130.798,2020-10-08.2936185,bA,1.67,18.68,>18.680,99.99,-0.001,0.024,g
2459132.034,2020-10-09.5296520,bA,2.07,18.104,>18.104,99.99,-0.094,0.042,g
2459132.824,2020-10-10.3190481,bA,2.11,18.66,>18.660,99.99,0.044,0.025,g
2459137.982,2020-10-15.4774768,bA,1.69,18.743,>18.743,99.99,0.031,0.023,g
2459139.581,2020-10-17.0765555,bq,2.12,18.567,>18.567,99.99,0.03,0.027,g
2459143.712,2020-10-21.2069899,bA,1.97,18.28,>18.280,99.99,0.021,0.035,g
2459143.917,2020-10-21.4117006,bq,1.48,18.279,>18.279,99.99,0.019,0.035,g
2459145.707,2020-10-23.2023407,bA,2.3,17.578,>17.578,99.99,-0.012,0.068,g
2459146.802,2020-10-24.2968219,bA,1.66,18.749,>18.749,99.99,-0.01,0.023,g
2459148.755,2020-10-26.2503175,bA,1.66,17.804,>17.804,99.99,-0.217,0.055,g
2459158.785,2020-11-05.2806032,bq,1.48,17.791,>17.791,99.99,0.047,0.056,g
2459159.893,2020-11-06.3877675,bq,1.44,17.815,>17.815,99.99,0.125,0.054,g
2459161.827,2020-11-08.3224020,bA,2.03,18.905,>18.905,99.99,-0.055,0.02,g
2459163.569,2020-11-10.0638962,bq,1.51,18.231,>18.231,99.99,-0.044,0.037,g
2459166.698,2020-11-13.1930070,bA,2.1,18.627,>18.627,99.99,0.001,0.026,g
2459167.571,2020-11-14.0668856,bq,1.5,18.771,>18.771,99.99,-0.033,0.023,g
2459169.547,2020-11-16.0420565,bq,1.58,18.692,>18.692,99.99,-0.034,0.024,g
2459169.737,2020-11-16.2322744,bA,1.68,19.062,>19.062,99.99,-0.014,0.017,g
2459170.791,2020-11-17.2868856,bA,2.01,18.521,>18.521,99.99,-0.066,0.028,g
2459171.557,2020-11-18.0528710,bq,1.58,18.189,>18.189,99.99,0.132,0.038,g
2459172.552,2020-11-19.0475018,bq,2,18.001,>18.001,99.99,-0.017,0.046,g
2459173.693,2020-11-20.1886934,bq,1.51,18.308,>18.308,99.99,0.014,0.035,g
2459173.914,2020-11-20.4096944,bA,2.09,18.66,>18.660,99.99,-0.062,0.025,g
2459179.552,2020-11-26.0479188,bq,1.62,17.738,>17.738,99.99,-0.119,0.058,g
2459180.876,2020-11-27.3717803,bA,2.08,17.193,>17.193,99.99,-0.069,0.096,g
