index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
89,2458374.8552546,ZTF_r,,,23.356811188019194,,ztf
90,2458374.9135532,ZTF_g,23.12563781343777,,22.160760459993135,,ztf
91,2458375.8122801,ZTF_g,24.607193236470813,,22.6517083639989,,ztf
92,2458375.8547106,ZTF_r,26.009578165491448,,22.41708443509707,,ztf
93,2458375.8556134,ZTF_r,21.61430457080862,22.23209441050394,21.222998436548185,,ztf
94,2458376.8305208,ZTF_g,,,24.58628324743946,,ztf
95,2458376.8567245,ZTF_r,22.305922261096132,23.867904912805887,21.69044569438715,,ztf
96,2458377.807037,ZTF_r,,,,,ztf
97,2458377.8526968,ZTF_g,,,,,ztf
98,2458378.8351968,ZTF_g,23.261897775536408,,22.260456961866087,,ztf
99,2458378.8361111,ZTF_g,,,24.780411704652103,,ztf
100,2458378.8791551,ZTF_r,,,,,ztf
101,2458378.8823495,ZTF_r,22.356187523580008,23.931586716280254,21.738917802623668,,ztf
102,2458379.8571644,ZTF_g,24.440844808901545,,22.605358431049908,,ztf
103,2458379.896169,ZTF_r,,,,,ztf
104,2458380.8145833,ZTF_r,,,,,ztf
105,2458380.858831,ZTF_g,,,,,ztf
106,2458382.8318403,ZTF_r,21.454854374982634,22.552136629121424,20.92038818082176,,ztf
107,2458382.8327546,ZTF_r,,,22.989442319948324,,ztf
108,2458382.8940741,ZTF_g,21.739904211487666,23.790188787272225,21.072747774800533,,ztf
109,2458382.8949884,ZTF_g,23.075299931432237,,21.618248719320746,,ztf
110,2458383.836088,ZTF_r,26.479661657615676,,21.67472475265159,,ztf
111,2458383.9207986,ZTF_g,,,,,ztf
112,2458384.8141319,ZTF_g,,,21.413435019972052,,ztf
113,2458388.7908681,ZTF_r,,,,,ztf
114,2458388.7917824,ZTF_r,21.76632828271591,24.496933557817375,21.058564183439636,,ztf
115,2458388.8248958,ZTF_g,,,24.127860356427654,,ztf
116,2458388.8258102,ZTF_g,,,21.974475113598743,,ztf
117,2458389.8088542,ZTF_r,23.15643588099664,,21.697592579506413,,ztf
118,2458389.8325463,ZTF_r,24.899242828812056,,22.148483534696474,,ztf
119,2458389.8402315,ZTF_g,22.203152652753687,,21.23238535653166,,ztf
