dateobs jd mag dmag telescope filter magtype
2021-10-30 2459517.64975 19.7279 0.1095 1m0-08 B 1
2021-10-30 2459517.65237 19.6756 0.1075 1m0-08 B 1
2021-10-30 2459517.65527 18.6326 0.0327 1m0-08 V 1
2021-10-30 2459517.65696 18.6799 0.0484 1m0-08 V 1
2021-10-30 2459517.65887 19.2522 0.0372 1m0-08 g 1
2021-10-30 2459517.66150 19.0621 0.1725 1m0-08 g 1
2021-10-30 2459517.66430 18.0543 0.0235 1m0-08 r 1
2021-10-30 2459517.66601 18.0861 0.0259 1m0-08 r 1
2021-10-30 2459517.66789 17.8077 0.0341 1m0-08 i 1
2021-10-30 2459517.66960 17.9039 0.0749 1m0-08 i 1
2021-11-03 2459521.70175 20.2239 0.1739 1m0-09 B 1
2021-11-03 2459521.70437 20.2919 0.1312 1m0-09 B 1
2021-11-03 2459521.70717 18.7302 0.0513 1m0-09 V 1
2021-11-03 2459521.70888 18.7426 0.0542 1m0-09 V 1
2021-11-03 2459521.71081 19.5860 0.0526 1m0-09 g 1
2021-11-03 2459521.71343 19.4482 0.0517 1m0-09 g 1
2021-11-03 2459521.71624 18.2074 0.0309 1m0-09 r 1
2021-11-03 2459521.71793 18.1835 0.0292 1m0-09 r 1
2021-11-03 2459521.71981 17.9378 0.0341 1m0-09 i 1
2021-11-03 2459521.72152 17.9892 0.0379 1m0-09 i 1
2021-11-06 2459525.33928 20.0949 0.1600 1m0-10 B 1
2021-11-06 2459525.34423 20.0831 0.1610 1m0-10 B 1
2021-11-06 2459525.34935 18.8897 0.0437 1m0-10 V 1
2021-11-06 2459525.35313 18.9092 0.0513 1m0-10 V 1
2021-11-06 2459525.35711 19.5133 0.0439 1m0-10 g 1
2021-11-06 2459525.36205 19.5495 0.0420 1m0-10 g 1
2021-11-06 2459525.36717 18.3221 0.0292 1m0-10 r 1
2021-11-06 2459525.37096 18.4303 0.0409 1m0-10 r 1
2021-11-06 2459525.37493 18.0883 0.0369 1m0-10 i 1
2021-11-06 2459525.37872 18.0462 0.0323 1m0-10 i 1
