dateobs jd mag dmag telescope filter magtype
2021-08-14 2459440.74058 18.9246 0.0571 2m0-01 i 1
2021-08-14 2459440.74058 18.9529 0.0402 2m0-01 z 1
2021-08-14 2459440.74059 19.4268 0.0242 2m0-01 g 1
2021-08-14 2459440.74059 19.0849 0.0202 2m0-01 r 1
2021-08-14 2459440.74341 19.0033 0.0282 2m0-01 i 1
2021-08-14 2459440.74341 19.0323 0.0502 2m0-01 z 1
2021-08-14 2459440.74342 19.0670 0.0132 2m0-01 r 1
2021-08-14 2459440.74342 19.4070 0.0212 2m0-01 g 1
2021-08-16 2459442.73975 19.6491 0.0202 2m0-01 g 1
2021-08-16 2459442.73975 19.3403 0.0172 2m0-01 r 1
2021-08-16 2459442.73975 19.3143 0.0671 2m0-01 i 1
2021-08-16 2459442.73975 19.0209 0.0283 2m0-01 z 1
2021-08-16 2459442.74257 19.3151 0.0152 2m0-01 r 1
2021-08-16 2459442.74257 19.2823 0.0462 2m0-01 i 1
2021-08-16 2459442.74257 19.6543 0.0163 2m0-01 g 1
2021-08-16 2459442.74258 19.1161 0.0273 2m0-01 z 1
2021-08-16 2459443.37868 19.3647 0.2184 1m0-3 U 1
2021-08-16 2459443.38244 19.3644 0.0875 1m0-3 U 1
2021-08-16 2459443.38642 20.0030 0.0546 1m0-3 B 1
2021-08-16 2459443.38904 20.1044 0.1183 1m0-3 B 1
2021-08-16 2459443.39185 19.5139 0.1112 1m0-3 V 1
2021-08-16 2459443.39355 19.6789 0.0874 1m0-3 V 1
2021-08-16 2459443.39544 19.8470 0.0192 1m0-3 g 1
2021-08-16 2459443.39806 19.7832 0.0232 1m0-3 g 1
2021-08-16 2459443.40086 19.2000 0.0190 1m0-3 r 1
2021-08-16 2459443.40256 19.3274 0.0300 1m0-3 r 1
2021-08-16 2459443.40444 19.1791 0.0500 1m0-3 i 1
2021-08-16 2459443.40613 19.2764 0.0420 1m0-3 i 1
2021-08-17 2459443.77961 19.6275 0.0232 2m0-01 g 1
2021-08-17 2459443.77962 19.2955 0.0182 2m0-01 r 1
2021-08-17 2459443.77962 19.1074 0.0332 2m0-01 z 1
2021-08-17 2459443.77962 19.2296 0.0252 2m0-01 i 1
2021-08-17 2459443.79543 19.6041 0.0302 2m0-01 g 1
2021-08-17 2459443.79544 19.2723 0.0202 2m0-01 r 1
2021-08-17 2459443.79544 19.1510 0.0392 2m0-01 z 1
2021-08-17 2459443.79544 19.2138 0.0252 2m0-01 i 1
2021-08-17 2459443.79826 19.6175 0.0312 2m0-01 g 1
2021-08-17 2459443.79827 19.1704 0.0302 2m0-01 i 1
2021-08-17 2459443.79827 19.0978 0.0332 2m0-01 z 1
2021-08-17 2459443.79827 19.2550 0.0341 2m0-01 r 1
2021-08-17 2459444.41982 19.2089 0.0846 1m0-3 U 1
2021-08-17 2459444.42361 19.3440 0.1886 1m0-3 U 1
2021-08-17 2459444.42758 19.7739 0.0448 1m0-3 B 1
2021-08-17 2459444.43021 19.8597 0.0487 1m0-3 B 1
2021-08-17 2459444.43301 19.4156 0.0840 1m0-3 V 1
2021-08-17 2459444.43471 19.5136 0.1112 1m0-3 V 1
2021-08-17 2459444.43658 19.6059 0.0225 1m0-3 g 1
2021-08-17 2459444.43920 19.7105 0.0353 1m0-3 g 1
2021-08-17 2459444.44201 19.1747 0.0651 1m0-3 r 1
2021-08-17 2459444.44370 19.1505 0.0391 1m0-3 r 1
2021-08-17 2459444.44558 19.2491 0.1201 1m0-3 i 1
2021-08-17 2459444.44729 19.2535 0.1301 1m0-3 i 1
2021-08-23 2459450.35446 19.0421 0.0656 1m0-3 U 1
2021-08-23 2459450.35940 19.0533 0.1077 1m0-3 U 1
2021-08-23 2459450.36452 19.5454 0.0460 1m0-3 B 1
2021-08-23 2459450.36831 19.3942 0.0424 1m0-3 B 1
