dateobs jd mag dmag telescope filter magtype
2020-01-30 2458878.84004 14.9289 0.0662 1m0-08 U 1
2020-01-30 2458878.84266 14.9212 0.0662 1m0-08 U 1
2020-01-30 2458878.84548 16.0625 0.0137 1m0-08 B 1
2020-01-30 2458878.84719 16.0176 0.0142 1m0-08 B 1
2020-01-30 2458878.84906 16.2424 0.0179 1m0-08 V 1
2020-01-30 2458878.85040 16.2249 0.0170 1m0-08 V 1
2020-01-30 2458878.85192 15.8809 0.0055 1m0-08 g 1
2020-01-30 2458878.85361 15.9444 0.0055 1m0-08 g 1
2020-01-30 2458878.85548 16.4161 0.0092 1m0-08 r 1
2020-01-30 2458878.85683 16.4151 0.0083 1m0-08 r 1
2020-01-30 2458878.85835 16.6999 0.0122 1m0-08 i 1
2020-01-30 2458878.85968 16.7143 0.0122 1m0-08 i 1
2020-01-31 2458879.86410 15.4217 0.0661 1m0-06 U 1
2020-01-31 2458879.86671 15.4214 0.0663 1m0-06 U 1
2020-01-31 2458879.86955 16.4246 0.0147 1m0-06 B 1
2020-01-31 2458879.87128 16.4393 0.0147 1m0-06 B 1
2020-01-31 2458879.87314 16.5488 0.0179 1m0-06 V 1
2020-01-31 2458879.87599 16.3180 0.0103 1m0-06 g 1
2020-01-31 2458879.87769 16.3171 0.0093 1m0-06 g 1
2020-01-31 2458879.87956 16.6932 0.0092 1m0-06 r 1
2020-01-31 2458879.88090 16.6628 0.0122 1m0-06 r 1
2020-01-31 2458879.88242 16.8834 0.0132 1m0-06 i 1
2020-01-31 2458879.88377 16.9357 0.0152 1m0-06 i 1
2020-02-02 2458881.82734 16.0130 0.0675 1m0-06 U 1
2020-02-02 2458881.82997 16.0403 0.0683 1m0-06 U 1
2020-02-02 2458881.83278 16.8972 0.0172 1m0-06 B 1
2020-02-02 2458881.83449 16.8781 0.0159 1m0-06 B 1
2020-02-02 2458881.83639 16.9075 0.0209 1m0-06 V 1
2020-02-02 2458881.83773 16.9171 0.0202 1m0-06 V 1
2020-02-02 2458881.83930 16.7225 0.0093 1m0-06 g 1
2020-02-02 2458881.84099 16.7522 0.0103 1m0-06 g 1
2020-02-02 2458881.84288 16.9744 0.0112 1m0-06 r 1
2020-02-02 2458881.84421 16.9264 0.0122 1m0-06 r 1
2020-02-03 2458882.95865 16.6559 0.0695 1m0-06 U 1
2020-02-03 2458882.96127 16.6521 0.0686 1m0-06 U 1
2020-02-03 2458883.00722 16.6976 0.0689 1m0-06 U 1
2020-02-03 2458883.00984 16.6699 0.0675 1m0-06 U 1
2020-02-03 2458883.01266 17.4008 0.0194 1m0-06 B 1
2020-02-03 2458883.01434 17.3708 0.0202 1m0-06 B 1
2020-02-03 2458883.01623 17.2525 0.0223 1m0-06 V 1
2020-02-03 2458883.01757 17.2524 0.0230 1m0-06 V 1
2020-02-03 2458883.01910 17.0922 0.0153 1m0-06 g 1
2020-02-03 2458883.02079 17.1026 0.0114 1m0-06 g 1
2020-02-03 2458883.02266 17.2754 0.0201 1m0-06 r 1
2020-02-03 2458883.02401 17.2973 0.0231 1m0-06 r 1
2020-02-03 2458883.02552 17.3941 0.0371 1m0-06 i 1
2020-02-03 2458883.02687 17.4277 0.0321 1m0-06 i 1
2020-02-07 2458887.01409 17.7279 0.1147 1m0-08 U 1
2020-02-07 2458887.01671 17.6679 0.0857 1m0-08 U 1
2020-02-07 2458887.01957 18.0629 0.0226 1m0-08 B 1
2020-02-07 2458887.02137 18.0720 0.0235 1m0-08 B 1
2020-02-08 2458888.01338 17.9557 0.0989 1m0-08 U 1
2020-02-08 2458888.01616 18.1150 0.0343 1m0-08 B 1
2020-02-08 2458888.01786 18.0165 0.0226 1m0-08 B 1
2020-02-08 2458888.01974 17.2944 0.0216 1m0-08 V 1
2020-02-08 2458888.02108 17.3054 0.0209 1m0-08 V 1
2020-02-08 2458888.02261 17.6274 0.0242 1m0-08 g 1
2020-02-08 2458888.02431 17.6576 0.0252 1m0-08 g 1
2020-02-08 2458888.02756 17.5419 0.0231 1m0-08 r 1
2020-02-08 2458888.02909 17.6341 0.0361 1m0-08 i 1
2020-02-08 2458888.03044 17.5864 0.0351 1m0-08 i 1
2020-02-13 2458892.86381 17.6061 0.0831 1m0-08 U 1
2020-02-13 2458892.86643 17.6130 0.0923 1m0-08 U 1
2020-02-13 2458892.86922 17.6326 0.0194 1m0-08 B 1
2020-02-13 2458892.87093 17.5878 0.0186 1m0-08 B 1
2020-02-13 2458892.87417 17.2503 0.0286 1m0-08 V 1
2020-02-13 2458892.87738 17.4577 0.0192 1m0-08 g 1
2020-02-13 2458892.87925 16.9903 0.0171 1m0-08 r 1
2020-02-13 2458892.88059 16.9870 0.0132 1m0-08 r 1
2020-02-13 2458892.88211 16.9764 0.0291 1m0-08 i 1
2020-02-13 2458892.88346 16.9673 0.0321 1m0-08 i 1
2020-02-14 2458893.88987 17.5851 0.0779 1m0-08 U 1
2020-02-14 2458893.89249 17.6443 0.0831 1m0-08 U 1
2020-02-14 2458893.89531 17.7063 0.0243 1m0-08 B 1
2020-02-14 2458893.89700 17.5726 0.0186 1m0-08 B 1
2020-02-14 2458893.89887 17.1686 0.0245 1m0-08 V 1
2020-02-14 2458893.90021 17.1710 0.0253 1m0-08 V 1
2020-02-14 2458893.90173 17.3731 0.0182 1m0-08 g 1
2020-02-14 2458893.90343 17.3735 0.0192 1m0-08 g 1
2020-02-14 2458893.90530 17.1637 0.0171 1m0-08 r 1
2020-02-14 2458893.90664 16.9587 0.0171 1m0-08 r 1
2020-02-14 2458893.90816 16.9743 0.0311 1m0-08 i 1
2020-02-14 2458893.90951 16.9721 0.0311 1m0-08 i 1
2020-02-25 2458904.81605 19.0242 0.1341 1m0-08 U 1
2020-02-25 2458904.81983 18.9626 0.1247 1m0-08 U 1
2020-02-25 2458904.82377 18.6824 0.0243 1m0-08 B 1
2020-02-25 2458904.82638 18.6958 0.0252 1m0-08 B 1
2020-02-25 2458904.82917 17.6008 0.0216 1m0-08 V 1
2020-02-25 2458904.83086 17.5982 0.0209 1m0-08 V 1
2020-02-25 2458904.83274 18.1304 0.0103 1m0-08 g 1
2020-02-25 2458904.83536 18.1412 0.0103 1m0-08 g 1
2020-02-25 2458904.83815 17.4539 0.0112 1m0-08 r 1
2020-02-25 2458904.83984 17.4304 0.0112 1m0-08 r 1
2020-02-25 2458904.84170 17.4208 0.0161 1m0-08 i 1
2020-02-25 2458904.84342 17.4120 0.0142 1m0-08 i 1
2020-02-27 2458906.78137 19.4552 0.1447 1m0-08 U 1
2020-02-27 2458906.78634 19.3531 0.1456 1m0-08 U 1
2020-02-27 2458906.79195 17.7970 0.0209 1m0-08 V 1
2020-02-27 2458906.79457 17.8051 0.0202 1m0-08 V 1
2020-02-27 2458906.79737 18.2713 0.0172 1m0-08 g 1
2020-02-27 2458906.85797 19.5679 0.1315 1m0-08 U 1
2020-02-27 2458906.86291 19.5324 0.1456 1m0-08 U 1
2020-02-27 2458906.86803 19.0729 0.0235 1m0-08 B 1
2020-02-27 2458906.87179 19.0035 0.0218 1m0-08 B 1
2020-02-27 2458906.87574 17.8777 0.0202 1m0-08 V 1
2020-02-27 2458906.87836 17.8783 0.0202 1m0-08 V 1
2020-02-27 2458906.88116 18.3244 0.0103 1m0-08 g 1
2020-02-27 2458906.88494 18.3574 0.0113 1m0-08 g 1
2020-02-27 2458906.88888 17.6009 0.0151 1m0-08 r 1
2020-02-27 2458906.89150 17.6062 0.0151 1m0-08 r 1
2020-02-27 2458906.89429 17.5378 0.0181 1m0-08 i 1
2020-02-27 2458906.89691 17.5224 0.0161 1m0-08 i 1
2020-03-01 2458909.97500 19.4776 0.1167 1m0-08 B 1
2020-03-01 2458909.97879 19.5312 0.1306 1m0-08 B 1
2020-03-01 2458909.98274 18.2541 0.0505 1m0-08 V 1
2020-03-01 2458909.98536 18.1555 0.0524 1m0-08 V 1
2020-03-01 2458909.99194 18.7814 0.0468 1m0-08 g 1
2020-03-01 2458909.99588 18.0018 0.0921 1m0-08 r 1
2020-03-01 2458909.99849 17.9593 0.0671 1m0-08 r 1
2020-03-06 2458914.80893 18.4006 0.0504 1m0-06 V 1
2020-03-06 2458914.81173 18.9116 0.0303 1m0-06 g 1
2020-03-06 2458914.81551 18.8990 0.0273 1m0-06 g 1
2020-03-06 2458914.81950 17.9258 0.0381 1m0-06 r 1
2020-03-06 2458914.82213 17.9503 0.0282 1m0-06 r 1
2020-03-06 2458914.82494 18.0989 0.0811 1m0-06 i 1
2020-03-10 2458918.84005 19.8025 0.1396 1m0-08 B 1
2020-03-10 2458918.84383 19.8742 0.1645 1m0-08 B 1
2020-03-10 2458918.84778 18.4886 0.0815 1m0-08 V 1
2020-03-10 2458918.85323 19.1446 0.1065 1m0-08 g 1
2020-03-10 2458918.86096 18.1024 0.0691 1m0-08 r 1
2020-03-10 2458918.86358 18.1273 0.0581 1m0-08 r 1
2020-03-10 2458918.86639 17.8969 0.0821 1m0-08 i 1
