tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",59434.18703699997,"1680187035515015004",2,1680187035515,20.722767,1,1680,3.0716033,19.77238,"","",19.7345,"",0.120895125,"","",0.1859,"",245.2937597,36.061202,0.8142857,"t17_f5_c3",0.9999952,19.9919,0.3007,679120255,true,false,false,"","correction_1.0.6",0,""
"ztf",59434.23674769979,"1680236745515015001",1,1680236745515,20.73302,1,1680,2.6910818,19.32309,"","",19.3477,"",0.11615665,"","",0.1136,"",245.293803,36.0612295,0.9057143,"t17_f5_c3",0.99999183,19.2848,0.1366,679120155,true,false,false,"","correction_1.0.6",0,""
"ztf",59436.20525459992,"1682205255515015002",2,1682205255515,20.560026,1,1682,3.0327978,18.449085,"","",18.4545,"",0.083227195,"","",0.0666,"",245.293795,36.0612318,0.9257143,"t17_f5_c3",0.9999938,18.4408,0.0834,679120255,true,false,false,"","correction_1.0.6",0,""
"ztf",59436.24828700023,"1682248285515015001",1,1682248285515,20.407309,1,1682,2.7817326,18.302006,"","",18.2836,"",0.09054831,"","",0.0562,"",245.2937836,36.0612118,0.9442857,"t17_f5_c3",0.99999845,18.1719,0.0643,679120155,true,false,false,"","correction_1.0.6",0,""
"ztf",59439.1804630002,"1685180465515015004",1,1685180465515,20.378115,1,1685,2.820552,18.897182,"","",18.9883,"",0.09969931,"","",0.1111,"",245.2937716,36.0612057,0.93285716,"t17_f5_c3",0.9999993,18.9452,0.1362,679120155,true,false,false,"","correction_1.0.6",0,""
"ztf",59439.20760420011,"1685207605515015001",2,1685207605515,20.079575,1,1685,3.0647333,18.770012,"","",18.7012,"",0.09373974,"","",0.1122,"",245.2938227,36.0612322,0.95,"t17_f5_c3",1,18.693,0.1423,679120255,true,false,false,"","correction_1.0.6",0,""
"ztf",59441.18575230008,"1687185755515015001",2,1687185755515,20.225363,1,1687,3.0589194,19.269297,"","",19.4116,"",0.12267218,"","",0.2197,"",245.2938167,36.0612355,0.9142857,"t17_f5_c3",0.9999802,19.2437,0.2415,679120255,true,false,false,"","correction_1.0.6",0,""
"ztf",59441.243506900035,"1687243505515015007",1,1687243505515,19.776129,1,1687,2.62568,19.47513,"","",19.5722,"",0.18302977,"","",0.2688,"",245.2938902,36.0612019,0.74714285,"t17_f5_c3",0.9999562,19.3524,0.282,679120155,true,false,false,"","correction_1.0.6",0,""
"ztf",59443.1828240999,"1689182825515015005",1,1689182825515,19.75213,1,1689,2.6870785,19.509195,"","",19.4887,"",0.20681201,"","",0.3352,"",245.2938047,36.0612295,0.7057143,"t17_f5_c3",0.99279684,19.3486,0.3785,679120155,true,false,false,"","correction_1.0.6",0,""
"ztf",59443.238263899926,"1689238265515015000",2,1689238265515,19.627659,1,1689,3.0130773,19.155483,"","",19.4347,"",0.15309314,"","",0.4097,"",245.2937703,36.0612255,0.75142854,"t17_f5_c3",0.51663464,19.2314,0.4365,679120255,true,false,false,"","correction_1.0.6",0,""
