,param,min,p25,med,mean,p75,max,std,filter
0,m1,-1.589472221655726,,,-1.1334539131171464,,-0.6069800572103006,0.34762765999458856,g
1,m2,0.107934103891477,0.1623172327614049,0.2061767498825841,0.22693289005100045,0.2685543786479536,0.3829980225904213,0.08684521542979502,g
2,m3,-0.18336873045696,-0.140359477154118,-0.0730148260486961,-0.08689973848213042,-0.0491460426574534,-0.0037550029269108,0.053831457472864185,g
3,b2,-5.203418645146546,-3.904050154510529,-2.579679594197998,-3.0372052649878465,-1.9331006267355069,-1.6518871031138738,1.260121095179945,g
4,a1,2.2417309009843183,,,7.527963211739173,,10.071302300202415,2.7401921823717657,g
5,a2,10.158978625462886,13.5272170081792,14.163971583056943,14.06357425988825,14.71730867893379,17.606732710117512,1.6126810433397056,g
6,log_f,-3.746321771573907,-2.7015292524537733,-1.5985602769068117,-1.5425635467626224,-1.329173259421836,1.3646858544145168,1.3002811284098656,g
7,m1,-1.653939950941373,-1.1157650722714014,-0.9019834308629068,-0.9745637934026573,-0.8052824197838542,-0.4332383444410826,0.34958097345930633,r
8,m2,0.0347540612617621,0.1156834705145229,0.1376007938950541,0.18236450895257675,0.282816827959903,0.3437257844271577,0.09502334928435992,r
9,m3,-0.141956017013619,-0.111152509506894,-0.0733015735640535,-0.07890034614676959,-0.0591418246504838,-0.0036794161230041,0.04061851700799104,r
10,b2,-4.573563210187304,-3.8975989632399015,-2.350597755074939,-2.6599497388530176,-1.473953252937895,-0.8289489766405167,1.2569283713510555,r
11,a1,1.5826487470807322,7.264506745137403,8.72293772009122,7.727648017240754,9.22694212526934,10.381561962697235,2.430706246485729,r
12,a2,10.57787541466923,13.407664352585794,13.82015292957411,14.030578614731734,15.613059512325332,16.25439992729655,1.5150284164687422,r
13,log_f,-3.5640059727129736,-3.083179850952707,-2.602093777619526,-2.256965769108847,-1.82955484690188,0.2094696469994616,1.1320885590825576,r
14,a2g-a1g,0.4876751432016029,,,6.593039810776,,12.399674312497861,3.385844879081115,both
15,a2r-a1r,1.2651826939739248,4.164651316908893,6.143157607448391,6.30293059749098,7.950018747300042,14.039655827466303,3.093991449994165,both
16,a1g-a1r,-1.8069819258016917,,,-0.2172297747764636,,0.659082153903586,0.7122878521769005,both
17,a2g-a2r,-2.5050904603243644,-0.9672939757784871,0.3438186534828329,0.03299564515651427,0.6712901403807656,2.3188939420787857,1.234982571514251,both
18,mag_a2g-a1g,0.10462761316459424,0.9931037764497963,1.2925851671898765,1.5276135442142136,1.9877597372442444,3.194124091945036,0.8468918707047801,both
19,mag_a2r-a1r,0.561488844330462,0.6581013348114018,0.9854116489665112,1.1257926533731093,1.6170031558254698,1.9211127583078813,0.4760482193211685,both
20,mag_a1g-a1r,-1.3414311628152524,-0.458376164108959,-0.1560131678603751,-0.22610258378887924,0.038541009839491824,0.6194618534544651,0.5321128914853583,both
21,mag_a2g-a2r,0.0036799028683724977,0.04834042446300013,0.13231499037660266,0.1757183070522251,0.23568977330431373,0.564320698703193,0.1710218395978512,both
