param,min,p25,med,mean,p75,max,std_pop,sem,std_smpl,filter
m1,-4.072592593557231,-2.61304071792123,-2.1924236845802607,-2.073352614153641,-1.069662141944328,-0.7401445495440206,1.0449923335446352,0.3949699766468806,1.1171437954084065,g
m2,0.0908810259096929,0.14152099097238174,0.24180591919486205,0.25930948743913096,0.3459829758345504,0.4983764954347748,0.12196061714376184,0.03382578913069737,0.1265645137643315,g
m3,-0.2171227827837172,-0.10015543098530273,-0.0640790866483234,-0.08209503169345314,-0.04605526293347303,0.0114997039880566,0.058884063453492126,0.016331500776095464,0.06110688051598195,g
b2,-6.572783261399817,-4.76067941260757,-3.2024667991663023,-3.4052422938095623,-1.9152799118123185,-1.0409603865878312,1.6882798899663098,0.4682445931237102,1.7520108406782888,g
a1,0.0832232266493911,6.102840205340668,7.920872439461533,7.2294315303187915,8.891233667258943,11.6030503074009,3.33345133725195,1.259926177986337,3.5636093769943518,g
a2,11.259932896988545,12.989086680876028,14.361144107519916,14.00954014460764,14.902098865074406,17.079262709385986,1.4826205649646278,0.41120495915671956,1.5385880729068167,g
log_f,-4.74967720510411,-2.693107000324897,-2.1668927026125555,-2.283538441381294,-1.6173566658985017,0.3308377537647614,1.2587699606888214,0.34911997209825657,1.306287322471754,g
m1,-2.9526640516555496,-1.212887791565059,-0.8753947253645742,-1.0995833893488929,-0.7239730323925969,-0.1709560545791643,0.7586163264922328,0.210402312582452,0.7872533670684514,r
m2,-0.0229162063144375,0.1009239276062287,0.15015806729359804,0.18678117723481727,0.2178550066491305,0.6770141605283071,0.16185365903395704,0.04489012821295364,0.1679634798212273,r
m3,-0.2288494905220271,-0.12011710563140077,-0.08066220466256005,-0.09126364918166177,-0.05630723537231705,-0.0174418334115978,0.05282942950854199,0.014652247457427575,0.05482368993192359,r
b2,-9.465049806901352,-3.375941158901281,-2.3880177637930355,-2.75454104846413,-1.4827422146673808,0.1906091723974562,2.240191659549222,0.6213173765670376,2.3247567515630627,r
a1,-0.0115002108391078,7.042761460313933,8.512752478951132,7.745091981291716,9.534673478456773,12.269101628635614,3.0911901484402082,0.8573418909546393,3.207879619281165,r
a2,12.310498455320047,13.831662054168428,14.320046112315719,14.522365054604693,14.86690943789046,17.540185228317288,1.267803577589099,0.35162544663186035,1.3156619497677866,r
log_f,-4.560905051142621,-2.880374325551151,-2.214544365475298,-2.382268567106856,-1.6698498214825155,-0.6894817422886537,1.0831458954383617,0.3004106203701054,1.124033616773147,r
a2g-a1g,3.292946998937275,5.494482526720354,6.311637762526278,7.031491170358343,9.393238380758202,11.176709670339154,2.5445489023031804,0.961749084905229,2.7202371989457768,both
a2r-a1r,2.029647655206311,4.439703976623623,5.734732322728603,6.777273073312977,8.045884194813159,17.551685439156397,3.634346457072164,1.0079863464441978,3.77153955894021,both
a1g-a1r,-1.860655745520722,-0.7992897772330982,-0.4269906135565673,-0.6407893932505131,-0.3436455765752986,0.0947234374884989,0.5746616106288727,0.2172016728199756,0.6143391029442663,both
a2g-a2r,-6.280252331328743,-0.5001441457345805,0.2426273585192744,-0.5128249099970527,0.392842901711472,0.7506012508016617,1.8046885115600655,0.5005305357438925,1.8728137763720536,both
a1_abs_mag-g,-18.719859738736115,-17.760086647845664,-16.997054770574568,-16.98744088229311,-16.362045397067373,-14.80352125690001,1.1692764805402998,0.44194496876949835,1.250009137312757,in_suffix
+e_a1_abs_mag-g,0.1379171069380085,0.25641863967053624,0.47827860263596644,0.5644553741872362,0.688583935853289,1.3799558175476996,0.3951347634169293,0.14934690262250536,0.4224168303743221,in_suffix
-e_a1_abs_mag-g,0.1626967083852175,0.21301364672094175,0.4470602321851418,0.559494859762645,0.6548203463075897,1.479428317519222,0.4307483644809377,0.16280757858062414,0.46048937137168416,in_suffix
a1_abs_mag-r,-18.273708809747333,-17.603757597985965,-16.967975361158203,-16.90922880688412,-16.332276102117298,-14.39954426267054,0.9669977456598956,0.2681969196334491,1.003500985456512,in_suffix
+e_a1_abs_mag-r,0.0750633706394386,0.37726241088496826,0.6635870217152571,0.8620369172994875,1.0726564880070506,2.5348177202124376,0.6849697372309026,0.18997642382516267,0.7108266895183168,in_suffix
-e_a1_abs_mag-r,0.077638593007784,0.37473879326451315,0.6594778291665411,0.8666026021590681,1.2163620186824973,2.337495556555304,0.6689675325681713,0.185538210791936,0.6942204169384679,in_suffix
mag_a2g-a1g,0.6328662703457273,1.0366732504398797,1.3530815985530662,1.4887051748536155,1.7058247319665256,3.25968279540632,0.6764769982902832,0.18762096184673702,0.7020133578074754,both
mag_a2r-a1r,-0.0937036894979512,0.7585659891938095,1.0142610096924631,0.9605819615987118,1.3329267443001487,1.551124140506023,0.4403138183376932,0.12212108071629915,0.45693524374295746,both
mag_a1g-a1r,-0.6608166147547878,-0.3834286662014162,-0.16541138295217905,-0.1583648417221896,-0.02308412934756635,0.3805804190459254,0.29399726453547437,0.0815401701637541,0.3050953800120147,both
mag_a2g-a2r,0.0436119159324439,0.16136666827015553,0.26003180975324836,0.36975837153271407,0.49540650534668884,1.3660100431696731,0.3329312777756955,0.09233852255584728,0.3454991150048782,both
t_half-g,2.449999999999948,2.9324999999999375,4.634999999999901,4.793749999999898,5.822499999999875,8.969999999999809,2.085143505253251,0.7881101661116579,2.2291121711184387,in_suffix
t_half_16-g,2.209999999999953,2.762499999999941,3.874999999999917,4.20499999999991,5.404999999999885,7.48999999999984,1.7185022548719202,0.649532799127834,1.8371561874654843,in_suffix
