SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g
snztf18,-1.1565078614714912,0.2957283041975022,-0.027475105596885,-3.5798567498338363,6.797843862772809,12.577943241231656,-3.645266596077806
sn18dfi,-1.5551030015091971,0.1508449234693141,-0.048210542165381,-1.820318410536926,5.049383040930969,14.653568377958004,-1.9905977689674637
sn19rwd,-0.3381849449919766,0.1582857856393352,-0.0241360572135178,-1.692639480507649,8.775237293419314,16.306079184792505,-1.8659732627477843
sn20ano,,0.5243100048099905,-0.0808943759497424,-6.276858859307436,,14.94999760624135,-3.6336592399797776
sn20ikq,-0.8624089875466225,0.1117789628559949,0.0173326007393411,-0.8737667842319354,0.3700808616727118,12.637227574634242,-1.0958078006361895
sn20rsc,-1.6019835735741992,0.3722009156108034,0.0489984114022064,-4.480637808154646,8.043903329112425,18.384726646812965,-1.7390837142214968
sn20sbw,-1.9460567719200537,0.374436889564133,-0.195575777049797,-4.258671807333551,11.883253201689769,15.030794660530848,-1.5046346945110562
sn21gno,-1.760472145086657,0.2192899125779169,-0.0840763949893468,-1.4792630811981498,10.941541490854345,15.500008763196906,-1.0731370049271465
sn21heh,,0.2528125137686248,-0.0382104761833445,-1.7260046928782715,,14.680642046734931,-0.8617650190802039
sn21pb,,0.4532558189418072,-0.0740892323885672,-3.657574202795801,,13.2397012344461,-1.141788131117972
sn21vgn,-0.930683535192798,0.2234531179949841,-0.0601570043089635,-2.409576467849207,8.220421675568982,15.599990475690038,-2.013741160899021
sn22hnt,,0.491575898477057,-0.1411694771783264,-4.56466805339043,,15.322494677849864,-1.1941589306563911
sn22jpx,,0.2464001671289169,-0.0122403561114553,-0.7607469108672769,,13.45513645443619,0.8639444034255576
sn22qzr,,0.3755917717392754,-0.1456926545151193,-4.360606058822784,,14.835077493510685,-2.682095373485728
