mag,err,mjd,filter,norm_t,abs_mag
19.790039558423263,0.0794026348108653,59080.48554009999,c,8.047638866664784,-15.943809414322562
21.157724967479854,0.347424,59084.52263774999,c,12.084736516670091,-14.57612400526597
20.61039433685717,9999.0,59088.4781845,c,16.04028326668049,-15.123454635888656
20.17059945676174,9999.0,59074.575512,o,2.1376107666801545,-15.54553602894315
20.23399800870277,9999.0,59076.613453000005,o,4.175551766682474,-15.48213747700212
20.618166717428263,9999.0,59078.52954825,o,6.091647016677598,-15.097968768276626
20.17443186736137,0.1709925204074518,59082.5528506,o,10.11494936667441,-15.541703618343519
19.99973967596549,0.1570510070268786,59086.49365433333,o,14.055753100008587,-15.7163958097394
20.455518221893872,9999.0,59090.5366898,o,18.098788566676376,-15.260617263811017
19.91632027842941,9999.0,59092.4966455,o,20.05874426668015,-15.79981520727548
19.774044340414697,9999.0,59094.494885750006,o,22.05698451668286,-15.942091145290192
19.62887395869756,9999.0,59096.47529975,o,24.037398516680696,-16.08726152700733
18.85638253479794,9999.0,59097.5602455,o,25.12234426667419,-16.859752950906948
19.573118236779088,9999.0,59098.4975475,o,26.05964626667992,-16.1430172489258
20.04927275052765,9999.0,59100.47076875,o,28.03286751667474,-15.66686273517724
20.56479322278585,0.2427258976047968,59101.4945925,o,29.056691266676353,-15.15134226291904
20.906707715256456,0.3450682746413108,59102.482121,o,30.044219766677998,-14.809427770448433
20.871455243815277,0.3242555249966638,59104.54568875,o,32.10778751667385,-14.844680241889613
20.45187929701603,9999.0,59106.47812566667,o,34.04022443334543,-15.264256188688858
20.907879373114277,0.1081096801823512,59079.47049190011,ZTF_g,7.032590666785836,-14.825969599631549
19.50526256969657,0.0560557558513594,59080.41118060006,ZTF_g,7.973279366735369,-16.228586403049256
19.49848548410297,0.0514735818846689,59081.46959490003,ZTF_g,9.031693666707724,-16.235363488642854
19.929682457355,0.0527052226821707,59082.39792053308,ZTF_g,9.96001929976046,-15.804166515390826
20.746901639182497,0.1415725590155526,59084.47383099981,ZTF_g,12.035929766483605,-14.986947333563329
21.49561271974722,0.0884140878597162,59085.36549769994,ZTF_g,12.927596466615796,-14.238236252998604
21.48929569555832,0.1712282240746916,59086.47533565015,ZTF_g,14.037434416830365,-14.244553277187507
21.777977292209822,0.2409273603039825,59087.14721450023,ZTF_g,14.709313266910613,-13.955871680536003
20.71942524656011,0.0865982552398493,59079.424976833165,ZTF_r,6.9870755998417735,-14.996710239144779
19.44146949072981,0.0558969238765901,59080.482777799945,ZTF_r,8.044876566622406,-16.27466599497508
19.551889925946792,0.0338984187649787,59081.11707946658,ZTF_r,8.679178233258426,-16.164245559758097
19.75216406917136,0.0617265695355192,59082.47560765036,ZTF_r,10.037706417038862,-15.963971416533528
19.96303774887905,0.0897509530515476,59082.50699070003,ZTF_r,10.069089466705918,-15.75309773682584
20.49716605516861,0.1268599775237857,59084.491169000044,ZTF_r,12.053267766721547,-15.21896943053628
21.00153471970478,0.0620582536366139,59085.16849827487,ZTF_r,12.730597041547298,-14.71460076600011
20.899020921763643,0.095038840894792,59086.40279323375,ZTF_r,13.964892000425607,-14.817114563941246
20.927382635563703,0.11123438968676,59087.43790123332,ZTF_r,15.0,-14.788752850141186
21.08443015375877,0.1270740682481694,59088.39730326645,ZTF_r,15.959402033127844,-14.631705331946119
20.929668815781348,0.0971580336612351,59089.451527799945,ZTF_r,17.013626566622406,-14.786466669923541
21.466615202195143,0.1618877110921001,59090.466354133096,ZTF_r,18.028452899772674,-14.249520283509746
20.87793656196014,0.0904441703593731,59091.46908950014,ZTF_r,19.03118826681748,-14.838198923744748
21.08625920072715,0.2676485319722416,59093.36864196649,ZTF_r,20.930740733165294,-14.62987628497774
20.58421463614137,0.1754082402100656,59095.41689237487,ZTF_r,22.97899114155007,-15.131920849563521
20.28882620097998,0.1804594911296634,59097.4646469499,ZTF_r,25.026745716575533,-15.42730928472491
20.666966654989636,0.2922842838361054,59098.38232639991,ZTF_r,25.94442516658455,-15.049168830715253
20.61116214502186,0.3038055983198723,59099.338634300046,ZTF_r,26.90073306672275,-15.104973340683028
21.24602398933683,0.243248164540477,59106.387170149945,ZTF_r,33.949268916621804,-14.470111496368059
