mag,err,mjd,filter,norm_t,abs_mag
20.55539260986174,9999.0,59291.42633550001,c,9.061355500009086,-11.907794262095882
17.503019073302823,0.0154734079704511,59309.459871,c,27.094891000000644,-14.9601677986548
17.950261662904584,0.0201818002610379,59313.43501975,c,31.07003975000407,-14.512925209053039
18.41499893823985,0.0328547099362864,59317.48675,c,35.12176999999792,-14.048187933717772
18.68278164691821,0.0375799323597383,59321.4167405,c,39.051760499998636,-13.780405225039411
18.05512667481304,0.0252887588562884,59293.3972095,o,11.03222950000054,-14.395552625238162
18.05303207173865,0.0431084018353997,59297.36498,o,15.0,-14.397647228312552
17.23120891320357,0.0492873950311747,59303.4474915,o,21.08251150000433,-15.21947038684763
17.148635052197328,0.0190369593033807,59304.393768,o,22.02878800000326,-15.302044247853873
17.107862232115565,0.0157224570995606,59305.49605275,o,23.131072750002204,-15.342817067935636
17.06876632109244,0.01430298171694,59306.38782575,o,24.02284574999794,-15.381912978958761
17.068565160604063,0.027726995994904,59307.43970833334,o,25.074728333340317,-15.382114139447138
17.896878962496665,0.0279788505925311,59319.4143835,o,37.04940350000106,-14.553800337554536
18.1772114850164,0.0337962264494107,59323.3318635,o,40.96688350000477,-14.2734678150348
18.15997219055754,0.0292666113820598,59324.44161525,o,42.076635249999526,-14.290707109493662
17.738702297392006,0.0170006452436685,59293.29436339997,ZTF_g,10.929383399969083,-14.724484574565617
18.13507197569971,0.0346402371950025,59296.35429400019,ZTF_g,13.989314000195009,-14.328114896257913
18.26575726111315,0.0586945226022659,59298.39475690015,ZTF_g,16.029776900148136,-14.197429610844472
17.64475328475923,0.0431338941734281,59302.354259300046,ZTF_g,19.9892793000472,-14.818433587198394
17.698894348687972,0.0399372799065111,59303.29390050005,ZTF_g,20.92892050005321,-14.764292523269651
17.573547410031715,0.0203757840977483,59304.25745945005,ZTF_g,21.892479450048995,-14.889639461925908
17.475753390433162,0.0177332383604387,59305.27666669991,ZTF_g,22.911686699910206,-14.98743348152446
17.463462001991026,0.0152841486326324,59306.36731480016,ZTF_g,24.002334800163226,-14.999724869966597
17.558267420405997,0.0089931064686019,59307.31210064981,ZTF_g,24.94712064981286,-14.904919451551626
17.655342428645717,0.0147407231314958,59308.33664349979,ZTF_g,25.97166349978943,-14.807844443311906
17.803657397281842,0.0120228266547119,59309.311527799815,ZTF_g,26.94654779981647,-14.65952947467578
17.93663950468069,0.0190219230350074,59310.25331019983,ZTF_g,27.888330199828488,-14.526547367276931
18.092733903644152,0.0221697264743141,59311.23398149992,ZTF_g,28.869001499922888,-14.37045296831347
18.488882392759017,0.0296232203392889,59313.25517359981,ZTF_g,30.890193599814666,-13.974304479198606
19.447933975069414,0.0542623351113465,59321.25327550015,ZTF_g,38.88829550015362,-13.015252896888208
19.482951296157275,0.0820481204547089,59323.28026620019,ZTF_g,40.915286200193805,-12.980235575800348
19.489026719287363,0.1117944942457311,59325.32376160007,ZTF_g,42.958781600071234,-12.97416015267026
18.206319261391705,0.0271181806083617,59293.235347200185,ZTF_r,10.870367200186593,-14.244360038659496
17.945558160014627,0.0312545519691762,59296.3591781999,ZTF_r,13.994198199899984,-14.505121140036573
17.884605218573824,0.0586815023797291,59298.304861099925,ZTF_r,15.939881099926424,-14.566074081477376
17.34792225017147,0.0231298551437188,59302.25986689981,ZTF_r,19.894886899812263,-15.10275704987973
17.254930719324996,0.0225238978970039,59303.35391200008,ZTF_r,20.98893200008024,-15.195748580726205
17.20507205165292,0.0103313309308099,59304.322392925154,ZTF_r,21.95741292515595,-15.245607248398281
17.01174369626321,0.0101204397942976,59306.27033559978,ZTF_r,23.905355599781615,-15.438935603787991
17.04147597855324,0.0075159390011573,59307.25396414986,ZTF_r,24.888984149860335,-15.40920332149796
17.09216888971607,0.0080021752269003,59309.261741899885,ZTF_r,26.89676189988677,-15.35851041033513
17.171970669427303,0.0113828722517308,59310.295520800166,ZTF_r,27.930540800167364,-15.278708630623898
17.21902560013041,0.0108997620760374,59311.30894679995,ZTF_r,28.94396679995407,-15.23165369992079
17.359824642010764,0.0100400512161821,59313.26220485009,ZTF_r,30.897224850094062,-15.090854658040437
17.82684156118687,0.0172918787939686,59317.207812500186,ZTF_r,34.8428325001878,-14.62383773886433
18.082002765037515,0.0187043208521077,59321.29083329998,ZTF_r,38.9258532999811,-14.368676535013686
18.16246718206513,0.0160822080979502,59322.25015045004,ZTF_r,39.88517045004119,-14.288212117986072
18.2320545462152,0.0268476678974584,59323.31745370012,ZTF_r,40.9524737001193,-14.218624753836002
18.224605929807357,0.0179093220456217,59324.20013310015,ZTF_r,41.83515310015355,-14.226073370243844
18.32431514834516,0.0307128815237147,59325.25546299992,ZTF_r,42.890482999922824,-14.12636415170604
