JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,max_ztf_err,mag_err_all,norm_t,norm_m
2458871.842419,ZTF_i,20.049717734695378,0.20063901275987206,0.16928141253167794,,ztf,0.20063901275987206,0.20063901275987206,9.794328699819744,-0.720281318033205
2458871.8471065,ZTF_i,19.72574461255516,0.13390264747702574,0.11918687112676096,,ztf,0.13390264747702574,0.13390264747702574,9.799016200006008,-1.0442544401734217
2458871.866794,ZTF_i,19.731043952374137,0.12807577291425076,0.11454927476385635,,ztf,0.12807577291425076,0.12807577291425076,9.818703699856997,-1.0389551003544462
2458871.9113426,ZTF_g,19.126796306012377,0.04932327751794219,0.0471796290325166,,ztf,0.04932327751794219,0.04932327751794219,9.863252299837768,-1.6432027467162058
2458871.9497569,ZTF_g,19.086643696789075,0.04607267746492383,0.04419693256119572,,ztf,0.04607267746492383,0.04607267746492383,9.901666599791497,-1.6833553559395078
2458871.9653009,ZTF_g,19.11117736372048,0.05061697307252189,0.04836195090503992,,ztf,0.05061697307252189,0.05061697307252189,9.917210599873215,-1.6588216890081036
2458871.9661921,ZTF_g,19.192772756618737,0.058368099068996315,0.05538972206731785,,ztf,0.058368099068996315,0.058368099068996315,9.918101800139993,-1.5772262961098455
2458871.9666782,ZTF_g,19.113976849055085,0.04816168885977845,0.04611574008010422,,ztf,0.04816168885977845,0.04816168885977845,9.918587899766862,-1.6560222036734977
2458871.9991898,ZTF_r,19.554408571401574,0.08662793926042767,0.08022394370304298,,ztf,0.08662793926042767,0.08662793926042767,9.951099500060081,-1.215590481327009
2458872.0152199,ZTF_r,19.588164356478835,0.10231074973892973,0.09349463396707591,,ztf,0.10231074973892973,0.10231074973892973,9.967129599768668,-1.181834696249748
2458872.0233681,ZTF_r,19.564117159373247,0.09382239988549657,0.08635580665199072,,ztf,0.09382239988549657,0.09382239988549657,9.975277800112963,-1.2058818933553361
2458872.0242708,ZTF_r,19.46639077251806,0.07876224706954815,0.07343303713231819,,ztf,0.07876224706954815,0.07876224706954815,9.976180499885231,-1.303608280210522
2458872.0265625,ZTF_r,19.686024536329377,0.11502840458443586,0.10400071923069021,,ztf,0.11502840458443586,0.11502840458443586,9.978472199756652,-1.0839745163992056
2458872.051169,ZTF_i,19.66260807233149,0.10273426796361207,0.09384813814127924,,ztf,0.10273426796361207,0.10273426796361207,10.003078700043261,-1.107390980397092
2458872.9291204,ZTF_g,19.554250766381784,0.05915635272681641,0.05609907659719937,,ztf,0.05915635272681641,0.05915635272681641,10.881030099932104,-1.2157482863467983
2458872.9300579,ZTF_g,19.5134586226682,0.06608368687560073,0.06229120879911321,,ztf,0.06608368687560073,0.06608368687560073,10.881967599969357,-1.256540430060383
2458872.9550926,ZTF_g,19.63241513393026,0.05731508536764096,0.0544405797691212,,ztf,0.05731508536764096,0.05731508536764096,10.907002300024033,-1.1375839187983239
2458872.9907755,ZTF_i,19.80250603860702,0.14285557649146696,0.12622620155403297,,ztf,0.14285557649146696,0.14285557649146696,10.942685199901462,-0.9674930141215619
2458873.0165856,ZTF_i,19.915629134224925,0.15248094814261393,0.13367986122357323,,ztf,0.15248094814261393,0.15248094814261393,10.968495300039649,-0.8543699185036573
2458873.0340741,ZTF_i,19.91837161907459,0.14720342841479805,0.12960759960633084,,ztf,0.14720342841479805,0.14720342841479805,10.985983800143003,-0.8516274336539915
2458873.0480787,ZTF_r,19.869550888875068,0.11011726971513625,0.09997022170670533,,ztf,0.11011726971513625,0.11011726971513625,10.999988399911672,-0.9004481638535147
2458873.0732176,ZTF_r,19.8257003955659,0.17202003955360112,0.14845662661713632,,ztf,0.17202003955360112,0.17202003955360112,11.025127300061285,-0.9442986571626832
2458873.7879282,ZTF_r,20.09707129659182,0.15904525250659063,0.1386964497714338,,ztf,0.15904525250659063,0.15904525250659063,11.739837899804115,-0.6729277561367617
2458873.8218981,ZTF_r,19.876644832114604,0.13298754638801213,0.11846149816317819,,ztf,0.13298754638801213,0.13298754638801213,11.773807799909264,-0.8933542206139791
2458873.861875,ZTF_g,20.070694925130702,0.09779149960899858,0.08970667067593752,,ztf,0.09779149960899858,0.09779149960899858,11.813784699887037,-0.6993041275978804
2458873.8863657,ZTF_g,20.06863640954179,0.09710860851713221,0.08913175553981745,,ztf,0.09710860851713221,0.09710860851713221,11.83827539999038,-0.7013626431867941
2458873.9067361,ZTF_g,20.246131668973977,0.10665539804441337,0.09710907168049232,,ztf,0.10665539804441337,0.10665539804441337,11.858645800035447,-0.523867383754606
2458873.9076389,ZTF_g,19.983791871300177,0.0980662936725949,0.08993782759021585,,ztf,0.0980662936725949,0.0980662936725949,11.859548599924892,-0.7862071814284057
2458873.9266088,ZTF_i,20.298188983321552,0.20141383541481162,0.16983218094667052,,ztf,0.20141383541481162,0.20141383541481162,11.878518499899656,-0.47181006940703085
2458873.974838,ZTF_i,20.509198367372534,0.18641569975071093,0.15905024982804505,,ztf,0.18641569975071093,0.18641569975071093,11.926747699733824,-0.26080068535604894
2458873.9958218,ZTF_i,20.419207286867096,0.17296020953122948,0.14915596572722478,,ztf,0.17296020953122948,0.17296020953122948,11.947731500025839,-0.3507917658614872
2458874.0122917,ZTF_r,19.99091750236597,0.11601533141584852,0.10480668154237094,,ztf,0.11601533141584852,0.11601533141584852,11.964201400056481,-0.7790815503626121
2458874.0261921,ZTF_r,20.246218575853383,0.15093279168024765,0.13248889796075503,,ztf,0.15093279168024765,0.15093279168024765,11.978101799730211,-0.5237804768751992
