 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 366 7 3 ZTF_g 475163732715 0 3.8735 210.857 6.88222 26.1997 2.97982e-05 0.0462371 -0.126532 5.93492e-05 516 30. 0.06627 0.063667 19.6854 26.1997 1 2458229.6637384 366120127 -32.695099964139 45.1435097037637 -0.805642095028848 1.02492113634702 -80.7669662274904 60.4206305120561 -1.34574789608871 1.07508252443404 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 10 366 7 3 ZTF_r 475188632715 0 2.5063 392.78 7.48882 26.2117 8.2404e-06 0.027502 0.0893892 1.29878e-05 646 30. 0.051486 0.057902 20.0181 26.2117 1 2458229.6886343 366120227 15.6356591563205 38.1987518766617 0.455325342462522 1.05364394705157 -36.1674720326287 65.0889359217758 -0.559404782425997 1.04042401683603 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
 11 366 7 3 ZTF_g 478147852715 0 2.7931 53.5303 20.4557 24.8045 0.000348134 0.0454863 -0.172236 0.00118064 110 30. 0.054543 0.061767 17.4145 24.8045 1 2458232.6478588 366120127 -7.72379804462231 103.006655187515 -0.0834104426032471 1.04824361105727 128.50868489864 167.764678725903 0.771164700863772 1.03920203357235 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 12 366 7 3 ZTF_g 481168962715 0 2.5813 216.275 15.9612 26.2095 2.70248e-05 0.03991 -0.0612464 5.91089e-05 433 30. 0.050681 0.052508 19.1677 26.2095 1 2458235.6689699 366120127 83.8739594616387 77.5211330814344 1.2035436186645 1.04122243617724 120.772362820408 126.482226328405 0.961287409006689 1.05218408204209 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 13 366 7 3 ZTF_g 481190742715 0 2.3079 216.521 15.9976 26.1879 2.19617e-05 0.038004 -0.0429198 4.40672e-05 466 30. 0.044999 0.047305 19.2573 26.1879 1 2458235.6907407 366120127 -67.4788665290647 73.5420766933785 -1.02067315085125 0.970946508265007 -208.538774037331 126.604415269874 -1.65826203005014 1.05077618747089 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 14 366 7 3 ZTF_g 484168212715 0 2.826 209.47 17.0835 26.1508 2.98938e-05 0.0382174 -0.0543158 6.95174e-05 368 30. 0.047462 0.058435 18.9439 26.1508 1 2458238.6682176 366120127 29.0644134646318 96.3987395929471 0.33538606077264 0.967147327359557 -117.58614971665 147.818771864232 -0.800832652763669 1.06784999423873 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 15 366 7 3 ZTF_r 490152682715 0 1.9628 389.465 7.45478 26.1773 5.4537e-06 0.0222806 0.100404 8.63124e-06 645 30. 0.0461 0.049101 20.2494 26.1773 1 2458244.6526852 366120227 1.96478055805194 31.4723240650936 0.0694448491211107 1.00465053152305 58.7211230222488 60.4443545923298 0.978033656956607 1.03114454262531 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
 16 366 7 3 ZTF_g 490192022715 0 2.3264 190.57 5.76032 26.0724 1.27354e-05 0.0336788 -0.102661 2.0896e-05 628 30. 0.050738 0.056162 20.301 26.0724 1 2458244.6920255 366120127 -17.1251192982822 26.1586175958421 -0.728238470489336 0.975312970646082 -3.49985858184053 46.668396028385 -0.0754992806825892 1.03184643844658 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
 17 366 7 3 ZTF_r 493213832715 0 1.8598 384.682 6.97423 26.1522 5.7578e-06 0.0228316 0.111566 9.10217e-06 643 30. 0.045151 0.052113 20.3454 26.1522 1 2458247.713831 366120227 6.03161987889579 29.1845821939819 0.229898048436248 1.03393419436005 -42.4284468472288 54.6849957551886 -0.781095514189719 1.04086822773189 2.97316674906459 18.2790001869202 0.0829999968409538 6.49700021743774 0.405000001192093 2458182.827650 2458450.011227 0
 18 366 7 3 ZTF_g 504162012715 0 2.5632 194.85 9.23921 26.0868 1.68878e-05 0.0368192 -0.0788468 3.1059e-05 568 30. 0.049541 0.052139 19.6953 26.0868 1 2458258.6620139 366120127 126.041026026762 46.8310988268148 2.99386617040721 0.932969146220058 152.119742667227 78.6992862855478 1.94594239813849 1.04346433293227 2.98627013590586 18.5769998550415 0.0670000016689301 5.72300004959106 0.28999999165535 2458204.716435 2458450.982361 0
