HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459217.777,2021-01-03.2753710,bG,1.59,16.967,>16.967,99.99,0.012,0.119,g
2459221.959,2021-01-07.4570402,bC,1.46,18.687,>18.687,99.99,-0.023,0.024,g
2459223.805,2021-01-09.3031520,bk,1.47,18.327,>18.327,99.99,-0.052,0.034,g
2459226.759,2021-01-12.2570358,bG,1.57,18.135,>18.135,99.99,-0.055,0.04,g
2459226.793,2021-01-12.2903230,bk,1.61,18.3,>18.300,99.99,-0.145,0.035,g
2459229.938,2021-01-15.4355534,bC,1.58,18.372,>18.372,99.99,0.052,0.033,g
2459232.764,2021-01-18.2615496,bG,1.44,17.98,>17.980,99.99,0.1,0.047,g
2459235.492,2021-01-20.9888863,bo,2.07,18.159,>18.159,99.99,0.102,0.04,g
2459237.976,2021-01-23.4725285,bC,1.55,18.024,>18.024,99.99,0.007,0.045,g
2459241.708,2021-01-27.2041587,bG,1.46,16.894,>16.894,99.99,0.001,0.127,g
2459251.875,2021-02-06.3710304,bC,1.5,19.046,>19.046,99.99,-0.027,0.017,g
2459252.788,2021-02-07.2835728,bk,1.45,18.37,>18.370,99.99,-0.032,0.033,g
2459254.959,2021-02-09.4547092,bs,1.45,19.013,>19.013,99.99,-0.032,0.018,g
2459257.883,2021-02-12.3785827,bC,1.44,18.497,>18.497,99.99,0.041,0.029,g
2459259.778,2021-02-14.2731927,bk,1.58,18.458,>18.458,99.99,0.06,0.03,g
2459261.835,2021-02-16.3304641,bk,1.46,18.446,>18.446,99.99,0.047,0.03,g
2459263.666,2021-02-18.1607857,bG,1.44,18.282,>18.282,99.99,0.012,0.035,g
2459267.651,2021-02-22.1456399,bG,1.44,17.339,>17.339,99.99,-0.183,0.084,g
2459276.726,2021-03-03.2210434,bk,1.44,17.317,>17.317,99.99,-0.038,0.086,g
2459278.711,2021-03-05.2053523,bk,1.45,17.892,>17.892,99.99,0.045,0.051,g
2459280.682,2021-03-07.1768590,bk,1.44,18.497,>18.497,99.99,0.019,0.029,g
2459285.816,2021-03-12.3102799,bk,1.5,18.386,>18.386,99.99,-0.032,0.032,g
