HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458121,2018-01-02.5013505,bq,1.93,16.909,>16.909,99.99,0.298,0.125,g
2458121.15,2018-01-02.6514400,ba,1.72,16.573,>16.573,99.99,-0.421,0.18,V
2458122.143,2018-01-03.6450194,ba,1.71,16.862,>16.862,99.99,-0.166,0.138,V
2458123.14,2018-01-04.6418326,ba,1.71,16.942,>16.942,99.99,-0.068,0.128,V
2458123.99,2018-01-05.4916981,bq,1.76,17.454,>17.454,99.99,-0.008,0.076,g
2458124.135,2018-01-05.6370487,ba,1.8,17.14,>17.140,99.99,0.041,0.107,V
2458125.132,2018-01-06.6336122,ba,1.87,17.182,>17.182,99.99,0.13,0.103,V
2458126.996,2018-01-08.4969571,bq,1.55,17.802,>17.802,99.99,-0.09,0.055,g
2458131.022,2018-01-12.5229898,bq,1.57,18.564,>18.564,99.99,0.05,0.027,g
2458139.962,2018-01-21.4625319,bq,1.49,18.348,>18.348,99.99,-0.072,0.033,g
2458141.959,2018-01-23.4596701,bq,1.47,18.476,>18.476,99.99,-0.061,0.03,g
2458142.955,2018-01-24.4556421,bq,1.48,18.549,>18.549,99.99,0.018,0.028,g
2458143.953,2018-01-25.4533092,bq,1.5,18.577,>18.577,99.99,-0.065,0.027,g
2458144.942,2018-01-26.4427876,bq,1.67,18.538,>18.538,99.99,0.009,0.028,g
2458154.918,2018-02-05.4176238,bq,1.5,17.473,>17.473,99.99,0.083,0.074,g
2458161.107,2018-02-11.6059167,ba,2.42,18.005,>18.005,99.99,-0.039,0.048,V
2458179.984,2018-03-02.4823641,ba,2.08,16.441,>16.441,99.99,0.121,0.204,V
2458182.851,2018-03-05.3495581,bq,1.79,17.353,>17.353,99.99,-0.085,0.083,g
2458183.855,2018-03-06.3527812,bq,1.48,17.357,>17.357,99.99,0.042,0.083,g
2458190.816,2018-03-13.3138252,bq,1.49,18.471,>18.471,99.99,-0.059,0.03,g
2458193.818,2018-03-16.3157043,bq,1.54,18.573,>18.573,99.99,-0.013,0.027,g
2458194.938,2018-03-17.4351799,ba,1.63,17.798,>17.798,99.99,0.027,0.058,V
2458196.797,2018-03-19.2942891,bq,1.57,18.445,>18.445,99.99,-0.014,0.03,g
2458197.967,2018-03-20.4643894,bq,1.61,18.498,>18.498,99.99,0.044,0.029,g
2458198.788,2018-03-21.2853515,bq,1.56,18.316,>18.316,99.99,0.001,0.034,g
2458199.949,2018-03-22.4467253,bq,1.52,18.637,>18.637,99.99,-0.035,0.025,g
