###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58902.409895  20.687  0.522    19   10 o  0   1.88 146.19499  51.68739  9909.79  6663.46 2.74 2.06 -88.7 -0.397 19.68 21.32 01a58902o0436o
58902.415368 -22.306  2.065    -4    9 o  0   2.30 146.19499  51.68739  9928.53  6697.68 3.16 2.09 -86.7 -0.397 19.57 21.33 01a58902o0447o
58902.418175 -20.907  0.651   -16   10 o  0   1.86 146.19499  51.68739  9867.96  6623.81 3.20 2.16 -87.0 -0.383 19.58 21.34 01a58902o0453o
58902.423961  19.692  0.310    48   15 o  0   1.82 146.19499  51.68739 10520.57  3879.91 2.92 2.16 -85.0 -0.371 19.63 21.36 01a58902o0465o
58902.427187  21.206  1.087    12   13 o  0   1.60 146.19499  51.68739 10501.32  3837.94 2.89 2.13 -85.7 -0.382 19.66 21.36 01a58902o0472o
58902.431976  21.160  0.763    12   10 o  0   1.55 146.19499  51.68739  9857.78  6739.39 2.37 2.14 -88.1 -0.404 19.75 21.36 01a58902o0482o
58906.595959 -22.897  4.278    -2   11 o  0   2.47 146.19499  51.68739  4036.79  8854.71 2.66 2.28 -72.7 -0.410 19.27 20.57 01a58906o0737o
58906.600759  20.358  0.522    26   14 o  0   1.58 146.19499  51.68739  4056.81  8894.44 2.71 2.37 -71.3 -0.405 19.26 20.56 01a58906o0747o
58906.619086  24.209 19.000     1   14 o  0   1.35 146.19499  51.68739  3992.71  8815.69 2.75 2.35 -72.6 -0.403 19.21 20.50 01a58906o0781o
58906.624617  21.874  2.788     6   18 o  0   1.09 146.19499  51.68739  3969.59  8932.97 3.11 2.68 -73.3 -0.404 19.05 20.43 01a58906o0793o
58910.399834  20.923  0.654    16   10 o  0   1.61 146.19499  51.68739  6576.51  1712.71 2.27 2.05 -13.0 -0.399 19.54 20.59 01a58910o0394o
58910.403590 -20.824  0.689   -17   12 o  0   1.50 146.19499  51.68739  6556.85  1671.67 2.34 2.03 -10.4 -0.394 19.54 20.58 01a58910o0402o
58910.410609  20.575  0.476    21   10 o  0   2.62 146.19499  51.68739  3987.62  8824.57 1.93 1.86 -60.7 -0.425 19.61 20.60 01a58910o0416o
58910.423466  22.330  2.698     4   12 o  0   2.19 146.19499  51.68739  3968.43  8939.01 2.19 2.06 -58.9 -0.428 19.45 20.62 01a58910o0443o
58914.368075  22.518  4.477     4   16 o  0   1.69 146.19499  51.68739  7995.32  6098.63 1.98 1.91  -1.2 -0.421 19.02 19.29 01a58914o0324o
58914.371299  25.850 133.000     0   22 o  0   0.70 146.19499  51.68739  7974.70  6059.53 1.97 1.94 -22.9 -0.426 19.04 19.29 01a58914o0331o
58914.377288  20.880  1.126    16   18 o  0   1.37 146.19499  51.68739  8032.58  6139.37 1.95 1.93 -69.9 -0.426 19.05 19.29 01a58914o0344o
58914.387235  20.820  1.048    17   18 o  0   1.28 146.19499  51.68739  8048.30  6024.71 1.97 1.91 -68.6 -0.429 19.07 19.30 01a58914o0365o
58916.560989 -19.142  0.717   -80   57 o  0   0.80 146.19499  51.68739  6555.21  3948.19 3.13 2.73  34.9 -0.382 17.80 18.15 02a58916o0033o
58916.561446 -19.185  0.669   -77   51 o  0   1.08 146.19499  51.68739  6535.86  3908.66 3.29 3.00  35.6 -0.388 17.73 18.15 02a58916o0034o
58916.562844  19.022  0.739    89   66 o  0   0.77 146.19499  51.68739  6594.37  3983.27 3.11 2.73  36.5 -0.381 17.77 18.14 02a58916o0037o
58916.570843 -20.014  1.492   -36   54 o  0   1.20 146.19499  51.68739  6615.74  3863.33 2.96 2.69  34.0 -0.372 17.78 18.09 02a58916o0054o
58918.456428  21.162  1.757    12   22 o  0   1.10 146.19499  51.68739  2541.10  4480.95 2.16 1.96  -2.8 -0.409 18.74 18.93 01a58918o0344o
58918.459268 -20.814  1.269   -17   22 o  0   1.16 146.19499  51.68739  2561.47  4519.57 2.13 1.93  -4.5 -0.411 18.74 18.92 01a58918o0350o
58918.464892 -19.718  0.512   -47   24 o  0   1.35 146.19499  51.68739  2505.38  4441.19 2.19 1.96  -4.9 -0.402 18.72 18.91 01a58918o0362o
58918.475689  20.862  1.349    16   22 o  0   1.57 146.19499  51.68739  2489.77  4556.83 2.14 1.92 -11.3 -0.401 18.71 18.89 01a58918o0385o
58920.399301 -20.029  0.351   -35   12 o  0   1.99 146.19499  51.68739  6549.98  3955.70 2.15 1.84  32.4 -0.443 19.11 19.64 02a58920o0205o
58920.402076 -20.419  0.560   -25   14 o  0   1.21 146.19499  51.68739  6534.16  3918.07 1.96 1.79 -60.2 -0.447 19.16 19.72 02a58920o0211o
58920.407603 -20.787  0.964   -18   17 o  0   1.06 146.19499  51.68739  6592.30  3995.63 2.01 1.81 -59.0 -0.444 19.09 19.71 02a58920o0223o
58920.418149 -20.457  1.214   -24   29 o  0   0.80 146.19499  51.68739  6611.44  3878.87 1.92 1.83 -61.8 -0.445 18.43 18.80 02a58920o0246o
58922.371464  18.936  0.294    97   28 o  0   1.52 146.19499  51.68739  7974.63 10083.86 2.15 2.07  21.1 -0.364 18.30 19.63 01a58922o0283o
58922.375424  19.439  0.426    61   26 o  0   1.40 146.19499  51.68739  2531.67   532.77 2.17 2.05   7.4 -0.398 18.26 19.53 01a58922o0291o
58922.386422  20.939  1.849    15   28 o  0   2.12 146.19499  51.68739  2475.97   450.14 2.75 2.28 -12.6 -0.334 18.30 19.32 01a58922o0314o
58922.410177  16.891  0.539   636  343 o  0   0.97 146.19499  51.68739  2465.18   566.60 3.23 2.61 -11.7 -0.288 15.79 16.47 01a58922o0324o
58932.419101 -22.792  2.905    -3    8 c  0   1.65 146.19499  51.68739  2650.56  3674.92 2.48 2.35 -55.8 -0.400 19.68 21.65 02a58932o0428c
58932.422383 -20.288  0.345   -28   10 c  0   1.73 146.19499  51.68739  2630.91  3635.32 2.51 2.38 -56.8 -0.397 19.65 21.63 02a58932o0435c
58932.428361 -21.335  0.875   -11    9 c  0   1.50 146.19499  51.68739  2689.23  3708.93 2.45 2.35 -53.0 -0.401 19.67 21.63 02a58932o0448c
58932.438486 -20.515  0.443   -23   10 c  0   1.14 146.19499  51.68739  2713.00  3591.41 2.74 2.62 -57.2 -0.390 19.52 21.57 02a58932o0470c
58934.342730  19.507  0.957    57   55 o  0   1.37 146.19499  51.68739  8163.98  2379.98 2.39 2.28 -76.6 -0.391 17.81 19.21 01a58934o0268o
58934.345957 -18.488  0.351  -146   51 o  0   1.48 146.19499  51.68739  8183.97  2418.44 2.29 2.22 -61.1 -0.385 17.76 19.15 01a58934o0275o
58934.351939   0.000 19.911     0   39 o  0   1.69 146.19499  51.68739  8130.84  2343.64 2.63 2.26 -11.1 -0.353 17.93 19.41 01a58934o0288o
58934.362078 -21.895 11.500    -6   73 o  0   1.10 146.19499  51.68739  8111.47  2459.18 2.25 2.14 -53.6 -0.387 17.46 18.85 01a58934o0310o
58938.476230  21.127  0.876    13   11 o  0   2.02 146.19499  51.68739  5409.40  2837.76 2.02 1.97  28.4 -0.399 19.50 20.57 01a58938o0229o
58938.481478 -22.493  2.854    -4   10 o  0   1.62 146.19499  51.68739  5402.48  2968.95 2.01 1.92  32.3 -0.394 19.49 20.47 01a58938o0240o
58942.370731 -20.212  1.915   -30   57 o  0   0.92 146.19499  51.68739  6299.63  2535.23 2.18 2.02  -1.5 -0.389 17.62 17.70 01a58942o0073o
58942.374415 -20.181  1.536   -31   47 o  0   1.33 146.19499  51.68739  6320.46  2573.94 2.27 1.93  -5.5 -0.395 17.75 17.89 01a58942o0081o
58942.380702 -22.099 15.219    -5   80 o  0   1.12 146.19499  51.68739  6262.99  2497.41 2.51 1.98  -3.3 -0.399 17.46 17.45 01a58942o0094o
58942.393049  20.058  1.623    34   56 o  0   1.30 146.19499  51.68739  6247.28  2616.64 2.17 2.13 -59.3 -0.404 17.63 17.68 01a58942o0119o
58946.298794 -20.284  0.856   -28   24 o  0   1.21 146.19499  51.68739  2523.35  1943.93 2.30 1.84  -8.2 -0.367 18.67 18.94 01a58946o0144o
58946.301923 -19.611  0.394   -52   20 o  0   2.02 146.19499  51.68739  8049.38  8625.34 2.27 1.84   8.1 -0.380 18.67 18.90 01a58946o0150o
58946.308106  19.789  0.564    44   25 o  0   1.42 146.19499  51.68739  7989.22  8550.41 2.15 1.85   9.5 -0.383 18.73 18.89 01a58946o0163o
58946.318781  21.092  1.604    13   21 o  0   1.37 146.19499  51.68739  7973.67  8665.07 2.27 1.87   6.1 -0.375 18.67 18.90 01a58946o0185o
58950.352341 -20.971  1.354   -15   20 o  0   1.43 146.19499  51.68739  8041.13  8583.57 2.07 1.88   5.3 -0.385 18.87 19.48 01a58950o0280o
