###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58500.632190 -22.611  3.391    -3   11 o  0   1.61 196.60490  53.47931  6392.40  4346.30 2.50 2.32 -74.6 -0.422 19.52 21.27 02a58500o0913o
58500.641831  21.032  1.081    14   15 o  0   0.78 196.60490  53.47931  6417.47  4383.22 2.49 2.35 -65.5 -0.418 19.54 21.25 02a58500o0932o
58500.652608  23.239  8.364     2   15 o  0   1.40 196.60490  53.47931  6362.43  4308.07 2.69 2.56 -73.5 -0.422 19.43 21.18 02a58500o0952o
58500.662001  21.399  1.474    10   15 o  0   3.52 196.60490  53.47931  6344.02  4424.04 2.38 2.20 -54.9 -0.426 19.51 21.01 02a58500o0972o
58502.603300  19.614  0.495    52   26 o  0   1.63 196.60490  53.47931   722.03 10394.43 3.52 2.97 -76.7 -0.462 18.82 20.05 01a58502o0810o
58502.605164  19.133  0.335    81   27 o  0   3.26 196.60490  53.47931  9403.68 10323.72 5.24 3.46 -77.1 -0.374 18.80 20.05 01a58502o0814o
58502.613235  19.062  0.284    86   24 o  0   2.02 196.60490  53.47931   728.14 10319.04 3.59 3.10 -75.0 -0.456 18.79 20.11 01a58502o0831o
58502.614622  21.013  1.667    14   24 o  0   1.13 196.60490  53.47931  7200.41   487.49 3.43 3.12 -81.0 -0.434 18.77 20.06 01a58502o0834o
58502.615081 -23.470 19.250    -2   29 o  0   2.33 196.60490  53.47931  9409.81 10248.34 5.03 3.44 -77.5 -0.391 18.78 20.12 01a58502o0835o
58502.623156  19.385  0.349    64   22 o  0   1.16 196.60490  53.47931   786.52 10355.66 3.36 2.84 -80.2 -0.479 18.92 20.19 01a58502o0852o
58502.624547 -20.664  1.077   -20   21 o  0   1.54 196.60490  53.47931  7192.18   408.70 3.50 3.25 -82.8 -0.425 18.79 20.15 01a58502o0855o
58502.625007  20.828  1.605    17   27 o  0   2.55 196.60490  53.47931  9473.40 10291.24 5.20 3.60 -75.9 -0.376 18.82 20.21 01a58502o0856o
58502.633527  19.123  0.236    82   19 o  0   1.30 196.60490  53.47931   821.32 10195.74 3.35 2.76 -80.8 -0.463 19.01 20.34 01a58502o0873o
58502.635122  20.822  1.097    17   19 o  0   1.78 196.60490  53.47931  7266.97   448.63 3.41 3.12 -82.6 -0.432 18.91 20.32 01a58502o0876o
58502.635583  21.537  2.667     9   24 o  0   2.26 196.60490  53.47931  9510.11 10134.94 5.12 3.40 -74.8 -0.386 18.97 20.40 01a58502o0877o
58502.645678  21.336  1.689    11   18 o  0   2.59 196.60490  53.47931  7299.71   290.93 3.32 3.17 -69.7 -0.429 19.13 20.75 01a58502o0897o
58506.622767 -19.861  0.657   -41   27 o  0   2.02 196.60490  53.47931  6848.13  9810.00 3.95 2.85 -83.0 -0.427 18.68 19.73 01a58506o0908o
58506.626888 -20.874  1.709   -16   28 o  0   1.67 196.60490  53.47931  5762.95 10101.18 4.21 3.25 -79.8 -0.405 18.66 19.83 01a58506o0916o
58506.633490 -20.153  0.916   -32   29 o  0   2.42 196.60490  53.47931  6870.56  9890.01 4.03 3.03 -81.6 -0.412 18.67 19.74 01a58506o0929o
58506.637724  19.008  0.314    90   28 o  0   5.33 196.60490  53.47931  4179.45   235.62 3.04 2.95  17.9 -0.414 18.64 19.74 01a58506o0937o
58506.644022  23.175 14.333     2   28 o  0   1.00 196.60490  53.47931  6808.84  9854.99 3.47 2.74 -82.1 -0.447 18.72 19.73 01a58506o0949o
58506.648426  20.609  1.200    21   25 o  0   1.09 196.60490  53.47931  4128.57   199.25 3.04 2.89  10.2 -0.425 18.69 19.74 01a58506o0957o
58506.654633  21.211  2.353    12   28 o  0   1.51 196.60490  53.47931  6786.22 10014.29 3.69 2.83 -83.5 -0.440 18.71 19.75 01a58506o0969o
58506.658812  21.736  3.676     7   27 o  0   1.21 196.60490  53.47931  4111.10   358.55 3.07 2.88  -0.0 -0.430 18.70 19.74 01a58506o0977o
58508.615192 -22.154  3.327    -5   17 o  0   0.99 196.60490  53.47931  5573.25  2421.77 2.18 2.06 -84.2 -0.457 19.36 20.17 02a58508o0900o
58508.626276  22.558  5.571     3   19 o  0   0.78 196.60490  53.47931  5597.25  2453.82 2.13 2.06  75.5 -0.435 19.36 20.20 02a58508o0921o
58508.636984  21.359  1.888    10   20 o  0   0.82 196.60490  53.47931  5545.85  2378.31 2.27 2.13 -79.5 -0.426 19.32 20.21 02a58508o0941o
58508.648086 -20.628  0.695   -20   14 o  0   1.26 196.60490  53.47931  5069.90  8081.86 2.26 2.01 -53.0 -0.443 19.37 20.18 02a58508o0961o
58510.593358  22.279  3.769     4   17 o  0   2.96 196.60490  53.47931   883.27  6404.44 2.76 2.61 -87.7 -0.477 19.32 20.93 01a58510o0830o
58510.604672  21.520  2.038     9   18 o  0   1.03 196.60490  53.47931   869.49  6365.73 2.84 2.58 -82.0 -0.473 19.28 20.93 01a58510o0851o
58510.613243  15.545  0.008  2198   18 o  0 778.59 196.60490  53.47931  9925.07  6298.27 4.56 3.02 -82.5 -0.418 19.29 20.92 01a58510o0864o
58510.616243  19.766  0.353    45   16 o  0   1.15 196.60490  53.47931   927.81  6439.16 2.81 2.54 -81.7 -0.480 19.34 20.95 01a58510o0870o
58510.622954 -21.302  1.730   -11   19 o  0   2.71 196.60490  53.47931  9900.65  6257.71 4.45 3.00 -82.6 -0.418 19.26 20.94 01a58510o0884o
58510.625714 -20.099  0.532   -33   18 o  0   1.21 196.60490  53.47931   935.31  6324.61 2.86 2.58 -80.3 -0.476 19.32 20.98 01a58510o0890o
58510.632250  15.498  0.009  2294   20 o  0 288.77 196.60490  53.47931  9958.39  6338.27 4.61 3.00 -81.9 -0.416 19.30 20.97 01a58510o0904o
58510.641125  15.246  0.005  2896   16 o  0 659.68 196.60490  53.47931  9979.35  6223.60 4.61 3.04 -80.4 -0.415 19.25 20.99 01a58510o0923o
58514.598518  21.424  1.233    10   12 o  0   3.90 196.60490  53.47931  3136.91  8227.14 3.31 3.08 -64.6 -0.431 19.37 21.49 01a58514o0828o
58514.609531  20.438  0.557    24   14 o  0   2.48 196.60490  53.47931  3120.73  8189.25 3.42 2.99 -77.1 -0.432 19.41 21.52 01a58514o0847o
58514.620459 -21.360  1.353   -10   14 o  0   1.18 196.60490  53.47931  3165.98  8268.30 3.22 2.82 -83.4 -0.437 19.44 21.56 01a58514o0865o
58514.631008  20.452  0.548    24   13 o  0   3.61 196.60490  53.47931  7318.71  2405.59 3.23 2.88 -86.6 -0.433 19.51 21.53 01a58514o0884o
