HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459075.981,2020-08-14.4771416,bD,1.47,18.922,>18.922,99.99,-0.053,0.02,g
2459079.86,2020-08-18.3566379,bD,1.57,18.641,>18.641,99.99,0.07,0.025,g
2459080.914,2020-08-19.4102434,bt,1.53,18.332,>18.332,99.99,0.072,0.034,g
2459083.965,2020-08-22.4609136,bD,1.83,18.704,>18.704,99.99,-0.012,0.024,g
2459088.438,2020-08-26.9341049,bp,1.65,17.704,>17.704,99.99,-0.023,0.06,g
2459089.958,2020-08-28.4534393,bD,1.58,18.546,>18.546,99.99,0.003,0.028,g
2459092.834,2020-08-31.3291475,bD,1.6,17.41,>17.410,99.99,-0.047,0.079,g
2459095.021,2020-09-02.5158039,bD,1.47,17.593,>17.593,99.99,-0.005,0.067,g
2459100.044,2020-09-07.5393840,bD,1.66,18.145,>18.145,99.99,-0.1,0.04,g
2459103.002,2020-09-10.4972085,bD,1.56,18.554,>18.554,99.99,-0.054,0.028,g
2459105.875,2020-09-13.3702429,bD,1.57,18.709,>18.709,99.99,0.019,0.024,g
2459114.996,2020-09-22.4910285,bD,1.51,18.815,>18.815,99.99,-0.008,0.022,g
2459117.986,2020-09-25.4803722,bD,1.57,18.786,>18.786,99.99,-0.029,0.022,g
2459121.785,2020-09-29.2800280,bD,1.47,17.507,>17.507,99.99,-0.155,0.072,g
2459128.96,2020-10-06.4548373,bD,1.51,18.133,>18.133,99.99,-0.054,0.041,g
2459130.95,2020-10-08.4442155,bD,1.48,18.243,>18.243,99.99,-0.036,0.037,g
2459132.974,2020-10-10.4690658,bD,1.47,18.395,>18.395,99.99,0.07,0.032,g
2459134.007,2020-10-11.5019417,bD,1.51,18.544,>18.544,99.99,0.014,0.028,g
2459139.8,2020-10-17.2943314,bt,1.67,18.799,>18.799,99.99,0.029,0.022,g
2459142.538,2020-10-20.0325657,bl,1.65,18.375,>18.375,99.99,-0.034,0.032,g
2459143.85,2020-10-21.3443756,bt,1.56,18.933,>18.933,99.99,0.022,0.019,g
2459144.853,2020-10-22.3477415,bt,1.58,18.428,>18.428,99.99,-0.029,0.031,g
2459148.56,2020-10-26.0544695,bl,1.56,17.547,>17.547,99.99,0.104,0.07,g
2459153.704,2020-10-31.1992340,bD,1.56,17.182,>17.182,99.99,0.309,0.097,g
2459154.928,2020-11-01.4230612,bD,1.46,17.426,>17.426,99.99,0.204,0.078,g
2459156.88,2020-11-03.3756417,bD,1.48,17.846,>17.846,99.99,0.046,0.053,g
2459161.807,2020-11-08.3027384,bt,1.57,18.084,>18.084,99.99,0.101,0.042,g
