HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458486.031,2019-01-02.5294726,bC,1.68,18.881,>18.881,99.99,0.07,0.02,g
2458496.01,2019-01-12.5074957,bC,1.45,18.797,>18.797,99.99,0.044,0.022,g
2458500.004,2019-01-16.5011619,bC,1.49,18.397,>18.397,99.99,0.045,0.032,g
2458502.885,2019-01-19.3825101,bs,1.55,17.389,>17.389,99.99,0.029,0.08,g
2458503.997,2019-01-20.4943010,bs,1.49,17.619,>17.619,99.99,0.206,0.065,g
2458508.067,2019-01-24.5644782,bC,1.49,17.842,>17.842,99.99,0.03,0.053,g
2458510.979,2019-01-27.4762616,bs,1.41,18.504,>18.504,99.99,0.039,0.029,g
2458511.937,2019-01-28.4345372,bs,1.64,18.812,>18.812,99.99,0.026,0.022,g
2458512.829,2019-01-29.3262671,bs,1.62,18.841,>18.841,99.99,0.043,0.021,g
2458516.926,2019-02-02.4231149,bs,1.85,18.665,>18.665,99.99,-0.018,0.025,g
2458536.905,2019-02-22.4018788,bs,1.46,17.936,17.765,0.187,0.284,0.049,g
2458539.973,2019-02-25.4691452,bs,1.46,18.184,>18.184,99.99,0.037,0.039,g
2458540.814,2019-02-26.3107423,bs,1.65,18.934,>18.934,99.99,-0.053,0.019,g
2458565.83,2019-03-23.3271373,bs,1.49,17.74,>17.740,99.99,0.077,0.058,g
2458572.769,2019-03-30.2662976,bC,1.38,18.684,18.455,0.177,0.151,0.024,g
2458576.783,2019-04-03.2797459,bC,1.48,18.659,>18.659,99.99,0.065,0.025,g
2458577.874,2019-04-04.3706667,bC,1.41,18.857,>18.857,99.99,0.048,0.021,g
2458578.768,2019-04-05.2651201,bs,1.61,18.591,>18.591,99.99,0.054,0.027,g
2458579.919,2019-04-06.4160679,bC,1.47,18.868,18.835,0.212,0.106,0.021,g
2458580.801,2019-04-07.2978446,bs,1.46,18.991,>18.991,99.99,0.021,0.018,g
2458581.897,2019-04-08.3939725,bC,1.48,18.857,>18.857,99.99,0.058,0.021,g
2458582.774,2019-04-09.2714723,bs,1.44,18.702,18.664,0.211,0.124,0.024,g
2458583.915,2019-04-10.4122222,bC,1.58,18.67,>18.670,99.99,0.12,0.025,g
2458585.611,2019-04-12.1078913,bs,1.82,17.898,>17.898,99.99,0.209,0.05,g
2458587.915,2019-04-14.4121724,bC,1.42,17.253,>17.253,99.99,0.197,0.091,g
2458588.686,2019-04-15.1829681,bs,1.42,17.893,>17.893,99.99,-0.052,0.051,g
2458591.892,2019-04-18.3893142,bC,1.53,17.684,>17.684,99.99,-0.015,0.061,g
2458593.81,2019-04-20.3077228,bs,1.48,17.535,>17.535,99.99,-0.014,0.07,g
2458595.817,2019-04-22.3151277,bC,1.81,18.536,>18.536,99.99,0.007,0.028,g
2458596.951,2019-04-23.4490797,bC,1.41,18.174,>18.174,99.99,-0.003,0.039,g
2458598.815,2019-04-25.3131425,bC,1.43,18.867,>18.867,99.99,-0.059,0.021,g
2458599.777,2019-04-26.2745497,bC,1.41,19.075,>19.075,99.99,0.051,0.017,g
2458604.743,2019-05-01.2412811,bC,1.84,18.507,>18.507,99.99,-0.044,0.029,g
2458605.716,2019-05-02.2147349,bs,1.42,18.868,>18.868,99.99,-0.031,0.021,g
2458607.791,2019-05-04.2889784,bC,1.42,18.786,18.736,0.209,0.116,0.022,g
2458608.77,2019-05-05.2682486,bs,1.41,18.804,>18.804,99.99,0.036,0.022,g
2458611.772,2019-05-08.2707409,bC,1.38,18.756,>18.756,99.99,0.059,0.023,g
2458615.762,2019-05-12.2605892,bC,1.44,18.541,>18.541,99.99,-0.133,0.028,g
2458616.882,2019-05-13.3812655,bC,1.41,18.031,>18.031,99.99,-0.1,0.045,g
2458618.771,2019-05-15.2701583,bs,1.47,17.726,>17.726,99.99,0.03,0.059,g
2458619.752,2019-05-16.2508765,bs,1.49,17.336,>17.336,99.99,-0.193,0.085,g
2458620.806,2019-05-17.3051383,bC,1.51,17.497,>17.497,99.99,0.105,0.073,g
2458622.834,2019-05-19.3332174,bC,1.43,17.556,>17.556,99.99,-0.09,0.069,g
2458624.906,2019-05-21.4056825,bC,1.48,17.709,>17.709,99.99,0.103,0.06,g
2458626.777,2019-05-23.2762892,bC,1.43,18.974,>18.974,99.99,0.041,0.019,g
2458627.753,2019-05-24.2521864,bs,1.46,18.611,>18.611,99.99,-0.115,0.026,g
2458631.871,2019-05-28.3709725,bC,1.38,19.112,>19.112,99.99,-0.021,0.016,g
2458635.845,2019-06-01.3448645,bC,1.42,18.919,>18.919,99.99,0.064,0.02,g
2458639.782,2019-06-05.2824469,bC,1.49,18.68,>18.680,99.99,0.038,0.024,g
2458640.715,2019-06-06.2155068,bs,1.46,18.651,>18.651,99.99,-0.08,0.025,g
2458641.776,2019-06-07.2765386,bs,1.47,18.854,>18.854,99.99,0.053,0.021,g
2458642.716,2019-06-08.2161234,bs,1.4,18.194,>18.194,99.99,-0.129,0.038,g
2458643.801,2019-06-09.3009587,bC,1.4,18.596,>18.596,99.99,0.131,0.027,g
