###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58205.350719 -20.140  1.570   -32   50 o  0   1.14 119.94706  25.35583  1415.91  5433.29 3.49 2.88  89.0 -0.460 18.33 19.25 01a58205o0103o
58205.361196  20.104  1.533    33   51 o  0   1.16 119.94706  25.35583  1445.24  5510.30 3.71 2.97  87.3 -0.444 18.31 19.24 01a58205o0124o
58205.371816  19.371  0.799    65   52 o  0   1.10 119.94706  25.35583  1386.94  5470.13 3.83 3.02  88.9 -0.434 18.24 19.20 01a58205o0145o
58205.382478  20.517  2.171    23   49 o  0   1.26 119.94706  25.35583  1383.58  5622.56 4.03 3.13  86.7 -0.420 18.16 19.17 01a58205o0166o
58207.334024  20.540  1.245    22   28 o  0   1.41 119.94706  25.35583  2257.43  7436.71 2.37 2.11  13.9 -0.501 18.75 19.28 02a58207o0118o
58207.341458  21.560  3.082     9   27 o  0   2.09 119.94706  25.35583  2240.99  7377.87 2.37 2.04  17.1 -0.500 18.74 19.26 02a58207o0132o
58207.350422 -21.325  2.414   -11   26 o  0   1.94 119.94706  25.35583  2293.26  7473.81 2.45 2.06  18.2 -0.500 18.71 19.22 02a58207o0149o
58207.359473 -21.979  4.700    -6   28 o  0   1.37 119.94706  25.35583  2329.78  7356.30 2.38 2.02  17.9 -0.507 18.69 19.19 02a58207o0166o
58213.324604 -20.178  0.432   -31   13 o  0   2.14 119.94706  25.35583  7434.74  4115.69 3.36 3.29  -0.1 -0.431 19.12 20.76 01a58213o0163o
58213.333157 -20.350  0.552   -26   14 o  0   1.79 119.94706  25.35583  7462.68  4184.33 3.21 3.16  12.2 -0.435 19.17 20.72 01a58213o0180o
58213.342038  20.728  0.788    19   15 o  0   1.87 119.94706  25.35583  7420.23  4140.27 3.24 3.04 -83.3 -0.421 19.21 20.69 01a58213o0198o
58213.352597  19.661  0.329    50   16 o  0   1.58 119.94706  25.35583  7416.52  4293.06 3.35 2.92  89.2 -0.426 19.13 20.55 01a58213o0220o
58231.252322  19.741  2.590    46  119 o  0   1.27 119.94706  25.35583   809.24  4380.89 2.22 2.12   8.5 -0.424 16.90 17.14 02a58231o0071o
58231.262349  19.095  1.301    84  109 o  0   1.07 119.94706  25.35583   788.94  4341.66 2.26 2.20  12.6 -0.455 17.09 17.39 02a58231o0092o
58231.272124  21.360  7.631    10   79 o  0   0.99 119.94706  25.35583   837.90  4417.74 2.05 2.00  -2.1 -0.447 17.65 17.79 02a58231o0113o
58231.280430 -19.844  0.830   -42   35 o  0   1.61 119.94706  25.35583   854.57  4298.82 2.03 1.92 -18.1 -0.455 18.37 18.73 02a58231o0131o
58235.263427  19.437  0.341    61   21 o  0   2.38 119.94706  25.35583  1490.21  4097.35 2.16 2.09 -34.9 -0.457 18.62 19.05 02a58235o0035o
58235.273724  19.060  0.427    86   37 o  0   1.05 119.94706  25.35583  1470.02  4059.22 2.37 2.30 -15.0 -0.459 18.25 18.67 02a58235o0056o
58243.284756 -21.226  1.216   -12   14 o  0   2.04 119.94706  25.35583  1476.02  7470.81 2.34 2.19 -49.5 -0.452 19.20 20.20 02a58243o0127o
58243.293509 -19.539  0.506   -56   28 o  0   1.21 119.94706  25.35583  1459.57  7430.16 2.32 2.10  14.1 -0.478 18.54 19.43 02a58243o0145o
58243.302184  21.831  2.548     7   17 o  0   2.79 119.94706  25.35583  1510.85  7506.42 2.36 2.14  11.9 -0.477 18.89 19.81 02a58243o0163o
58243.308263 -19.340  1.240   -67   83 o  0   1.06 119.94706  25.35583  1545.56  7389.89 2.25 2.09 -45.8 -0.454 17.19 17.98 02a58243o0176o
58251.280548 -23.390  7.727    -2   12 c  0   1.93 119.94706  25.35583  8063.13  6750.70 2.66 2.53 -41.1 -0.400 19.42 20.88 02a58251o0126c
58251.291648  22.814  3.722     3   10 c  0   2.76 119.94706  25.35583  8044.90  6711.66 2.75 2.54 -46.9 -0.383 19.38 20.86 02a58251o0149c
