###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58302.420903  22.593  4.733     3   16 o  0   1.48 252.70876  45.39802  7695.34  4849.06 3.42 2.95 -85.0 -0.431 19.09 20.46 01a58302o0313o
58302.427085 -25.525 81.000    -0   18 o  0   1.00 252.70876  45.39802  7641.28  4773.94 3.43 2.95 -81.8 -0.432 19.08 20.41 01a58302o0326o
58302.440045 -21.128  1.357   -13   17 o  0   1.13 252.70876  45.39802  7630.12  4889.61 3.48 3.00 -84.0 -0.426 19.02 20.40 01a58302o0354o
58304.407949 -21.628  2.750    -8   22 o  0   1.09 252.70876  45.39802  4155.11  5980.39 2.38 2.25 -53.5 -0.444 18.73 20.14 02a58304o0362o
58304.418749 -21.153  1.108   -13   14 o  0   0.82 252.70876  45.39802  4141.71  5941.64 2.30 2.20 -43.6 -0.443 19.40 20.84 02a58304o0385o
58304.429346 -21.284  1.316   -11   15 o  0   1.11 252.70876  45.39802  4194.43  6017.13 2.23 2.11 -52.0 -0.447 19.22 20.38 02a58304o0408o
58304.435560  20.745  1.529    18   28 o  0   1.28 252.70876  45.39802  4207.67  5900.79 2.18 2.10 -39.2 -0.457 18.50 19.41 02a58304o0421o
58308.413872  18.276  0.054   178   10 c  0   1.35 252.70876  45.39802  3888.37  6083.35 2.52 2.51 -25.5 -0.418 19.80 21.91 02a58308o0115c
58308.424334  18.329  0.059   169   10 c  0   1.25 252.70876  45.39802  3874.85  6042.23 2.42 2.34  31.0 -0.431 19.79 21.87 02a58308o0135c
58308.439830  18.197  0.049   191    9 c  0   1.52 252.70876  45.39802  3924.44  6121.50 2.45 2.42  15.0 -0.428 19.77 21.86 02a58308o0163c
58308.447235  18.274  0.053   178   10 c  0   1.49 252.70876  45.39802  3951.48  6004.46 2.51 2.42   2.9 -0.428 19.80 21.85 02a58308o0177c
58310.393560  18.460  0.107   150   16 o  0   0.87 252.70876  45.39802  8996.93  3766.04 3.30 2.95 -83.3 -0.436 19.36 21.14 01a58310o0264o
58310.401388  18.531  0.108   140   15 o  0   1.09 252.70876  45.39802  9026.68  3803.54 3.38 3.10 -80.1 -0.425 19.31 21.12 01a58310o0281o
58310.410342  18.335  0.090   168   15 o  0   1.29 252.70876  45.39802  8969.91  3728.68 3.44 2.92 -83.8 -0.431 19.37 21.09 01a58310o0300o
58310.422328  18.599  0.109   132   14 o  0   1.27 252.70876  45.39802  8943.85  3846.85 3.38 2.88 -83.9 -0.440 19.33 21.06 01a58310o0326o
58312.407449  18.937  0.101    97   10 c  0   1.66 252.70876  45.39802  3499.81  6163.28 2.47 2.37 -42.1 -0.415 19.79 21.83 02a58312o0351c
58312.415694  18.792  0.092   110   10 c  0   0.86 252.70876  45.39802  3473.60  6125.03 2.46 2.41 -41.8 -0.416 19.79 21.84 02a58312o0369c
58312.423770  18.667  0.081   124   10 c  0   1.33 252.70876  45.39802  3540.88  6200.44 2.46 2.36 -35.7 -0.413 19.77 21.77 02a58312o0386c
58312.436178  18.860  0.089   104    9 c  0   1.42 252.70876  45.39802  3552.47  6083.29 2.46 2.36 -28.9 -0.414 19.76 21.73 02a58312o0413c
58318.377183  18.694  0.139   121   17 o  0   0.86 252.70876  45.39802  7563.28  5140.19 3.29 2.93 -80.7 -0.428 19.23 20.81 01a58318o0301o
58318.386592  19.033  0.189    88   17 o  0   1.27 252.70876  45.39802  7591.60  5176.58 3.50 3.18 -77.7 -0.412 19.22 20.86 01a58318o0321o
58318.397648  18.855  0.138   104   14 o  0   1.18 252.70876  45.39802  7522.60  5102.11 3.31 2.88 -81.1 -0.430 19.27 20.84 01a58318o0345o
