index,JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin
89,2458505.8394444,ZTF_r,,,22.778716470679193,,ztf
90,2458505.8533218,ZTF_r,24.588758396936527,,21.18213940019472,,ztf
91,2458505.866412,ZTF_r,,,,,ztf
92,2458505.8794097,ZTF_r,,,,,ztf
93,2458506.7609954,ZTF_r,22.37031911989003,,21.06298631212414,,ztf
94,2458506.7772801,ZTF_r,21.741470160987433,,20.84476069714428,,ztf
95,2458506.7932176,ZTF_r,21.377152828854026,23.564765413165993,20.699488796350508,,ztf
96,2458506.8093403,ZTF_r,23.151357211330286,,21.361693268404164,,ztf
97,2458506.8263542,ZTF_r,20.076893846736976,20.422337467296497,19.81523443947955,,ztf
98,2458506.8438889,ZTF_r,,,,,ztf
99,2458506.8615509,ZTF_r,,,21.934060813664235,,ztf
100,2458506.8781713,ZTF_r,22.98998846218285,,21.366082311892427,,ztf
101,2458506.8945255,ZTF_r,,,25.102761482389024,,ztf
102,2458506.9106713,ZTF_r,20.936859939929253,22.1209974958524,20.38397951259064,,ztf
103,2458508.6937037,ZTF_g,,,,,ztf
104,2458508.7398611,ZTF_r,,,23.340618144875414,,ztf
105,2458508.784919,ZTF_r,,,25.472663445714318,,ztf
106,2458508.7858333,ZTF_r,,,,,ztf
107,2458511.6738889,ZTF_g,,,24.69006466969609,,ztf
108,2458511.7128356,ZTF_r,,,,,ztf
109,2458511.7152431,ZTF_r,,,22.492809095314943,,ztf
110,2458511.7176736,ZTF_r,,,22.489182067133854,,ztf
111,2458511.7200926,ZTF_r,,,23.023026041728805,,ztf
112,2458511.7225231,ZTF_r,,,,,ztf
113,2458511.7273958,ZTF_r,23.70816196730169,,22.1387917976841,,ztf
114,2458511.729838,ZTF_r,,,,,ztf
115,2458511.7372106,ZTF_r,23.382606500371708,,21.857857371429006,,ztf
116,2458511.7421528,ZTF_r,,,,,ztf
117,2458511.7521991,ZTF_r,,,,,ztf
118,2458511.7547338,ZTF_r,,,,,ztf
119,2458511.7664236,ZTF_r,,,,,ztf
120,2458511.7695949,ZTF_r,22.441271194589145,24.878348507635522,21.747802121991494,,ztf
121,2458511.7727778,ZTF_r,,,,,ztf
122,2458511.7760069,ZTF_r,,,,,ztf
123,2458511.7792593,ZTF_r,,,,,ztf
124,2458511.7825463,ZTF_r,,,,,ztf
125,2458511.7858565,ZTF_r,,,,,ztf
126,2458511.7891667,ZTF_r,,,,,ztf
127,2458511.7924884,ZTF_r,,,,,ztf
128,2458511.7958449,ZTF_r,,,,,ztf
129,2458511.7995139,ZTF_r,,,,,ztf
130,2458511.8031134,ZTF_r,,,,,ztf
131,2458511.806713,ZTF_r,,,,,ztf
132,2458511.8103125,ZTF_r,,,,,ztf
133,2458511.8139005,ZTF_r,,,,,ztf
134,2458511.8175,ZTF_r,,,,,ztf
135,2458511.8210764,ZTF_r,,,,,ztf
136,2458511.8246412,ZTF_r,,,,,ztf
137,2458511.8281944,ZTF_r,,,,,ztf
138,2458511.8317361,ZTF_r,,,,,ztf
139,2458511.8352662,ZTF_r,23.820909948063424,,22.166309289761234,,ztf
140,2458511.8387847,ZTF_r,,,22.782950447980834,,ztf
141,2458511.8422917,ZTF_r,,,,,ztf
142,2458511.8457986,ZTF_r,,,,,ztf
143,2458511.8527662,ZTF_r,,,,,ztf
144,2458511.8562384,ZTF_r,,,23.678090110561783,,ztf
145,2458511.8631597,ZTF_r,,,,,ztf
146,2458511.8700579,ZTF_r,,,23.70050638593301,,ztf
147,2458511.8734838,ZTF_r,,,23.51073911020664,,ztf
148,2458512.7246181,ZTF_r,18.553826323065984,19.677655247996313,18.013541135699477,,ztf
149,2458512.7270718,ZTF_r,,,17.55600295839293,,ztf
150,2458512.7295139,ZTF_r,20.19524316213916,22.108479895418412,19.540109257179402,,ztf
151,2458512.7319792,ZTF_r,19.736188255947845,21.21161331359914,19.13290677180601,,ztf
152,2458512.7344329,ZTF_r,18.979494864537998,19.696702275615106,18.551316647353488,,ztf
153,2458512.7369097,ZTF_r,19.231925795023006,,17.922761045488095,,ztf
154,2458512.7468981,ZTF_r,,,18.635478772302232,,ztf
155,2458512.7494097,ZTF_r,,,,,ztf
156,2458512.751956,ZTF_r,,,19.73893316769933,,ztf
157,2458512.7604051,ZTF_r,,,,,ztf
158,2458512.7635648,ZTF_r,,,,,ztf
159,2458512.7667245,ZTF_r,,,22.757790658922676,,ztf
