###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58246.470129  21.153  1.207    13   15 o  0   1.53 208.90703  40.47754  3148.75  3549.35 3.06 2.96  12.9 -0.445 19.26 21.00 01a58246o0119o
58246.470587 -23.376  9.286    -2   15 o  0   1.38 208.90703  40.47754  3089.44  3473.07 3.20 3.09  53.9 -0.431 19.21 21.01 01a58246o0120o
58246.473978  19.944  0.442    38   17 o  0   1.04 208.90703  40.47754  3065.45  3602.56 3.31 3.04   0.9 -0.431 19.25 21.02 01a58246o0127o
58248.437708  21.324  1.213    11   13 o  0   1.02 208.90703  40.47754  6401.15  5039.88 2.24 1.96 -48.7 -0.454 19.48 20.67 02a58248o0456o
58248.445979  20.288  0.424    28   12 o  0   1.62 208.90703  40.47754  6380.41  5002.44 2.12 1.88 -58.8 -0.456 19.51 20.67 02a58248o0472o
58248.459871  20.280  0.474    28   13 o  0   1.27 208.90703  40.47754  6440.21  5080.76 2.15 1.98 -41.2 -0.456 19.27 20.50 02a58248o0502o
58248.463719  20.550  0.641    22   14 o  0   1.06 208.90703  40.47754  6453.61  4963.72 2.62 2.14 -46.7 -0.420 19.45 20.69 02a58248o0510o
58250.429088 -19.051  0.442   -87   38 o  0   1.66 208.90703  40.47754  2675.42  4458.35 3.12 3.04  38.9 -0.443 18.02 19.59 01a58250o0416o
58250.435662  20.183  0.747    31   23 o  0   1.18 208.90703  40.47754  2695.64  4523.58 3.11 2.94  80.8 -0.444 18.75 20.37 01a58250o0430o
58250.449946  21.421  2.205    10   22 o  0   0.98 208.90703  40.47754  2646.27  4500.63 3.08 2.87  80.8 -0.446 18.94 20.49 01a58250o0461o
58250.453261 -20.157  1.026   -31   32 o  0   0.96 208.90703  40.47754  2635.84  4629.92 3.14 2.79  -2.2 -0.454 18.38 19.81 01a58250o0468o
58251.578006  22.302  3.200     4   14 c  0   1.05 208.90703  40.47754  5206.79  6151.71 2.83 2.62 -44.6 -0.390 19.42 21.25 02a58251o0731c
58251.585432  21.807  1.622     7   11 c  0   1.50 208.90703  40.47754  5220.00  6154.05 2.91 2.67 -46.4 -0.386 19.36 21.17 02a58251o0746c
58251.594148 -20.713  0.697   -19   13 c  0   1.33 208.90703  40.47754  5206.61  6152.24 2.88 2.66 -46.9 -0.391 19.29 21.06 02a58251o0763c
58252.571034 -20.735  0.630   -18   12 c  0   1.21 208.90703  40.47754  5206.23  6148.29 2.63 2.48 -44.0 -0.402 19.43 21.07 02a58252o0682c
58252.580582 -21.875  2.350    -6   15 c  0   0.90 208.90703  40.47754  5220.07  6151.28 2.64 2.47 -43.8 -0.408 19.37 21.03 02a58252o0700c
58252.589173 -21.227  1.014   -12   12 c  0   1.70 208.90703  40.47754  5205.73  6149.32 2.60 2.44 -39.4 -0.409 19.35 20.96 02a58252o0717c
58254.459317  20.377  0.637    26   16 o  0   1.03 208.90703  40.47754  6110.61  6266.27 3.27 2.76 -88.1 -0.437 19.32 20.90 01a58254o0436o
58254.478908  23.178  9.500     2   18 o  0   1.01 208.90703  40.47754  6154.66  6374.70 3.52 2.99 -89.1 -0.419 19.16 20.81 01a58254o0478o
58254.488364  20.885  1.197    16   19 o  0   0.75 208.90703  40.47754  6110.68  6329.07 3.34 2.91  89.6 -0.426 19.24 20.75 01a58254o0497o
58254.498339 -21.500  2.485    -9   23 o  0   0.90 208.90703  40.47754  6116.46  6478.63 3.39 2.92  88.9 -0.426 18.95 20.45 01a58254o0518o
58256.421535  24.165 13.333     1   10 c  0   0.61 208.90703  40.47754  4294.64  7748.60 2.50 2.45  -1.0 -0.436 19.80 21.85 02a58256o0264c
