###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58323.634954 -17.646  0.516  -317  164 o  0   1.97   2.69121  21.13909  4549.16  7586.25 2.25 2.12  31.4 -0.459 16.87 16.94 02a58323o0792o
58326.529711 -19.630  0.566   -51   29 o  0   1.34   2.69121  21.13909  6075.25  4476.34 2.26 2.02 -44.0 -0.461 18.41 18.67 02a58326o0599o
58326.538266  20.969  1.950    15   29 o  0   1.29   2.69121  21.13909  6093.11  4514.98 2.29 2.02 -49.1 -0.461 18.31 18.67 02a58326o0617o
58326.546362  24.129 33.571     1   27 o  0   1.18   2.69121  21.13909  6020.11  4437.95 2.25 2.01 -46.7 -0.472 18.48 18.78 02a58326o0634o
58326.554898 -22.153  4.795    -5   24 o  0   1.20   2.69121  21.13909  6000.17  4554.31 2.37 2.02 -45.0 -0.443 18.70 19.08 02a58326o0652o
58327.557743 -20.089  0.714   -34   24 o  0   1.20   2.69121  21.13909  5175.32  8086.57 3.07 2.68 -82.2 -0.457 18.77 19.70 01a58327o0668o
58327.569897 -20.461  1.118   -24   27 o  0   1.02   2.69121  21.13909  5155.09  8047.01 3.14 2.68 -81.3 -0.453 18.73 19.73 01a58327o0690o
58327.571320 -18.889  3.426  -101  346 o  0   1.09   2.69121  21.13909  3754.92  1638.26 2.21 2.13  70.6 -0.480 15.67 16.37 02a58327o0660o
58327.582769 -19.135  2.752   -80  222 o  0   1.01   2.69121  21.13909  3773.38  1681.89 3.31 3.09  -5.2 -0.235 15.91 16.13 02a58327o0678o
58327.589909 -20.813  1.370   -17   24 o  0   1.41   2.69121  21.13909  5203.44  8122.79 3.16 2.67 -81.9 -0.457 18.73 19.75 01a58327o0729o
58327.602184  21.104  1.580    13   21 o  0   1.17   2.69121  21.13909  5271.52  2560.54 2.68 2.66 -44.8 -0.475 18.83 19.79 01a58327o0751o
58329.613443 -20.986  3.523   -15   52 o  0   0.82   2.69121  21.13909  6076.77  4422.43 2.99 2.82 -79.9 -0.433 17.79 18.49 01a58329o0761o
58329.629161  19.875  2.626    41  107 o  0   0.95   2.69121  21.13909  6094.95  4458.66 3.05 2.85 -88.1 -0.452 17.08 18.06 01a58329o0783o
58333.609826 -19.921  1.164   -39   46 o  0   0.86   2.69121  21.13909  6249.24  1328.53 2.90 2.61  -0.8 -0.471 18.20 19.37 01a58333o0580o
58333.619460  20.321  1.518    27   41 o  0   0.81   2.69121  21.13909  6267.14  1365.59 2.93 2.87  -0.4 -0.461 18.22 19.32 01a58333o0596o
58333.633810 -21.029  3.871   -14   54 o  0   1.06   2.69121  21.13909  6212.85  1286.25 2.95 2.90 -25.3 -0.460 17.83 18.49 01a58333o0617o
58335.617830  22.096  2.222     5   12 c  0   1.10   2.69121  21.13909  6247.51  9093.91 2.73 2.65 -36.1 -0.410 19.50 20.99 02a58335o0788c
58335.629363 -19.611  0.524   -52   27 c  0   0.98   2.69121  21.13909  6225.68  9055.88 2.77 2.65 -25.8 -0.424 18.81 19.95 02a58335o0812c
58337.604946 -22.411  4.650    -4   18 o  0   1.08   2.69121  21.13909  5312.72  2630.85 2.88 2.51  -5.0 -0.490 19.18 20.69 01a58337o0724o
58337.616200  20.817  0.853    17   15 o  0   0.73   2.69121  21.13909  5332.13  2670.37 2.78 2.64  -9.6 -0.470 19.33 20.90 01a58337o0748o
58337.624671 -23.595 11.167    -1   15 o  0   1.25   2.69121  21.13909  5277.17  2592.14 3.25 2.77  -2.2 -0.445 19.03 20.42 01a58337o0765o
58339.607995  21.137  2.583    13   33 c  0   1.61   2.69121  21.13909  5651.67  8817.82 2.75 2.56 -48.8 -0.411 18.26 20.07 02a58339o0784c
58339.621222  21.910  5.357     6   34 c  0   1.09   2.69121  21.13909  5629.57  8779.42 2.70 2.56 -37.7 -0.416 18.39 20.10 02a58339o0812c
58339.632953  18.947  2.152    96  206 c  0   1.32   2.69121  21.13909  5701.54  8857.80 2.76 2.59 -34.8 -0.459 16.61 17.56 02a58339o0833c
58341.579806  22.664  3.067     3   10 o  0   1.29   2.69121  21.13909  6552.16  2255.63 3.03 2.87 -83.0 -0.504 19.51 21.48 01a58341o0708o
58341.588540 -20.625  0.874   -20   18 o  0   1.31   2.69121  21.13909  6569.98  2292.09 2.81 2.70 -10.2 -0.472 19.09 20.93 01a58341o0725o
58341.603922  21.386  0.857    10    9 o  0   1.43   2.69121  21.13909  6513.72  2214.21 2.98 2.74 -83.0 -0.457 19.52 21.55 01a58341o0755o
58341.619052 -21.972  1.625    -6   10 o  0   1.37   2.69121  21.13909  6497.74  2328.48 3.06 2.73 -82.3 -0.447 19.48 21.50 01a58341o0777o
58343.597846 -24.823 17.333    -0    7 c  0   1.26   2.69121  21.13909  6542.83  6301.47 2.67 2.59 -59.7 -0.413 19.79 22.01 02a58343o0378c
58343.604054 -21.793  1.106    -7    8 c  0   0.86   2.69121  21.13909  6522.58  6263.07 2.72 2.64 -54.7 -0.410 19.79 22.03 02a58343o0390c
58343.612790  21.781  1.061     7    8 c  0   1.26   2.69121  21.13909  6574.07  6340.33 2.66 2.60 -48.3 -0.415 19.80 22.01 02a58343o0408c
58343.622033 -20.716  0.500   -19    9 c  0   1.06   2.69121  21.13909  6592.02  6225.76 2.75 2.66 -24.2 -0.411 19.70 21.80 02a58343o0424c
58351.566517  20.705  0.628    19   12 o  0   0.78   2.69121  21.13909  3421.81  7321.83 2.50 2.34 -51.5 -0.432 19.61 21.28 02a58351o0684o
58351.582495 -22.004  1.644    -6    9 o  0   1.02   2.69121  21.13909  3401.70  7283.01 2.52 2.27 -48.7 -0.426 19.70 21.33 02a58351o0717o
58351.589640 -20.995  0.531   -14    8 o  0   1.25   2.69121  21.13909  3456.34  7362.59 2.35 2.11 -45.4 -0.438 19.73 21.36 02a58351o0730o
58351.600936  21.897  1.512     6   10 o  0   1.35   2.69121  21.13909  3472.58  7245.69 2.72 2.53 -44.9 -0.420 19.56 21.36 02a58351o0753o
58361.532625 -21.336  1.679   -11   18 o  0   1.16   2.69121  21.13909  5049.04  2112.41 3.02 2.83  -8.1 -0.451 18.95 20.28 01a58361o0611o
58361.546001  23.280 10.750     2   19 o  0   1.33   2.69121  21.13909  5069.27  2152.16 3.02 2.89  80.0 -0.456 18.84 20.24 01a58361o0638o
58361.558249 -24.166 24.500    -1   19 o  0   1.23   2.69121  21.13909  5014.06  2072.26 2.97 2.92 -16.8 -0.453 18.89 20.11 01a58361o0662o
58361.565942  21.369  1.661    10   17 o  0   1.42   2.69121  21.13909  4998.10  2189.96 2.88 2.80 -75.7 -0.461 18.93 20.04 01a58361o0678o
58363.555506  23.623  8.545     1   11 o  0   1.30   2.69121  21.13909  4642.22  7524.63 2.45 2.13 -54.4 -0.426 19.47 20.47 02a58363o0130o
58363.565956 -21.401  1.071   -10   11 o  0   1.40   2.69121  21.13909  4622.55  7485.88 2.31 2.18 -38.7 -0.456 19.38 20.44 02a58363o0152o
58365.529632 -21.111  1.094   -13   14 o  0   1.35   2.69121  21.13909  5679.38  1691.72 3.08 2.98  -9.9 -0.433 19.14 21.10 01a58365o0498o
58365.535587  22.228  2.864     5   13 o  0   1.12   2.69121  21.13909  5697.77  1729.33 3.07 2.98  -9.5 -0.437 19.26 21.02 01a58365o0510o
58365.554744 -21.154  0.948   -12   12 o  0   1.30   2.69121  21.13909  5643.09  1651.32 3.14 3.07 -78.5 -0.437 19.27 21.02 01a58365o0549o
58365.564668 -20.879  0.838   -16   14 o  0   0.87   2.69121  21.13909  5627.51  1769.12 3.06 3.01 -40.4 -0.435 19.28 21.02 01a58365o0570o
58367.535568 -21.246  0.929   -12   11 o  0   1.03   2.69121  21.13909  6000.88  7290.34 2.46 2.43 -45.4 -0.444 19.54 21.16 02a58367o0634o
58367.544941 -23.726  7.800    -1    9 o  0   1.26   2.69121  21.13909  5979.40  7253.94 2.26 2.21 -48.1 -0.455 19.67 21.13 02a58367o0654o
58367.554594 -21.713  1.265    -8   10 o  0   1.33   2.69121  21.13909  6033.33  7332.32 2.17 2.13 -31.8 -0.476 19.64 21.08 02a58367o0673o
58367.566179 -23.568  8.182    -1   11 o  0   1.29   2.69121  21.13909  6052.95  7214.84 2.32 2.28 -47.8 -0.456 19.58 21.07 02a58367o0696o
58369.522920 -20.143  0.527   -32   17 o  0   0.99   2.69121  21.13909  3609.01  3236.03 3.23 3.15  50.5 -0.434 19.05 21.06 01a58369o0462o
58369.535780 -21.941  2.115    -6   13 o  0   1.48   2.69121  21.13909  3627.28  3271.88 3.27 3.23 -36.4 -0.429 19.20 20.94 01a58369o0487o
58369.544323 -25.625 63.000    -0   13 o  0   1.16   2.69121  21.13909  3572.85  3195.33 3.04 2.98 -77.8 -0.448 19.22 20.91 01a58369o0505o
58369.556688 -21.789  1.853    -7   13 o  0   1.21   2.69121  21.13909  3555.41  3310.25 3.07 2.97 -87.2 -0.447 19.27 21.01 01a58369o0528o
58371.512417 -20.871  0.687   -16   11 o  0   0.98   2.69121  21.13909  4755.23  8630.09 2.25 2.11 -30.9 -0.452 19.61 20.79 02a58371o0599o
58371.522963 -22.944  4.955    -2   12 o  0   0.93   2.69121  21.13909  4716.24  8590.09 2.23 2.11 -15.9 -0.468 19.57 20.74 02a58371o0621o
58371.543162 -22.452  3.054    -4   12 o  0   0.90   2.69121  21.13909  4783.68  8669.01 2.19 2.01 -30.7 -0.470 19.65 20.88 02a58371o0661o
58371.553998 -24.241 15.000    -1   11 o  0   1.03   2.69121  21.13909  4802.24  8552.44 2.19 2.04 -34.3 -0.467 19.63 20.86 02a58371o0681o
58375.522914  21.943  1.395     6    8 c  0   1.14   2.69121  21.13909  3390.52  7916.28 2.66 2.56 -33.0 -0.426 19.69 21.61 02a58375o0114c
58375.532348  25.909 58.000     0    9 c  0   1.26   2.69121  21.13909  3370.46  7877.29 2.80 2.71  -6.5 -0.426 19.64 21.62 02a58375o0134c
58375.543302  22.559  2.360     3    8 c  0   1.61   2.69121  21.13909  3422.54  7953.90 2.63 2.50 -22.6 -0.435 19.71 21.62 02a58375o0156c
58375.552850 -22.739  3.571    -3   10 c  0   0.66   2.69121  21.13909  3441.77  7836.55 2.63 2.50 -18.4 -0.438 19.69 21.60 02a58375o0176c
58377.492153  21.892  2.429     6   15 o  0   1.47   2.69121  21.13909  6339.06  3449.06 3.09 2.81  76.4 -0.443 19.00 21.13 01a58377o0543o
58377.502240 -20.965  0.905   -15   14 o  0   1.00   2.69121  21.13909  6356.87  3484.28 3.01 2.80 -86.9 -0.436 19.32 21.05 01a58377o0564o
58377.522061 -21.942  2.031    -6   12 o  0   0.97   2.69121  21.13909  6284.12  3408.03 3.06 2.75 -86.6 -0.438 19.38 21.06 01a58377o0604o
58377.532540 -21.274  1.161   -11   13 o  0   0.93   2.69121  21.13909  6267.96  3524.96 3.15 2.72 -82.4 -0.434 19.31 20.92 01a58377o0626o
58379.500421  21.131  0.883    13   11 o  0   1.00   2.69121  21.13909  4139.13  8206.19 2.33 2.12 -43.2 -0.443 19.61 20.93 02a58379o0588o
58379.508393  21.822  1.763     7   12 o  0   0.80   2.69121  21.13909  4103.18  8168.08 2.29 2.13 -39.5 -0.445 19.64 21.03 02a58379o0605o
58379.516493  23.184  5.882     2   11 o  0   0.85   2.69121  21.13909  4174.42  8245.22 2.29 2.11 -34.3 -0.447 19.59 21.00 02a58379o0622o
58379.528618 -20.632  0.483   -20   10 o  0   1.44   2.69121  21.13909  4192.04  8129.06 2.29 2.10 -42.0 -0.449 19.59 20.94 02a58379o0646o
58383.498862 -19.301  0.706   -69   49 o  0   0.94   2.69121  21.13909  4085.30  7452.66 2.38 2.02 -44.9 -0.469 17.96 18.32 02a58383o0578o
58383.509974  19.696  0.352    48   17 o  0   1.91   2.69121  21.13909  4067.46  7413.75 2.38 2.09 -46.1 -0.435 18.98 19.48 02a58383o0599o
58383.525367  19.308  0.432    69   30 o  0   1.94   2.69121  21.13909  4120.57  7491.39 2.30 1.99 -44.1 -0.463 18.28 18.75 02a58383o0630o
58383.535000 -20.533  0.959   -22   21 o  0   1.53   2.69121  21.13909  4138.09  7373.07 2.30 2.00 -44.8 -0.457 18.67 19.09 02a58383o0649o
