###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59076.575418 -23.456  6.417    -2   10 o  0   2.78  41.51382   3.32991  3253.98  9633.07 1.77 1.65 -40.2 -0.420 19.68 20.66 01a59076o0710o
59076.580088  22.124  1.923     5   10 o  0   1.82  41.51382   3.32991  3236.83  9599.15 1.83 1.69 -30.3 -0.416 19.65 20.65 01a59076o0720o
59076.587024  20.771  0.559    18   10 o  0   1.68  41.51382   3.32991  3295.78  9677.67 1.76 1.68 -29.0 -0.428 19.66 20.63 01a59076o0735o
59076.606931 -20.741  0.453   -18    8 o  0   3.06  41.51382   3.32991  3317.73  9562.00 1.88 1.66 -19.0 -0.421 19.65 20.62 01a59076o0777o
59078.557057 -20.914  0.594   -16    9 c  0   1.36  41.51382   3.32991  7579.64  6746.47 2.73 2.57  38.9 -0.386 19.60 21.62 02a59078o0703c
59078.560258  21.579  1.317     8   11 c  0   1.65  41.51382   3.32991  7599.14  6784.76 2.61 2.45  39.1 -0.398 19.69 21.63 02a59078o0710c
59078.566229 -22.708  2.810    -3    8 c  0   2.39  41.51382   3.32991  7540.56  6707.78 2.67 2.43  42.3 -0.391 19.67 21.65 02a59078o0723c
59078.576368  22.144  1.722     5    9 c  0   2.47  41.51382   3.32991  7520.43  6824.27 2.67 2.40  41.0 -0.394 19.72 21.67 02a59078o0745c
59080.545868 -21.076  0.859   -14   12 o  0   1.10  41.51382   3.32991  7352.27  6044.71 2.26 2.11  -5.5 -0.382 19.65 20.91 01a59080o0688o
59080.552810  22.605  2.759     3    9 o  0   1.73  41.51382   3.32991  7334.09  6006.90 2.42 2.27  -3.2 -0.382 19.59 20.96 01a59080o0703o
59080.560670 -20.758  0.480   -18    9 o  0   1.46  41.51382   3.32991  7392.66  6083.69 2.28 2.12  -4.7 -0.386 19.61 20.95 01a59080o0720o
59080.565281 -20.706  0.545   -19   10 o  0   1.85  41.51382   3.32991  7412.15  5968.73 2.30 2.08  -4.3 -0.386 19.67 20.96 01a59080o0730o
59082.547802  20.975  0.683    15   10 c  0   2.21  41.51382   3.32991  6135.33  9169.94 2.54 2.50  28.5 -0.406 19.63 21.48 02a59082o0689c
59082.552021 -20.687  0.578   -19   11 c  0   1.41  41.51382   3.32991  6155.07  9209.12 2.54 2.51 -47.3 -0.403 19.62 21.48 02a59082o0698c
59082.554770  22.455  3.071     4   12 c  0   1.41  41.51382   3.32991  6097.07  9130.87 2.48 2.43   4.1 -0.408 19.67 21.48 02a59082o0704c
59082.559803 -21.220  0.943   -12   11 c  0   1.59  41.51382   3.32991  6076.61  9248.46 2.47 2.43  53.4 -0.403 19.67 21.50 02a59082o0715c
59084.545755 -22.009  1.597    -6    9 o  0   1.68  41.51382   3.32991  7356.44  6049.68 2.23 1.97  -6.0 -0.393 19.76 21.12 01a59084o0691o
