HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459221.175,2021-01-06.6764664,bD,1.62,15.851,>15.851,99.99,-0.054,0.332,g
2459222.127,2021-01-07.6288328,bD,1.48,17.559,>17.559,99.99,-0.182,0.069,g
2459222.127,2021-01-07.6288329,bA,1.8,17.871,>17.871,99.99,0.021,0.052,g
2459227.114,2021-01-12.6151728,bD,1.46,18.234,>18.234,99.99,0.076,0.037,g
2459227.113,2021-01-12.6151724,bA,1.72,18.85,>18.850,99.99,0.039,0.021,g
2459232.964,2021-01-18.4650722,bt,1.53,17.898,>17.898,99.99,0.03,0.05,g
2459236.966,2021-01-22.4664813,bt,1.5,17.747,>17.747,99.99,0.03,0.058,g
2459243.076,2021-01-28.5760943,bD,1.7,16.596,>16.596,99.99,0.059,0.167,g
2459244.089,2021-01-29.5895959,bA,2.19,16.819,>16.819,99.99,0.288,0.136,g
2459244.089,2021-01-29.5895957,bD,1.74,16.847,>16.847,99.99,0.043,0.133,g
2459247.051,2021-02-01.5514640,bA,1.71,17.13,>17.130,99.99,0.016,0.102,g
2459247.051,2021-02-01.5514646,bD,1.45,16.852,>16.852,99.99,-0.34,0.132,g
2459251.952,2021-02-06.4520497,bt,1.72,17.745,>17.745,99.99,-0.024,0.058,g
2459256.056,2021-02-10.5558849,bA,2.28,18.533,>18.533,99.99,-0.056,0.028,g
2459256.056,2021-02-10.5558848,bD,2.05,17.728,>17.728,99.99,0.054,0.059,g
2459258.076,2021-02-12.5761818,bA,2.11,18.727,>18.727,99.99,0.013,0.023,g
2459258.076,2021-02-12.5761828,bD,1.58,18.12,>18.120,99.99,-0.012,0.041,g
2459262.039,2021-02-16.5392233,bA,1.65,18.474,>18.474,99.99,0.028,0.03,g
2459262.04,2021-02-16.5392234,bD,1.46,17.982,>17.982,99.99,0.024,0.047,g
2459269.03,2021-02-23.5293493,bA,2.19,17.591,>17.591,99.99,-0.077,0.067,g
2459269.03,2021-02-23.5293493,bD,1.77,17.469,>17.469,99.99,0.182,0.075,g
2459280.87,2021-03-07.3684741,bt,1.48,18.403,>18.403,99.99,-0.061,0.032,g
2459283.909,2021-03-10.4072693,bt,1.54,17.792,>17.792,99.99,-0.105,0.056,g
2459288.828,2021-03-15.3264028,bt,2.01,18.22,>18.220,99.99,0.072,0.037,g
2459292.938,2021-03-19.4358300,bA,1.75,18.452,>18.452,99.99,0.088,0.03,g
2459292.938,2021-03-19.4358295,bD,1.52,17.804,>17.804,99.99,-0.122,0.055,g
