###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58244.403056  22.053  3.091     6   17 o  0   1.29 174.24897  55.16395  6559.11  4871.23 2.17 2.03 -57.5 -0.467 19.04 20.19 02a58244o0382o
58244.409902 -23.769 14.625    -1   16 o  0   1.19 174.24897  55.16395  6570.59  4752.33 2.11 1.95 -36.7 -0.456 19.14 20.17 02a58244o0397o
58246.412942 -19.919  1.121   -39   44 o  0   1.24 174.24897  55.16395  1360.14  4218.69 3.53 3.28  16.1 -0.419 18.07 19.71 01a58246o0008o
58248.368454 -21.198  0.925   -12   11 o  0   1.06 174.24897  55.16395  8122.60  4530.86 2.34 2.12 -43.0 -0.417 19.65 20.99 02a58248o0319o
58248.384234  20.643  0.613    20   12 o  0   1.25 174.24897  55.16395  8102.25  4489.75 2.31 2.07 -46.0 -0.435 19.61 20.85 02a58248o0353o
58248.388795 -21.274  1.105   -11   12 o  0   1.06 174.24897  55.16395  8156.86  4569.46 2.24 2.04 -48.7 -0.441 19.57 20.79 02a58248o0363o
58248.403747 -20.587  0.559   -21   12 o  0   1.10 174.24897  55.16395  8179.70  4456.90 2.13 2.05 -50.4 -0.471 19.58 20.72 02a58248o0392o
58250.352036  20.147  0.857    32   27 o  0   1.86 174.24897  55.16395 10326.68  4945.13 3.77 3.08 -84.1 -0.462 18.45 20.12 01a58250o0250o
58250.363667  19.815  0.513    43   22 o  0   1.55 174.24897  55.16395 10364.38  5023.60 4.22 3.05 -84.6 -0.447 19.00 20.69 01a58250o0275o
58250.366882  16.131  0.051  1281   65 o  0  29.39 174.24897  55.16395   940.14  5073.48 3.07 3.02  72.3 -0.453 19.07 20.78 01a58250o0282o
58250.370151 -16.943  0.823  -606  499 o  0   0.49 174.24897  55.16395   956.10  5124.93 3.32 3.05  81.3 -0.442 18.87 20.62 01a58250o0289o
58250.371525  21.540  2.818     9   25 o  0   1.15 174.24897  55.16395 10320.94  4980.59 4.36 3.01 -84.9 -0.451 18.87 20.57 01a58250o0292o
58250.382734  21.004  1.633    14   24 o  0   1.30 174.24897  55.16395 10317.76  5134.09 4.38 3.48 -83.0 -0.421 18.73 20.45 01a58250o0316o
