HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459747.517,2022-06-17.0192005,bk,1.49,17.823,>17.823,99.99,0.043,0.054,g
2459747.533,2022-06-17.0346531,bH,1.45,17.234,>17.234,99.99,0.084,0.093,g
2459748.524,2022-06-18.0253762,bH,1.63,17.97,17.49,0.141,0.366,0.047,g
2459749.498,2022-06-19.0004410,bG,1.41,18.009,>18.009,99.99,-0.019,0.045,g
2459749.516,2022-06-19.0176496,bH,1.39,18.113,>18.113,99.99,0.098,0.041,g
2459751.495,2022-06-20.9966918,bG,1.42,17.972,>17.972,99.99,0.122,0.047,g
2459751.511,2022-06-21.0125435,bH,1.43,17.642,>17.642,99.99,0.155,0.064,g
2459757.222,2022-06-26.7249923,bo,1.47,17.923,>17.923,99.99,0.072,0.049,g
2459758.273,2022-06-27.7749600,bp,1.49,17.814,>17.814,99.99,0.058,0.054,g
2459760.215,2022-06-29.7181112,bo,2.31,17.491,>17.491,99.99,0.127,0.073,g
2459760.505,2022-06-30.0079792,bl,1.5,17.572,>17.572,99.99,0.133,0.068,g
2459761.503,2022-07-01.0063288,bG,1.42,17.573,>17.573,99.99,0.211,0.068,g
2459762.233,2022-07-01.7353738,bp,1.59,17.442,>17.442,99.99,0.013,0.077,g
2459762.502,2022-07-02.0046027,bH,1.47,17.853,>17.853,99.99,0.211,0.052,g
2459764.474,2022-07-03.9770002,bG,1.4,17.383,>17.383,99.99,0.149,0.081,g
2459764.49,2022-07-03.9932440,bH,1.43,17.743,>17.743,99.99,0.06,0.058,g
2459766.455,2022-07-05.9582265,bH,2.14,17.216,>17.216,99.99,0.108,0.094,g
2459769.215,2022-07-08.7178165,bp,1.57,16.902,>16.902,99.99,0.307,0.126,g
2459773.451,2022-07-12.9549635,bl,2.08,16.162,>16.162,99.99,0.27,0.249,g
2459774.2,2022-07-13.7034590,bp,1.63,16.518,>16.518,99.99,0.078,0.179,g
2459855.888,2022-10-03.3925821,bG,1.56,15.714,>15.714,99.99,-0.48,0.376,g
2459859.874,2022-10-07.3787050,bG,1.47,17.112,>17.112,99.99,0.345,0.104,g
2459862.868,2022-10-10.3723634,bG,1.6,16.311,>16.311,99.99,0.032,0.217,g
2459863.869,2022-10-11.3728782,bG,1.46,16.372,>16.372,99.99,-0.087,0.205,g
2459864.865,2022-10-12.3691,bk,1.54,16.705,>16.705,99.99,-0.023,0.151,g
2459864.877,2022-10-12.3815337,bH,1.92,16.367,>16.367,99.99,-0.205,0.206,g
