HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459800.802,2022-08-09.3006746,bt,1.61,17.305,>17.305,99.99,-0.139,0.087,g
2459801.785,2022-08-10.2834819,bt,1.52,17.37,>17.370,99.99,-0.175,0.082,g
2459802.804,2022-08-11.3030951,bt,1.53,16.948,>16.948,99.99,0.175,0.121,g
2459804.797,2022-08-13.2951454,bt,1.51,17.037,>17.037,99.99,-0.265,0.111,g
2459805.796,2022-08-14.2949114,bt,1.43,16.2,>16.200,99.99,0.665,0.24,g
2459806.78,2022-08-15.2789186,bt,1.48,16.763,>16.763,99.99,0.44,0.143,g
2459809.909,2022-08-18.4076299,bD,1.44,18.221,>18.221,99.99,-0.039,0.037,g
2459811.98,2022-08-20.4778150,bD,1.54,18.59,>18.590,99.99,0.002,0.027,g
2459813.939,2022-08-22.4372370,bD,1.58,18.775,>18.775,99.99,-0.044,0.022,g
2459817.132,2022-08-25.6297680,bD,1.45,18.153,>18.153,99.99,-0.005,0.04,g
2459820.065,2022-08-28.5625092,bD,1.47,18.665,>18.665,99.99,-0.032,0.025,g
2459820.935,2022-08-29.4323151,bt,1.48,18.743,>18.743,99.99,0.018,0.023,g
2459822.888,2022-08-31.3849737,bD,2.02,18.605,>18.605,99.99,-0.042,0.026,g
2459824.864,2022-09-02.3608877,bD,1.47,18.545,>18.545,99.99,0.007,0.028,g
2459827.711,2022-09-05.2080197,bt,1.49,17.63,>17.630,99.99,0.143,0.064,g
2459829.863,2022-09-07.3592637,bD,2,17.53,>17.530,99.99,0.116,0.071,g
2459830.911,2022-09-08.4079781,bt,1.49,17.685,>17.685,99.99,-0.021,0.061,g
2459832.697,2022-09-10.1935914,bt,1.6,16.874,>16.874,99.99,-0.245,0.129,g
2459837.829,2022-09-15.3252946,bD,1.44,18.215,>18.215,99.99,0.016,0.038,g
2459838.755,2022-09-16.2508601,bt,1.44,17.855,>17.855,99.99,0.171,0.052,g
2459840.063,2022-09-17.5591751,bD,1.54,17.936,>17.936,99.99,0.026,0.049,g
2459840.918,2022-09-18.4141089,bt,1.47,18.512,>18.512,99.99,-0.001,0.029,g
2459843.042,2022-09-20.5383101,bD,1.48,18.749,>18.749,99.99,-0.02,0.023,g
2459843.929,2022-09-21.4250665,bt,1.48,18.265,>18.265,99.99,-0.007,0.036,g
2459844.796,2022-09-22.2916265,bt,1.45,18.396,>18.396,99.99,-0.034,0.032,g
2459845.882,2022-09-23.3776961,bD,1.59,18.752,>18.752,99.99,0.004,0.023,g
2459846.797,2022-09-24.2930528,bt,1.5,18.598,>18.598,99.99,-0.013,0.026,g
2459848.896,2022-09-26.3917423,bt,1.55,18.364,>18.364,99.99,-0.01,0.033,g
2459849.929,2022-09-27.4242454,bD,1.49,18.849,>18.849,99.99,0.004,0.021,g
2459851.87,2022-09-29.3655541,bD,1.5,18.605,>18.605,99.99,0.038,0.026,g
2459851.897,2022-09-29.3928275,bt,1.44,18.618,>18.618,99.99,0.074,0.026,g
2459852.847,2022-09-30.3423868,bD,1.74,18.63,>18.630,99.99,0.077,0.026,g
2459853.642,2022-10-01.1373479,bt,1.46,17.897,>17.897,99.99,0.073,0.05,g
2459854.079,2022-10-01.5741010,bD,1.45,18.568,>18.568,99.99,-0.026,0.027,g
2459854.635,2022-10-02.1304777,bt,1.54,18.109,>18.109,99.99,-0.061,0.041,g
2459855.079,2022-10-02.5744150,bD,1.48,18.647,>18.647,99.99,-0.005,0.025,g
2459855.634,2022-10-03.1296134,bt,1.51,18.569,>18.569,99.99,0.004,0.027,g
2459858.745,2022-10-06.2405887,bH,1.51,16.782,>16.782,99.99,0.368,0.141,g
2459859.717,2022-10-07.2123355,bl,1.5,16.095,>16.095,99.99,-0.026,0.265,g
2459859.953,2022-10-07.4479231,bD,1.58,16.962,>16.962,99.99,-0.174,0.119,g
2459860.867,2022-10-08.3618387,bD,1.46,17.564,>17.564,99.99,0.004,0.068,g
2459864.643,2022-10-12.1379730,bt,1.57,16.606,>16.606,99.99,0.034,0.165,g
2459865.689,2022-10-13.1842171,bt,1.61,16.879,>16.879,99.99,0.304,0.129,g
2459867.035,2022-10-14.5299707,bD,1.49,17.775,>17.775,99.99,0.112,0.056,g
2459867.93,2022-10-15.4252226,bD,1.44,18.089,>18.089,99.99,-0.118,0.042,g
