HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459582.546,2022-01-03.0470010,bE,1.47,17.95,>17.950,99.99,-0.043,0.048,g
2459584.628,2022-01-05.1296043,bq,1.57,18.155,>18.155,99.99,-0.019,0.04,g
2459585.542,2022-01-06.0435459,bE,1.47,17.514,>17.514,99.99,-0.058,0.072,g
2459590.754,2022-01-11.2560564,bA,2.05,16.309,>16.309,99.99,-0.184,0.218,g
2459596.628,2022-01-17.1299196,bq,1.61,16.609,>16.609,99.99,-0.457,0.165,g
2459600.582,2022-01-21.0844577,bq,1.62,18.022,>18.022,99.99,0.097,0.045,g
2459602.578,2022-01-23.0814158,bq,1.67,17.85,>17.850,99.99,0.193,0.053,g
2459611.554,2022-02-01.0573928,bq,1.65,16.691,>16.691,99.99,0.23,0.153,g
2459702.918,2022-05-03.4222300,bi,1.45,17.395,>17.395,99.99,-0.024,0.08,g
2459704.917,2022-05-05.4211472,bi,1.42,17.632,>17.632,99.99,-0.006,0.064,g
2459708.915,2022-05-09.4191905,bi,1.4,17.493,>17.493,99.99,0.041,0.073,g
2459711.664,2022-05-12.1679138,bm,1.56,17.335,>17.335,99.99,-0.182,0.085,g
2459712.665,2022-05-13.1687229,bm,1.59,17.583,>17.583,99.99,0.07,0.067,g
2459726.88,2022-05-27.3829876,bE,1.49,17.934,>17.934,99.99,0.151,0.049,g
2459727.108,2022-05-27.6106101,bA,1.74,17.66,>17.660,99.99,-0.062,0.063,g
2459727.876,2022-05-28.3788872,bE,1.49,18.168,>18.168,99.99,-0.139,0.039,g
2459733.095,2022-06-02.5973335,bA,1.72,18.284,>18.284,99.99,0.094,0.035,g
2459737.61,2022-06-07.1117769,bm,1.68,18.288,>18.288,99.99,-0.039,0.035,g
2459740.599,2022-06-10.1001314,bm,1.59,17.845,>17.845,99.99,0.126,0.053,g
2459740.84,2022-06-10.3416798,bi,1.42,17.604,>17.604,99.99,-0.31,0.066,g
2459747.67,2022-06-17.1707648,bm,1.51,16.873,>16.873,99.99,0.157,0.129,g
2459749.817,2022-06-19.3172902,bi,1.44,17.833,>17.833,99.99,-0.064,0.053,g
2459753.932,2022-06-23.4317271,bq,1.48,18.102,>18.102,99.99,-0.041,0.042,g
2459758.539,2022-06-28.0387210,bm,1.59,17.903,>17.903,99.99,0.017,0.05,g
2459759.538,2022-06-29.0370358,bm,1.54,17.88,>17.880,99.99,0.08,0.051,g
2459760.519,2022-06-30.0183043,bm,1.61,18.153,>18.153,99.99,0.055,0.04,g
2459761.884,2022-07-01.3832774,bq,1.52,17.95,>17.950,99.99,0.072,0.048,g
2459763.763,2022-07-03.2616523,bi,1.51,18.057,>18.057,99.99,0.011,0.043,g
2459764.881,2022-07-04.3795437,bE,1.47,18.139,>18.139,99.99,-0.216,0.04,g
2459768.512,2022-07-08.0101870,bm,1.5,17.969,>17.969,99.99,0.027,0.047,g
2459769.839,2022-07-09.3370406,bE,1.48,18.478,>18.478,99.99,0.031,0.029,g
2459771.857,2022-07-11.3550842,bq,1.5,17,>17.000,99.99,-0.54,0.115,g
2459775.602,2022-07-15.0995451,bm,1.66,16.745,>16.745,99.99,0.146,0.146,g
2459781.103,2022-07-20.6006155,bA,1.71,18.107,>18.107,99.99,0.068,0.042,g
2459782.846,2022-07-22.3432562,bi,1.41,18.11,>18.110,99.99,0.017,0.041,g
2459783.838,2022-07-23.3351491,bi,2.43,18.231,>18.231,99.99,0.017,0.037,g
2459784.133,2022-07-23.6298990,bA,1.64,16.46,>16.460,99.99,0.124,0.189,g
2459784.833,2022-07-24.3303442,bi,1.42,18.383,>18.383,99.99,-0.035,0.032,g
2459787.997,2022-07-27.4939483,bA,1.72,18.648,>18.648,99.99,0.082,0.025,g
2459790.934,2022-07-30.4302266,bA,1.68,18.94,>18.940,99.99,0.007,0.019,g
2459792.526,2022-08-01.0226589,bm,1.66,18.028,>18.028,99.99,-0.028,0.045,g
2459793.746,2022-08-02.2423114,bi,1.44,18.167,>18.167,99.99,0.039,0.039,g
2459795.797,2022-08-04.2937363,bq,1.51,17.891,>17.891,99.99,0.096,0.051,g
2459796.738,2022-08-05.2343789,bi,1.53,18.112,>18.112,99.99,0.112,0.041,g
2459797.687,2022-08-06.1833815,bE,1.47,17.842,>17.842,99.99,0.016,0.053,g
2459800.68,2022-08-09.1760299,bE,1.5,17.296,>17.296,99.99,0.108,0.088,g
2459801.675,2022-08-10.1708568,bi,1.53,16.549,>16.549,99.99,0.747,0.174,g
2459803.818,2022-08-12.3132413,bi,1.56,16.494,>16.494,99.99,0.417,0.183,g
2459808.557,2022-08-17.0519096,bm,1.65,16.942,>16.942,99.99,0.206,0.121,g
2459808.948,2022-08-17.4430769,bA,1.72,17.769,>17.769,99.99,0.122,0.057,g
2459809.828,2022-08-18.3235730,bi,1.41,17.851,>17.851,99.99,-0.145,0.053,g
2459812.04,2022-08-20.5356524,bA,2.12,18.117,>18.117,99.99,0.128,0.041,g
2459813.422,2022-08-21.9175381,bm,1.53,17.955,17.788,0.188,0.278,0.048,g
2459815.403,2022-08-23.8979533,bm,2.08,17.802,17.223,0.128,0.469,0.055,g
