HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459907.673,2022-11-24.1701684,bH,1.5,18.377,>18.377,99.99,0.04,0.032,g
2459910.322,2022-11-26.8196994,bp,1.61,18.338,>18.338,99.99,0.004,0.034,g
2459911.606,2022-11-28.1035276,bl,1.45,18.288,>18.288,99.99,0.013,0.035,g
2459912.681,2022-11-29.1784773,bt,1.65,18.357,>18.357,99.99,-0.071,0.033,g
2459913.553,2022-11-30.0513403,bl,1.44,18.119,>18.119,99.99,-0.071,0.041,g
2459917.563,2022-12-04.0616925,bl,1.71,17.222,>17.222,99.99,-0.291,0.094,g
2459918.605,2022-12-05.1039244,bl,1.61,17.194,>17.194,99.99,0.067,0.096,g
2459919.625,2022-12-06.1231792,bl,1.47,16.957,>16.957,99.99,0.309,0.12,g
2459920.58,2022-12-07.0790027,bl,1.5,17.314,>17.314,99.99,-0.049,0.086,g
2459921.607,2022-12-08.1055401,bl,1.53,17.214,>17.214,99.99,0.075,0.094,g
2459927.733,2022-12-14.2327762,bD,1.48,18.546,>18.546,99.99,-0.021,0.028,g
2459928.603,2022-12-15.1021115,bl,1.65,18.551,>18.551,99.99,0.072,0.028,g
2459929.61,2022-12-16.1096004,bl,1.54,18.619,>18.619,99.99,0.005,0.026,g
2459930.62,2022-12-17.1199855,bl,2.02,18.349,>18.349,99.99,-0.023,0.033,g
2459932.656,2022-12-19.1558652,bt,1.47,18.55,>18.550,99.99,-0.017,0.028,g
2459933.665,2022-12-20.1646603,bt,1.5,18.288,>18.288,99.99,0.045,0.035,g
2459941.299,2022-12-27.8001057,bp,1.58,17.811,>17.811,99.99,0.095,0.055,g
2459945.307,2022-12-31.8083543,bp,1.69,17.188,>17.188,99.99,0.029,0.097,g
2459946.546,2023-01-02.0473920,bH,1.57,17.543,>17.543,99.99,-0.257,0.07,g
2459947.557,2023-01-03.0580033,bl,1.53,17.07,>17.070,99.99,0.237,0.108,g
2459948.304,2023-01-03.8051699,bp,1.61,17.208,>17.208,99.99,0.057,0.095,g
2459949.543,2023-01-05.0448965,bH,1.52,17.073,>17.073,99.99,-0.313,0.108,g
2459950.546,2023-01-06.0473875,bH,1.44,16.94,>16.940,99.99,0.146,0.122,g
2459952.544,2023-01-08.0453828,bl,1.57,17.621,>17.621,99.99,0.069,0.065,g
2459953.533,2023-01-09.0354074,bl,1.5,17.501,>17.501,99.99,0.014,0.073,g
2459956.533,2023-01-12.0350931,bH,1.52,17.61,>17.610,99.99,-0.019,0.066,g
2459957.529,2023-01-13.0310405,bH,1.46,16.509,>16.509,99.99,-0.5,0.181,g
2459958.529,2023-01-14.0309004,bH,1.57,16.986,>16.986,99.99,0.212,0.117,g
2459963.578,2023-01-19.0808069,bt,2.05,17.976,>17.976,99.99,-0.164,0.047,g
2459965.578,2023-01-21.0812630,bt,1.64,17.968,>17.968,99.99,0.019,0.047,g
2459966.571,2023-01-22.0743646,bt,1.59,17.822,>17.822,99.99,-0.086,0.054,g
2459974.552,2023-01-30.0561612,bt,2.05,15.483,>15.483,99.99,-0.618,0.466,g
2460061.922,2023-04-27.4260030,bH,1.52,15.612,>15.612,99.99,1.49,0.413,g
2460065.66,2023-05-01.1638680,bp,1.64,17.938,>17.938,99.99,0.025,0.049,g
2460067.911,2023-05-03.4147387,bH,1.42,18.002,>18.002,99.99,-0.127,0.046,g
2460069.914,2023-05-05.4178050,bH,1.49,16.836,>16.836,99.99,-0.093,0.134,g
2460072.656,2023-05-08.1599846,bp,1.56,17.005,>17.005,99.99,0.171,0.115,g
2460089.904,2023-05-25.4062712,bl,1.53,18.204,>18.204,99.99,-0.061,0.038,g
2460091.618,2023-05-27.1200961,bp,1.5,18.171,>18.171,99.99,-0.09,0.039,g
2460092.611,2023-05-28.1131208,bp,1.53,18.302,>18.302,99.99,-0.028,0.035,g
2460093.607,2023-05-29.1094454,bp,1.69,18.413,>18.413,99.99,-0.02,0.031,g
2460096.102,2023-05-31.6040189,bD,1.53,18.297,>18.297,99.99,0.136,0.035,g
2460097.618,2023-06-02.1197622,bp,1.5,16.979,>16.979,99.99,-0.166,0.117,g
2460101.609,2023-06-06.1099685,bp,1.63,16.572,>16.572,99.99,0.256,0.171,g
2460102.101,2023-06-06.6020486,bD,1.48,17.499,>17.499,99.99,-0.096,0.073,g
2460103.845,2023-06-08.3460650,bH,1.58,17.076,>17.076,99.99,0.105,0.107,g
2460104.861,2023-06-09.3618822,bH,1.41,17.532,>17.532,99.99,-0.07,0.071,g
2460121.043,2023-06-25.54275,bD,1.6,18.427,>18.427,99.99,0.087,0.031,g
2460124.778,2023-06-29.2768732,bH,1.51,17.709,>17.709,99.99,0.074,0.06,g
2460125.774,2023-06-30.2730925,bH,1.7,17.207,>17.207,99.99,0.332,0.095,g
2460126.816,2023-07-01.3151457,bH,1.55,17.114,>17.114,99.99,0.053,0.104,g
2460127.862,2023-07-02.3605209,bl,1.45,17.375,>17.375,99.99,0.097,0.081,g
2460130.53,2023-07-05.0283381,bp,1.6,16.894,>16.894,99.99,0.054,0.127,g
2460140.092,2023-07-14.5901350,bD,1.92,18.719,>18.719,99.99,0.037,0.024,g
2460142.721,2023-07-17.2189009,bH,1.4,18.185,>18.185,99.99,-0.035,0.039,g
2460149.012,2023-07-23.5094326,bD,1.48,19.097,>19.097,99.99,0,0.017,g
2460150.871,2023-07-25.3678541,bH,1.39,18.379,>18.379,99.99,-0.014,0.032,g
2460153.951,2023-07-28.4471685,bD,1.54,17.898,>17.898,99.99,0.142,0.05,g
2460156.95,2023-07-31.4462156,bD,1.4,17.322,>17.322,99.99,0.198,0.086,g
2460157.67,2023-08-01.1666069,bl,1.75,16.719,>16.719,99.99,0.366,0.149,g
2460159.736,2023-08-03.2324533,bH,1.64,16.665,16.495,0.187,0.917,0.157,g
2460166.627,2023-08-10.1225912,bp,1.6,18.287,>18.287,99.99,-0.019,0.035,g
2460178.031,2023-08-21.5259098,bD,1.51,18.551,>18.551,99.99,-0.029,0.028,g
2460181.902,2023-08-25.3964641,bD,1.53,18.098,>18.098,99.99,0.006,0.042,g
2460182.897,2023-08-26.3921105,bD,1.5,18.046,>18.046,99.99,0.066,0.044,g
2460184.01,2023-08-27.5048827,bD,1.56,18.484,>18.484,99.99,0.001,0.029,g
2460184.453,2023-08-27.9473528,bp,1.49,17.554,>17.554,99.99,-0.09,0.069,g
2460191.327,2023-09-03.8220071,bp,1.52,18.538,>18.538,99.99,-0.096,0.028,g
2460192.738,2023-09-05.2329943,bt,1.45,17.975,>17.975,99.99,-0.041,0.047,g
2460194.838,2023-09-07.3321001,bt,1.49,18.449,>18.449,99.99,-0.03,0.03,g
2460197.903,2023-09-10.3974577,bD,1.75,18.687,>18.687,99.99,0.031,0.024,g
2460199.322,2023-09-11.8164104,bp,1.56,18.15,>18.150,99.99,0.004,0.04,g
2460199.849,2023-09-12.3430070,bD,2,18.171,>18.171,99.99,0.021,0.039,g
2460201.001,2023-09-13.4948976,bD,1.47,18.527,>18.527,99.99,0.066,0.028,g
2460201.423,2023-09-13.9168666,bp,1.63,18.455,>18.455,99.99,0.086,0.03,g
2460202.322,2023-09-14.8163625,bp,1.73,18.402,>18.402,99.99,0.035,0.032,g
