         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57902.356924 19.472870      NaN   23    12 c    0   1.74 196.6049 53.47931  2031.85  5958.92 2.43 2.36   9.1 -0.455    19.63 21.37 02a57902o0240c   0x0000  23.845357
57902.375382 19.549093      NaN   19    12 c    0   1.93 196.6049 53.47931  2080.06  6030.13 2.47 2.44  24.2 -0.460    19.74 21.50 02a57902o0276c   0x0000  23.845357
57902.395382 19.894850      NaN    4    12 c    0   0.88 196.6049 53.47931  2103.50  5909.70 2.47 2.45  27.5 -0.455    19.75 21.49 02a57902o0315c   0x0000  23.845357
57902.403050 19.696897      NaN   -9    16 c    0   0.43 196.6049 53.47931  2069.03  5967.62 2.44 2.39   5.9 -0.455    19.76 21.44 02a57902o0330c   0x0000  26.088331
58194.525029 19.841877      NaN   -6    14 c    0   1.26 196.6049 53.47931  9338.68  7331.16 2.54 2.45  51.8 -0.446    19.79 21.66 02a58194o0659c   0x0000  24.911865
58194.534837 19.549093 0.256629   55    13 c    0   0.95 196.6049 53.47931  9314.46  7289.68 2.56 2.43  62.3 -0.438    19.80 21.62 02a58194o0677c   0x0000  24.363929
58194.547510 20.103715 0.361912   33    11 c    0   1.32 196.6049 53.47931  9371.73  7369.97 2.58 2.47  47.8 -0.438    19.75 21.57 02a58194o0696c   0x0000  23.358104
58194.558506 19.894850 0.325721   40    12 c    0   1.49 196.6049 53.47931  9392.41  7253.32 2.61 2.46  49.1 -0.444    19.77 21.54 02a58194o0714c   0x0000  23.845357
58196.492866 19.631075      NaN   -2    17 c    0   1.72 196.6049 53.47931  1506.17  2241.93 2.62 2.34  46.9 -0.425    18.24 20.29 02a58196o0574c   0x0000  26.713312
58196.496515 18.336727 0.336061  168    52 c    0   0.93 196.6049 53.47931  1480.78  2203.91 2.62 2.36  47.5 -0.440    17.91 19.93 02a58196o0582c  0x81000  55.933899
58196.510444 20.207197      NaN   -2    10 c    0   1.26 196.6049 53.47931  1541.98  2280.52 2.55 2.29  48.7 -0.432    19.81 21.89 02a58196o0612c   0x0000  22.904171
58196.516419 16.379565      NaN  137   294 c    0   0.79 196.6049 53.47931  1564.67  2162.32 2.47 2.29  60.3 -0.448    17.27 19.28 02a58196o0625c 0x400802 294.721226
58224.472872 19.922338      NaN  -17    13 c    0   1.73 196.6049 53.47931  9574.87  2489.10 2.59 2.51 -86.7 -0.412    19.42 21.17 02a58224o0144c   0x2000  24.363929
58251.526298 19.719755      NaN   11    12 c    0   1.93 196.6049 53.47931   664.84  2348.23 2.43 2.34  57.7 -0.432    19.55 21.31 02a58251o0631c   0x0000  23.845357
58251.534122 19.766969      NaN    6    13 c    0   0.77 196.6049 53.47931   664.86  2350.38 2.47 2.36  67.7 -0.430    19.52 21.29 02a58251o0646c   0x0000  24.363929
58251.542794 20.103715      NaN   -1    11 c    0   1.11 196.6049 53.47931   664.61  2354.62 2.48 2.41  66.6 -0.419    19.46 21.26 02a58251o0663c   0x0000  23.358104
58251.550845 20.103715      NaN  -12    11 c    0   3.69 196.6049 53.47931   664.44  2357.41 2.54 2.47  76.1 -0.411    19.40 21.18 02a58251o0678c   0x0000  23.358104
58252.500684 19.766969      NaN   15    10 c    0   1.36 196.6049 53.47931   667.13  2339.95 2.37 2.30  46.0 -0.433    19.59 21.30 02a58252o0549c   0x2000  22.904171
58252.514597 20.207197      NaN   -2    10 c    0   1.56 196.6049 53.47931   666.19  2339.90 2.41 2.28  42.4 -0.440    19.55 21.22 02a58252o0575c   0x2000  22.904171
58252.527476 19.367717      NaN   32    11 c    0   1.17 196.6049 53.47931   665.06  2345.30 2.39 2.28  45.7 -0.440    19.53 21.20 02a58252o0599c 0x402800  23.358104
58252.539603 19.454622      NaN   27    11 c    0   1.64 196.6049 53.47931   664.20  2350.40 2.46 2.31  48.0 -0.444    19.43 21.03 02a58252o0622c 0x402800  23.358104
58256.415119 19.609992      NaN   22    10 c    0   1.72 196.6049 53.47931  9643.05  3881.07 2.69 2.55  66.9 -0.426    19.74 21.73 02a58256o0250c   0x2000  22.904171
58256.418782 20.009244      NaN  -11    12 c    0   1.14 196.6049 53.47931  9618.78  3840.64 2.78 2.60  64.4 -0.422    19.72 21.72 02a58256o0258c   0x2000  23.845357
58256.432013 17.707197 0.043429  300    12 c    0  32.04 196.6049 53.47931  9678.61  3920.62 2.72 2.52  60.6 -0.431    19.77 21.73 02a58256o0286c 0x402801  23.845357
58256.439363 19.816329 0.277746   43    11 c    0   6.09 196.6049 53.47931  9702.33  3805.44 2.96 2.72  51.6 -0.428    19.65 21.72 02a58256o0302c 0x402801  23.358104
58280.354948 16.316441      NaN -200   360 c    0   0.87 196.6049 53.47931  1932.80  3445.34 2.40 2.38  44.8 -0.436    15.91 17.46 02a58280o0240c 0x400802 360.589241
58280.368977 18.786693      NaN   21    30 c    0   1.01 196.6049 53.47931  1920.82  3405.55 2.43 2.38  74.2 -0.415    19.10 20.86 02a58280o0270c  0x80000  36.395069
58280.376413 19.631075      NaN   -4    17 c    0   1.21 196.6049 53.47931  1977.04  3479.18 2.39 2.38 -51.0 -0.403    18.96 20.67 02a58280o0286c   0x0000  26.713312
58280.386808 19.950541      NaN    5    11 c    0   1.99 196.6049 53.47931  2003.23  3364.22 2.45 2.37  24.8 -0.407    19.64 21.53 02a58280o0308c   0x0000  23.358104
58284.370842 15.626990 0.007458 2038    14 c    0 817.31 196.6049 53.47931  9267.90  4129.90 2.78 2.68  50.2 -0.415    19.68 21.65 02a58284o0274c   0x0001  24.911865
58284.385749 19.454622      NaN   18    14 c    0   0.94 196.6049 53.47931  9245.44  4092.09 2.70 2.49  52.9 -0.429    19.61 21.40 02a58284o0304c   0x0000  24.911865
58284.393118 19.609992      NaN    4    16 c    0   0.72 196.6049 53.47931  9302.07  4170.36 2.68 2.49  51.9 -0.429    19.48 21.24 02a58284o0320c   0x0000  26.088331
58284.403019 19.631075      NaN  -21    17 c    0   1.30 196.6049 53.47931  9326.54  4056.41 2.76 2.53  54.4 -0.433    19.60 21.43 02a58284o0341c   0x0000  26.713312
58312.304777 20.009244      NaN   -7    12 c    0   0.70 196.6049 53.47931  1688.66  2486.86 2.41 2.35 -64.1 -0.386    19.64 21.36 02a58312o0133c   0x0000  23.845357
58312.314792 19.868040      NaN    2    13 c    0   0.56 196.6049 53.47931  1667.27  2445.88 2.45 2.34  37.4 -0.413    19.53 21.26 02a58312o0154c   0x0000  24.363929
58312.324876 20.009244      NaN    0    12 c    0   0.68 196.6049 53.47931  1724.60  2517.66 2.48 2.34  39.2 -0.417    19.63 21.38 02a58312o0175c   0x0000  23.845357
58312.334830 19.922338 0.334073   39    12 c    0   1.12 196.6049 53.47931  1748.55  2398.85 2.43 2.38  22.1 -0.401    19.56 21.37 02a58312o0196c   0x0000  23.845357
58316.315252 19.841877      NaN  -19    14 c    0   2.02 196.6049 53.47931  9723.90  1941.16 3.20 3.09 -73.6 -0.379    19.28 21.15 02a58316o0156c  0x80000  24.911865
58316.324752 19.454622      NaN  -12    20 c    0   2.31 196.6049 53.47931  9701.40  1897.92 3.34 3.26  55.7 -0.404    19.06 20.80 02a58316o0176c   0x0000  28.715867
58316.338907 19.631075      NaN    6    15 c    0   4.47 196.6049 53.47931  9769.94  1978.60 3.22 3.20  17.0 -0.376    19.30 21.13 02a58316o0206c   0x0000  25.487272
58316.345989 19.472870      NaN   17    14 c    0   2.89 196.6049 53.47931  9783.11  1860.93 3.34 3.18  47.0 -0.393    19.32 21.20 02a58316o0221c  0x80000  24.911865
58344.250167 18.504094      NaN   54    30 c    0   1.17 196.6049 53.47931   522.64  1240.07 2.74 2.67  66.3 -0.441    18.93 20.42 02a58344o0042c  0x80000  36.395069
58344.258134 19.510313      NaN   -4    19 c    0   0.96 196.6049 53.47931   498.74  1202.39 2.70 2.54  83.6 -0.460    19.16 20.77 02a58344o0059c   0x0000  28.028575
58344.266107 19.197966 0.257148   76    18 c    0   1.76 196.6049 53.47931 10476.87  1231.00 2.74 2.71  60.8 -0.404    19.38 21.07 02a58344o0076c   0x0000  27.360574
58344.267020 19.841877      NaN   -6    14 c    0   0.79 196.6049 53.47931   556.92  1277.70 2.53 2.39 -89.3 -0.453    19.27 20.90 02a58344o0078c   0x0000  24.911865
58344.275078 18.396507 0.116085  159    17 c    0   9.25 196.6049 53.47931 10452.44  1189.70 2.66 2.55 -31.8 -0.401    19.41 21.03 02a58344o0095c 0x400801  26.713312
58344.275993 19.454622      NaN    9    17 c    0   0.99 196.6049 53.47931   581.14  1153.24 2.72 2.46  40.3 -0.476    19.33 20.84 02a58344o0097c   0x0000  26.713312
58344.284308 16.338786      NaN  206   284 c    0   0.14 196.6049 53.47931 10521.04  1272.34 2.67 2.52 -29.6 -0.411    19.09 20.72 02a58344o0114c 0x400802 284.746556
58520.635474 20.207197      NaN   -4    10 c    0   3.37 196.6049 53.47931  2829.34  6256.30 2.46 2.43 -32.6 -0.424    19.89 22.14 02a58520o0214c   0x0000  22.904171
58520.645313 20.207197      NaN    0    10 c    0   1.49 196.6049 53.47931  2805.28  6217.51 2.49 2.35  26.8 -0.435    19.83 22.09 02a58520o0235c   0x0000  22.904171
58520.655405 19.841877      NaN    9    11 c    0   1.79 196.6049 53.47931  2860.41  6292.49 2.70 2.53  45.4 -0.432    19.74 22.01 02a58520o0256c 0x400800  23.358104
58520.665167 19.922338      NaN   -5    13 c    0   3.27 196.6049 53.47931  2880.62  6173.40 2.62 2.49  26.7 -0.426    19.59 21.34 02a58520o0277c   0x0000  24.363929
58576.521196 19.609992      NaN   10    14 c    0   1.13 196.6049 53.47931  6851.50  8182.33 2.50 2.42  50.5 -0.406    19.76 21.80 02a58576o0642c   0x0000  24.911865
58576.540275 19.696897 0.271434   48    12 c    0   1.19 196.6049 53.47931  6823.38  8141.98 2.50 2.45 -60.8 -0.408    19.75 21.76 02a58576o0683c   0x0000  23.845357
58576.551697 16.983968 0.018591  584    10 c    0 173.49 196.6049 53.47931  6881.75  8221.63 2.57 2.45 -54.6 -0.423    19.74 21.76 02a58576o0707c   0x0001  22.904171
58576.560904 20.103715      NaN  -24    11 c    0   1.23 196.6049 53.47931  6903.58  8103.17 2.57 2.41 -49.4 -0.415    19.69 21.71 02a58576o0727c   0x0000  23.358104
58580.497504 20.009244      NaN  -16    12 c    0   1.04 196.6049 53.47931  6084.56  6233.29 2.56 2.28  38.5 -0.388    19.69 21.46 02a58580o0590c   0x2000  23.845357
58580.511591 20.009244      NaN  -10    12 c    0   2.00 196.6049 53.47931  6062.24  6193.98 2.47 2.34  42.4 -0.402    19.62 21.41 02a58580o0620c 0x402800  23.845357
58580.516173 19.816329      NaN   10    11 c    0   0.88 196.6049 53.47931  6117.92  6270.39 2.49 2.34  40.9 -0.405    19.62 21.39 02a58580o0630c   0x2000  23.358104
58580.527470 20.009244      NaN  -20    12 c    0   2.29 196.6049 53.47931  6140.42  6155.25 2.55 2.46  49.0 -0.403    19.58 21.35 02a58580o0654c 0x402800  23.845357
58604.447978 19.922338      NaN  -13    13 c    0   1.29 196.6049 53.47931  4994.30  2355.43 2.46 2.41 -74.0 -0.398    19.53 21.62 02a58604o0390c   0x0000  24.363929
58604.451647 20.009244      NaN   -5    12 c    0   1.92 196.6049 53.47931  4969.84  2315.91 2.42 2.36 -52.3 -0.405    19.55 21.63 02a58604o0398c   0x0000  23.845357
58604.464734 19.719755      NaN   11    12 c    0   1.07 196.6049 53.47931  5026.50  2394.83 2.49 2.42 -58.2 -0.406    19.54 21.51 02a58604o0426c   0x0000  23.845357
58604.472973 19.589310      NaN   17    12 c    0   2.75 196.6049 53.47931  5049.45  2275.07 2.43 2.29 -57.1 -0.405    19.55 21.51 02a58604o0444c 0x400800  23.845357
58612.373240 20.071303      NaN    4    10 c    0   1.68 196.6049 53.47931  6341.78  5195.67 2.49 2.27  36.3 -0.400    19.75 21.56 02a58612o0307c   0x2000  22.904171
58612.375069 19.696897 0.226195   48    10 c    0   5.04 196.6049 53.47931  6322.06  5156.63 2.42 2.27  41.9 -0.402    19.77 21.56 02a58612o0311c 0x402801  22.904171
58612.380588 19.302877      NaN   30    13 c    0   2.10 196.6049 53.47931  6377.82  5233.98 2.41 2.24  42.1 -0.405    19.79 21.55 02a58612o0323c 0x402800  24.363929
58612.397200 19.674510      NaN   19    10 c    0   2.09 196.6049 53.47931  6394.11  5118.88 2.51 2.28  34.2 -0.402    19.76 21.55 02a58612o0359c   0x2000  22.904171
58636.377175 20.009244      NaN    3    11 c    0   1.05 196.6049 53.47931  5086.45  1395.41 2.46 2.38 -83.7 -0.405    19.66 21.55 02a58636o0316c   0x0000  23.358104
58636.382334 20.207197      NaN   -7    10 c    0   1.46 196.6049 53.47931  5066.84  1361.69 2.46 2.24 -58.5 -0.417    19.69 21.54 02a58636o0327c   0x0000  22.904171
58636.385897 19.922338      NaN    0    13 c    0   1.02 196.6049 53.47931  5116.51  1438.64 2.34 2.27 -80.0 -0.416    19.68 21.53 02a58636o0334c   0x0000  24.363929
58636.397336 19.510313      NaN   12    15 c    0   0.91 196.6049 53.47931  5146.82  1314.67 2.43 2.29 -68.4 -0.415    19.66 21.51 02a58636o0358c   0x0000  25.487272
58664.264439 19.841877      NaN   -6    14 c    0   1.01 196.6049 53.47931  1418.27  9841.04 2.58 2.03 -47.1 -0.446    19.72 21.34 02a58664o0060c   0x0000  24.911865
58664.267717 19.743105      NaN   10    12 c    0   0.68 196.6049 53.47931  1398.06  9801.91 2.55 2.09 -46.8 -0.446    19.73 21.44 02a58664o0067c  0x80000  23.845357
58664.273332 19.549093 0.236888   55    12 c    0   2.38 196.6049 53.47931  1450.00  9876.34 2.58 2.06 -44.5 -0.452    19.76 21.48 02a58664o0079c 0x400800  23.845357
58664.285545 20.009244      NaN   -6    12 c    0   0.91 196.6049 53.47931  1464.42  9753.12 2.39 2.16 -47.4 -0.459    19.73 21.49 02a58664o0105c   0x0000  23.845357
58668.333564 19.652575      NaN    8    14 c    0   1.07 196.6049 53.47931  3751.89  3155.00 2.57 2.25  42.7 -0.410    19.65 21.46 02a58668o0202c   0x0000  24.911865
58668.336875 19.454622      NaN   27    11 c    0   4.02 196.6049 53.47931  3730.82  3116.19 2.56 2.29  46.6 -0.416    19.63 21.45 02a58668o0209c   0x0000  23.358104
58668.342572 19.652575      NaN   17    11 c    0   1.31 196.6049 53.47931  3789.83  3192.24 2.55 2.30  43.7 -0.407    19.63 21.42 02a58668o0221c   0x0000  23.358104
58668.354257 20.009244      NaN  -14    12 c    0   0.73 196.6049 53.47931  3808.37  3074.65 2.61 2.37  42.6 -0.407    19.54 21.37 02a58668o0246c   0x0000  23.845357
58692.272520 19.674510      NaN   13    12 c    0   0.81 196.6049 53.47931  5687.92  3532.88 2.62 2.55  39.2 -0.389    19.57 21.56 02a58692o0083c  0x80000  23.845357
58692.275502 19.950541      NaN    8    10 c    0   1.65 196.6049 53.47931  5667.86  3495.89 2.54 2.40 -56.6 -0.391    19.60 21.55 02a58692o0089c   0x0000  22.904171
58692.280834 20.103715      NaN   -8    11 c    0   1.49 196.6049 53.47931  5727.02  3567.88 2.49 2.42  48.0 -0.392    19.64 21.52 02a58692o0100c   0x0000  23.358104
58692.291229 19.609992      NaN   10    14 c    0   0.53 196.6049 53.47931  5747.74  3450.46 2.48 2.43  65.3 -0.393    19.61 21.46 02a58692o0122c   0x0000  24.911865
58700.274553 19.766969      NaN   -3    15 c    0   1.02 196.6049 53.47931   495.37  5592.39 2.39 2.22 -48.4 -0.390    19.47 20.90 02a58700o0095c   0x0000  25.487272
58700.277795 19.212347      NaN   15    20 c    0   0.40 196.6049 53.47931   475.84  5555.28 2.43 2.24 -47.4 -0.400    19.41 20.88 02a58700o0102c   0x0000  28.715867
58700.283835 19.841877      NaN   -8    14 c    0   1.06 196.6049 53.47931   533.22  5631.31 2.49 2.33 -45.8 -0.386    19.38 20.89 02a58700o0115c   0x0000  24.911865
58700.289018 19.351140      NaN   -7    22 c    0   1.32 196.6049 53.47931 10159.26  5623.73 2.73 2.66  16.3 -0.405    18.93 20.46 02a58700o0126c 0x400100  30.143010
58700.292303 18.978793      NaN  -64    31 c    0   0.76 196.6049 53.47931 10139.12  5583.08 2.78 2.65  21.2 -0.406    18.17 19.47 02a58700o0133c  0x80000  37.223662
58700.294154 19.089302      NaN   12    24 c    0   0.89 196.6049 53.47931   553.53  5513.10 2.54 2.39 -49.8 -0.388    18.72 20.19 02a58700o0137c  0x80000  31.632278
58700.297851 19.436675      NaN   19    14 c    0   1.76 196.6049 53.47931 10196.88  5665.90 2.70 2.63   8.0 -0.402    19.41 20.93 02a58700o0145c   0x0000  24.911865
58700.309989 19.271854      NaN   29    14 c    0   1.37 196.6049 53.47931 10216.80  5552.02 2.67 2.59 -24.8 -0.416    19.46 21.01 02a58700o0171c   0x0000  24.911865
58708.271971 18.921935      NaN    5    31 c    0   1.22 196.6049 53.47931  1011.62  1678.20 2.57 2.34  51.9 -0.425    17.99 18.84 02a58708o0102c  0x80000  37.223662
58708.275199 18.136622      NaN   64    46 c    0   0.82 196.6049 53.47931   990.38  1644.37 2.46 2.27  58.0 -0.416    17.98 18.87 02a58708o0109c   0x0000  50.404375
58708.280888 18.214605      NaN   62    42 c    0   0.95 196.6049 53.47931  1055.90  1713.12 2.65 2.30 -56.9 -0.410    17.97 18.83 02a58708o0121c  0x80000  46.782486
58708.291111 18.237955      NaN   19    55 c    0   0.60 196.6049 53.47931  1073.19  1611.61 2.46 2.27  59.2 -0.431    17.90 18.72 02a58708o0142c   0x0000  58.733304
58816.597841 16.135373 0.010211 1276    12 c    0 478.34 196.6049 53.47931  4242.98  5399.04 2.68 2.42  36.0 -0.377    19.49 21.28 02a58816o0883c 0x400801  23.845357
58816.601687 19.922338      NaN    3    12 c    0   1.17 196.6049 53.47931  4262.35  5437.09 2.87 2.64  29.5 -0.368    19.42 21.28 02a58816o0891c   0x0000  23.845357
58816.607948 19.491430      NaN   10    16 c    0   1.10 196.6049 53.47931  4203.04  5358.84 2.68 2.52  36.4 -0.385    19.49 21.31 02a58816o0904c   0x0000  26.088331
58816.619101 20.009244      NaN   -4    12 c    0   1.34 196.6049 53.47931  4179.79  5474.34 2.72 2.56  29.3 -0.376    19.52 21.35 02a58816o0926c   0x0000  23.845357
58872.582815 20.171596 0.350237   31    10 c    0   2.33 196.6049 53.47931  6835.62  7414.58 2.66 2.50  51.5 -0.405    19.84 22.07 02a58872o0820c   0x0000  22.904171
58872.586838 16.528968 0.012227  888    10 c    0 245.55 196.6049 53.47931  6850.96  7451.47 2.99 2.45  42.9 -0.389    19.79 22.08 02a58872o0827c 0x400801  22.904171
58872.594039 19.589310 0.225341   53    11 c    0   2.08 196.6049 53.47931  6795.20  7371.50 2.68 2.52  50.6 -0.407    19.83 22.07 02a58872o0840c   0x0000  23.358104
58872.604043 19.367717      NaN   32    11 c    0   1.21 196.6049 53.47931  6776.61  7494.25 2.69 2.48  49.7 -0.408    19.83 22.04 02a58872o0860c   0x0000  23.358104
58884.591939 19.384550      NaN   31    11 c    0   0.95 196.6049 53.47931  7467.64  3532.50 2.44 2.30 -79.1 -0.397    19.80 21.98 02a58884o0823c   0x0000  23.358104
58884.594771 19.491430      NaN   25    11 c    0   0.60 196.6049 53.47931  7485.35  3574.45 2.43 2.27 -77.5 -0.399    19.84 21.99 02a58884o0829c   0x0000  23.358104
58884.600171 19.743105      NaN   10    12 c    0   0.95 196.6049 53.47931  3164.02  7077.35 2.30 2.13 -46.7 -0.419    19.90 21.99 02a58884o0840c   0x0000  23.845357
58884.610146 19.719755      NaN   11    12 c    0   0.91 196.6049 53.47931  3176.48  6959.47 2.27 2.18 -36.9 -0.415    19.86 21.98 02a58884o0861c   0x0000  23.845357
58900.515520 19.894850      NaN    7    11 c    0   1.52 196.6049 53.47931   414.89  4965.28 2.55 2.46 -68.3 -0.392    19.75 21.94 02a58900o0622c 0x400800  23.358104
58900.518612 19.631075      NaN   18    11 c    0   1.19 196.6049 53.47931   436.30  5006.40 2.91 2.88  74.4 -0.371    19.54 21.92 02a58900o0628c   0x0000  23.358104
58900.523464 19.491430      NaN   22    12 c    0   3.75 196.6049 53.47931   381.01  4921.45 2.97 2.73 -55.6 -0.379    19.57 21.91 02a58900o0637c 0x400800  23.845357
58900.534828 20.009244      NaN    0    12 c    0   2.01 196.6049 53.47931   360.28  5037.98 3.23 2.94 -59.0 -0.378    19.46 21.77 02a58900o0660c   0x0000  23.845357
58900.549270 18.356290 0.078963  165    12 c    0   8.86 196.6049 53.47931   479.22  5599.13 3.02 2.58 -57.3 -0.374    19.43 21.70 02a58900o0690c   0x0001  23.845357
58900.551099 19.950541      NaN    8    10 c    0   6.97 196.6049 53.47931   460.69  5564.57 2.99 2.55 -54.4 -0.365    19.62 21.83 02a58900o0694c 0x400801  22.904171
58900.555456 19.922338      NaN    9    10 c    0   1.67 196.6049 53.47931 10063.89  4940.42 3.00 2.91  40.6 -0.386    19.64 21.90 02a58900o0703c   0x0000  22.904171
58900.564627 19.472870      NaN   29    10 c    0   1.97 196.6049 53.47931   535.26  5522.89 3.22 2.94 -50.4 -0.371    19.50 21.82 02a58900o0721c   0x0000  22.904171
58932.474063 19.529530      NaN   20    12 c    0   0.87 196.6049 53.47931  1213.46  7217.72 2.48 2.17 -53.9 -0.438    19.73 21.75 02a58932o0547c   0x0000  23.845357
58932.477281 19.922338 0.306233   39    11 c    0   2.07 196.6049 53.47931  1193.64  7178.28 2.57 2.21 -54.1 -0.445    19.74 21.75 02a58932o0554c   0x0000  23.358104
58932.484158 19.367717      NaN   32    11 c    0   1.34 196.6049 53.47931  1250.51  7253.99 2.71 2.38 -52.6 -0.427    19.67 21.75 02a58932o0569c   0x0000  23.358104
58932.494724 19.510313      NaN   24    11 c    0   2.68 196.6049 53.47931  1269.51  7134.06 2.55 2.27 -50.2 -0.427    19.72 21.69 02a58932o0592c 0x400800  23.358104
58956.442466 19.894850      NaN    7    11 c    0   1.40 196.6049 53.47931  8809.56  9938.30 3.08 2.69 -60.1 -0.379    19.71 21.78 02a58956o0451c   0x0000  23.358104
58956.445323 19.529530      NaN   20    12 c    0   1.13 196.6049 53.47931  8791.27  9897.71 3.12 2.75 -60.2 -0.376    19.72 21.78 02a58956o0457c   0x0000  23.845357
58956.452033 19.652575      NaN   20    10 c    0   3.61 196.6049 53.47931  8843.92  9977.63 3.06 2.70 -60.6 -0.377    19.70 21.77 02a58956o0471c   0x0000  22.904171
58956.463040 20.009244      NaN  -17    12 c    0   2.71 196.6049 53.47931  8860.92  9861.22 3.12 2.72 -60.5 -0.378    19.68 21.75 02a58956o0494c  0x80000  23.845357
58960.483704 19.436675      NaN   25    12 c    0   0.94 196.6049 53.47931  8802.54  9931.30 2.69 2.60  67.3 -0.395    19.73 21.60 02a58960o0483c   0x0000  23.845357
58960.486485 19.631075      NaN   15    12 c    0   1.09 196.6049 53.47931  8783.79  9890.53 2.70 2.61  78.6 -0.390    19.72 21.61 02a58960o0489c   0x0000  23.845357
58960.496187 19.841877      NaN   -3    14 c    0   1.40 196.6049 53.47931  8838.76  9974.12 2.71 2.52 -60.2 -0.386    19.78 21.59 02a58960o0510c   0x0000  24.911865
58960.508326 20.009244      NaN    0    12 c    0   1.23 196.6049 53.47931  8854.24  9854.88 2.70 2.54 -58.9 -0.390    19.75 21.53 02a58960o0536c   0x0000  23.845357
58964.406634 19.569016      NaN   24    10 c    0   2.11 196.6049 53.47931  4360.97  5283.88 2.39 2.36   2.4 -0.397    19.58 21.48 02a58964o0374c   0x0000  22.904171
58964.409836 20.009244      NaN  -15    12 c    0   2.69 196.6049 53.47931  4341.17  5243.30 2.59 2.55  23.1 -0.389    19.47 21.38 02a58964o0381c   0x0000  23.845357
58964.415782 19.454622      NaN   12    16 c    0   1.33 196.6049 53.47931  4398.77  5322.56 2.47 2.41 -52.1 -0.403    19.19 20.99 02a58964o0394c   0x0000  26.088331
58964.429126 19.367717      NaN   23    14 c    0   2.51 196.6049 53.47931  4419.54  5208.78 2.69 2.67 -34.4 -0.389    19.21 21.14 02a58964o0423c  0x80000  24.911865
58984.369922 19.051202 0.112318   87     9 c    0   4.24 196.6049 53.47931  8234.24  5145.44 2.40 2.36  65.2 -0.398    19.78 21.69 02a58984o0217c   0x2000  22.485574
58984.373123 19.922338      NaN    0    13 c    0   5.78 196.6049 53.47931  8214.97  5106.07 2.43 2.36  66.9 -0.398    19.78 21.69 02a58984o0224c 0x402801  24.363929
58984.379989 19.549093 0.197407   55    10 c    0   3.33 196.6049 53.47931  8271.73  5183.64 2.45 2.36  47.0 -0.392    19.81 21.68 02a58984o0239c 0x402800  22.904171
58984.390088 19.401649      NaN   30    11 c    0   0.93 196.6049 53.47931  8291.95  5067.04 2.45 2.33  46.8 -0.393    19.81 21.65 02a58984o0261c   0x2000  23.358104
58988.377164 19.791368      NaN   11    11 c    0   1.82 196.6049 53.47931  3015.31  1521.99 2.45 2.38 -79.1 -0.411    19.70 21.63 02a58988o0310c   0x0000  23.358104
58988.380371 20.137125      NaN    5     9 c    0   1.83 196.6049 53.47931  2993.59  1479.86 2.48 2.39  47.3 -0.411    19.69 21.63 02a58988o0317c   0x0000  22.485574
58988.385892 19.589310      NaN   20    11 c    0   2.37 196.6049 53.47931  3056.29  1559.04 2.52 2.37 -58.8 -0.413    19.66 21.62 02a58988o0329c 0x400800  23.358104
58988.396077 19.454622      NaN   24    12 c    0   1.10 196.6049 53.47931  3075.86  1438.99 2.49 2.37 -64.1 -0.408    19.69 21.58 02a58988o0351c   0x0000  23.845357
58992.330918 19.549093      NaN   19    12 c    0   0.74 196.6049 53.47931  3014.99  1527.75 2.39 2.31  41.1 -0.413    19.77 21.77 02a58992o0209c   0x0000  23.845357
58992.334118 17.747755 0.033812  289     9 c    0  59.15 196.6049 53.47931  2994.66  1489.04 2.37 2.33  36.5 -0.418    19.76 21.77 02a58992o0216c   0x0001  22.485574
58992.340075 20.009244      NaN    9     9 c    0   0.97 196.6049 53.47931  3055.67  1564.75 2.41 2.32  34.0 -0.413    19.78 21.76 02a58992o0229c   0x0000  22.485574
58992.350596 19.841877      NaN   12    10 c    0   2.55 196.6049 53.47931  3077.62  1444.34 2.47 2.39  50.6 -0.407    19.69 21.73 02a58992o0252c   0x0000  22.904171
59011.349557 19.766969 0.241275   45    10 c    0   3.67 196.6049 53.47931  6296.78  5184.65 2.94 2.74  37.3 -0.378    19.62 21.83 02a59011o0231c 0x402800  22.904171
59011.355103 16.913780 0.017428  623    10 c    0 144.80 196.6049 53.47931  6280.26  5152.08 2.80 2.64  28.7 -0.391    19.64 21.81 02a59011o0243c 0x402801  22.904171
59011.366631 19.894850      NaN   10    10 c    0   1.52 196.6049 53.47931  6337.84  5221.48 2.77 2.58  34.0 -0.384    19.67 21.80 02a59011o0268c   0x2000  22.904171
59011.372220 19.401649      NaN   30    11 c    0   2.44 196.6049 53.47931  6356.35  5108.19 3.02 2.98  68.9 -0.373    19.52 21.79 02a59011o0280c 0x402800  23.358104
59015.303067 20.103715      NaN    6     9 c    0   1.53 196.6049 53.47931  6300.36  5188.34 2.47 2.39  53.6 -0.405    19.77 21.82 02a59015o0133c   0x0000  22.485574
59015.306315 20.103715      NaN  -20    11 c    0   1.45 196.6049 53.47931  6277.77  5147.22 2.77 2.36  36.1 -0.388    19.77 21.80 02a59015o0140c   0x0000  23.358104
59015.313224 20.103715      NaN    6     9 c    0   1.11 196.6049 53.47931  6337.98  5226.33 2.53 2.45  38.9 -0.400    19.75 21.82 02a59015o0155c   0x0000  22.485574
