         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57449.537396 19.696897      NaN  -15    16 c    0   3.70 196.6049 53.47931   232.17  4388.45 4.33 3.56 -41.9 -0.401    19.42 21.12 02a57449o0648c   0x0000  26.088331
57449.548540 19.302877      NaN   15    18 c    0   5.21 196.6049 53.47931   999.14  6312.29 4.01 3.54 -54.5 -0.444    19.39 21.08 02a57449o0670c  0x80001  27.360574
57449.567659 19.026525      NaN   20    23 c    0   1.65 196.6049 53.47931 10452.78  6354.98 4.14 3.27  80.3 -0.440    19.36 21.06 02a57449o0704c  0x80000  30.880431
57458.489274 19.589310      NaN    5    16 c    0   2.70 196.6049 53.47931  1159.99  3125.40 4.75 3.87 -31.4 -0.408    19.63 21.73 02a57458o0569c 0x400600  26.088331
57458.511328 19.089302      NaN   36    16 c    0   2.94 196.6049 53.47931  1471.23  3725.21 4.29 3.77 -42.0 -0.428    19.64 21.69 02a57458o0609c  0x80000  26.088331
57458.524203 19.367717 0.283962   65    17 c    0   2.17 196.6049 53.47931   889.05  6432.93 4.27 3.77 -53.4 -0.416    19.59 21.66 02a57458o0631c  0x80000  26.713312
57458.526957 19.491430 0.280794   58    15 c    0   4.98 196.6049 53.47931   991.71  6311.22 4.24 3.73 -52.8 -0.424    19.59 21.65 02a57458o0636c  0x80000  25.487272
57458.535753 18.857417      NaN   50    18 c    0   2.51 196.6049 53.47931 10347.99  6442.35 4.37 3.44  88.9 -0.418    19.60 21.64 02a57458o0651c  0x80000  27.360574
57458.548984 19.128787 0.254679   81    19 c    0   3.09 196.6049 53.47931 10445.20  6353.38 4.45 3.48  86.1 -0.425    19.59 21.65 02a57458o0675c   0x0000  28.028575
57488.421056 19.256669      NaN   24    16 c    0   4.54 196.6049 53.47931  1304.72  3222.16 4.61 3.69 -30.7 -0.446    19.56 21.56 02a57488o0362c  0x80000  26.088331
57488.423565 19.076453      NaN   34    17 c    0   3.77 196.6049 53.47931   727.11  6340.37 4.29 3.62 -54.3 -0.431    19.57 21.57 02a57488o0367c  0x80000  26.713312
57488.425116 19.089302      NaN   33    17 c    0   2.33 196.6049 53.47931  1598.54  3812.74 4.47 3.63 -33.9 -0.440    19.59 21.58 02a57488o0370c   0x0000  26.713312
57488.445889 18.978793 0.186793   93    16 c    0   6.31 196.6049 53.47931 10189.11  6332.96 4.39 3.42  78.1 -0.457    19.58 21.59 02a57488o0408c  0x80001  26.088331
57488.454203 19.491430      NaN    4    18 c    0   4.24 196.6049 53.47931   968.10  6305.57 4.32 3.73 -50.3 -0.440    19.51 21.53 02a57488o0423c  0x80000  27.360574
57488.456320 18.836735 0.163885  106    16 c    0   6.41 196.6049 53.47931 10428.83  6349.73 4.50 3.48  77.3 -0.445    19.54 21.54 02a57488o0427c 0x400201  26.088331
57512.351701 18.933071      NaN   43    18 c    0   3.38 196.6049 53.47931  2521.32  4378.77 4.38 3.84 -35.1 -0.430    19.51 21.54 02a57512o0283c   0x0000  27.360574
57512.365512 19.318728      NaN   17    17 c    0   2.73 196.6049 53.47931  2535.60  4410.73 4.36 3.88 -38.4 -0.419    19.52 21.58 02a57512o0311c  0x80000  26.713312
57512.368534 19.436675      NaN    7    18 c    0   2.35 196.6049 53.47931  8034.81  6191.86 4.21 3.66  82.0 -0.432    19.54 21.61 02a57512o0317c  0x80000  27.360574
57512.379422 19.549093      NaN    4    17 c    0   2.16 196.6049 53.47931  8053.38  6077.14 4.47 4.32  33.1 -0.388    19.42 21.59 02a57512o0339c  0x80000  26.713312
57512.380393 19.419021 0.315214   62    18 c    0   2.90 196.6049 53.47931  1263.57  7150.15 4.49 3.85 -55.1 -0.421    19.51 21.60 02a57512o0341c 0x400100  27.360574
57515.352078 18.910912 0.197407   99    18 c    0   5.34 196.6049 53.47931   764.55  8788.20 4.63 3.79 -55.1 -0.435    19.58 21.70 02a57515o0281c  0x80001  27.360574
57515.356282 19.271854      NaN   14    19 c    0   3.58 196.6049 53.47931   286.47  1734.60 5.72 3.83 -31.4 -0.438    19.60 21.70 02a57515o0289c  0x80000  28.028575
57515.363640 19.549093 0.335591   55    17 c    0   3.72 196.6049 53.47931   741.40  8756.93 4.59 3.78 -54.1 -0.435    19.59 21.71 02a57515o0304c  0x80000  26.713312
57515.364607 19.256669      NaN   24    16 c    0   3.29 196.6049 53.47931 10221.97  8770.55 4.86 3.67  82.7 -0.424    19.60 21.72 02a57515o0306c 0x400100  26.088331
57515.366541 19.026525 0.207388   89    17 c    0   4.31 196.6049 53.47931   802.11  8834.33 4.55 3.76 -57.5 -0.442    19.60 21.71 02a57515o0310c  0x80000  26.713312
57515.380358 18.978793      NaN   36    19 c    0   3.15 196.6049 53.47931   827.34  8716.75 4.44 3.73 -55.4 -0.437    19.60 21.68 02a57515o0338c   0x0000  28.028575
57515.381325 19.076453      NaN   37    16 c    0   4.69 196.6049 53.47931 10274.89  8858.89 4.69 3.69  80.6 -0.425    19.60 21.69 02a57515o0340c  0x80000  26.088331
57515.389796 19.038793      NaN   40    16 c    0   6.34 196.6049 53.47931 10297.50  8744.58 4.69 3.60  80.8 -0.433    19.60 21.67 02a57515o0355c   0x0001  26.088331
57515.390764 19.287255      NaN   19    17 c    0   4.66 196.6049 53.47931   784.97  8776.51 4.30 3.69 -56.6 -0.441    19.60 21.66 02a57515o0357c   0x0000  26.713312
