         MJD         m       dm      uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    duJy_new  uJy_offset
57414.591625 18.910912      NaN   -58.12    33 o    0    2.88 196.6049 53.47931  1027.89  3493.53  4.47 3.53 -39.5 -0.453    18.74 19.84 02a57414o0632o   0x0000   41.073248      -24.12
57414.606701 18.431198 0.331361   129.88    47 o    0    1.55 196.6049 53.47931  1313.87  4090.22  4.29 3.52 -41.3 -0.457    18.76 19.86 02a57414o0655o 0x400100   52.981239      -24.12
57414.611290 19.128787      NaN   -38.12    27 o    0    2.34 196.6049 53.47931  9618.11  4645.12  3.61 3.13  82.0 -0.474    18.75 19.84 02a57414o0662o   0x0000   36.428172      -24.12
57414.624405 18.255804      NaN    60.88    32 o    0    3.65 196.6049 53.47931   154.64  4609.49  4.49 3.52 -44.8 -0.433    18.75 19.85 02a57414o0682o  0x80000   40.274207      -24.12
57414.628338 19.051202      NaN   -26.12    29 o    0    2.59 196.6049 53.47931  9695.36  4396.64  3.56 3.13  81.1 -0.494    18.74 19.82 02a57414o0688o  0x80000   37.934308      -24.12
57414.641222 18.526952      NaN    17.88    33 o    0    4.22 196.6049 53.47931   241.34  4345.18  4.52 3.47 -45.8 -0.437    18.75 19.86 02a57414o0708o  0x80000   41.073248      -24.12
57418.572528 19.351140      NaN   -48.12    22 o    0    7.53 196.6049 53.47931  1209.54  3522.73  4.21 3.48 -40.5 -0.454    19.15 20.62 02a57418o0600o   0x2001   32.893947      -24.12
57418.600091 18.330283 0.141338   144.88    22 o    0    8.81 196.6049 53.47931  1500.17  4126.86  4.10 3.55 -44.4 -0.448    19.19 20.72 02a57418o0640o  0x82001   32.893947      -24.12
57418.610630 18.967180      NaN     9.88    20 o    0    5.81 196.6049 53.47931   956.79  6061.37  3.99 3.51 -65.0 -0.450    19.16 20.74 02a57418o0656o   0x2001   31.591324      -24.12
57418.619265 18.826541      NaN    16.88    22 o    0    3.56 196.6049 53.47931   335.70  4642.14  4.41 3.70 -44.8 -0.410    19.15 20.75 02a57418o0669o 0x402100   32.893947      -24.12
57418.620606 18.640491      NaN    36.88    22 o    0    3.75 196.6049 53.47931  1054.80  6328.78  4.15 3.68 -64.4 -0.437    19.11 20.75 02a57418o0671o 0x402100   32.893947      -24.12
57418.637081 18.675237      NaN    26.88    24 o    0    4.25 196.6049 53.47931   252.39  4349.68  4.45 3.59 -47.2 -0.417    19.17 20.72 02a57418o0695o  0x82000   34.263854      -24.12
57419.567505 18.889197      NaN     7.88    23 o    0    3.10 196.6049 53.47931 10349.15  2894.81  3.90 3.61  56.6 -0.487    19.23 20.88 02a57419o0563o  0x80000   33.570995      -24.12
57419.574857 18.921935 0.276974    73.88    25 o    0    5.77 196.6049 53.47931   878.69  2941.46  4.86 3.70 -38.0 -0.434    19.24 20.93 02a57419o0574o  0x80001   34.971584      -24.12
57419.599657 19.384550 0.322328    39.88    19 o    0    5.20 196.6049 53.47931  9477.39  4114.89  3.75 3.44  77.1 -0.456    19.29 21.02 02a57419o0610o   0x0001   30.967914      -24.12
57419.601494 19.038793      NaN    -2.12    22 o    0    4.35 196.6049 53.47931  1172.89  3545.64  4.55 3.67 -39.8 -0.438    19.30 21.02 02a57419o0613o   0x0000   32.893947      -24.12
57419.613065 19.089302      NaN     5.88    18 o    0    2.96 196.6049 53.47931  9701.96  4397.53  3.68 3.28  81.9 -0.463    19.30 20.99 02a57419o0630o   0x0000   30.364646      -24.12
57419.637716 18.967180 0.265659    69.88    23 o    0    5.36 196.6049 53.47931   255.89  4349.92  4.56 3.59 -47.2 -0.419    19.30 21.00 02a57419o0667o   0x0001   33.570995      -24.12
57440.508835 17.949472      NaN    68.88    49 o    0    1.92 196.6049 53.47931  1285.57  2958.76  4.53 3.43 -30.4 -0.490    18.29 18.99 02a57440o0529o  0x80000   54.763233      -24.12
57440.512388 18.481707      NaN   -30.12    49 o    0    1.31 196.6049 53.47931  9883.49  4076.34  3.83 3.12  77.7 -0.492    18.28 18.96 02a57440o0536o  0x80000   54.763233      -24.12
57440.513914 13.692588 0.003947 12080.88    44 o    0 2027.99 196.6049 53.47931  1566.46  3554.88  4.28 3.39 -34.2 -0.500    18.29 18.97 02a57440o0539o 0x400801   50.338968      -24.12
57440.530954 18.403357      NaN   -22.12    52 o    0    1.86 196.6049 53.47931   429.62  4071.77  4.60 3.51 -43.2 -0.450    18.26 18.96 02a57440o0571o  0x80000   57.463134      -24.12
57440.541942 18.504094      NaN   -21.12    47 o    0    1.49 196.6049 53.47931  9665.30  4381.79  3.85 3.13  80.2 -0.506    18.24 18.91 02a57440o0592o   0x0000   52.981239      -24.12
57440.542972 18.356290 0.315851   140.88    48 o    0    2.29 196.6049 53.47931   209.18  4332.41  4.67 3.45 -44.7 -0.455    18.27 18.95 02a57440o0594o  0x80000   53.870323      -24.12
57441.476651 17.217448      NaN  -173.12   157 o    0    1.61 196.6049 53.47931 10513.36  3265.55  3.93 3.24  71.9 -0.528    18.13 18.72 02a57441o0480o 0x400b00  158.893083      -24.12
57441.489159 17.870951      NaN    59.88    58 o    0    1.60 196.6049 53.47931  1061.18  3342.79  4.41 3.42 -33.3 -0.479    18.17 18.78 02a57441o0502o   0x0000   62.944513      -24.12
57441.510995 18.280067      NaN    -0.12    51 o    0    1.51 196.6049 53.47931  9659.71  4491.41  3.75 3.04  79.0 -0.505    18.22 18.83 02a57441o0542o 0x400100   56.559807      -24.12
57441.512507 18.417189      NaN   -48.12    52 o    0    3.20 196.6049 53.47931  1356.79  3928.03  4.17 3.41 -38.4 -0.475    18.22 18.85 02a57441o0545o  0x80000   57.463134      -24.12
57441.528398 18.079051      NaN    29.88    53 o    0    2.45 196.6049 53.47931   196.42  4445.43  4.38 3.41 -45.3 -0.424    18.25 18.90 02a57441o0576o  0x80000   58.369613      -24.12
57441.529905 18.481707      NaN   -67.12    49 o    0    1.41 196.6049 53.47931  9663.73  4379.49  3.71 2.93  83.2 -0.503    18.23 18.87 02a57441o0579o  0x80000   54.763233      -24.12
57441.530924 17.736543      NaN   105.88    54 o    0    2.23 196.6049 53.47931   207.76  4329.19  4.41 3.41 -44.5 -0.441    18.25 18.91 02a57441o0581o  0x80000   59.279100      -24.12
57466.463563 18.738855      NaN   -10.12    34 o    0    2.82 196.6049 53.47931  1121.49  3037.56  4.65 3.47 -31.1 -0.491    18.73 19.94 02a57466o0516o   0x0000   41.880923      -24.12
57466.481119 18.729535      NaN    -9.12    34 o    0    4.70 196.6049 53.47931   896.70  6505.27  4.19 3.30 -60.8 -0.506    18.73 20.00 02a57466o0549o   0x0000   41.880923      -24.12
57466.482761 18.120615      NaN    63.88    39 o    0    4.59 196.6049 53.47931  1426.69  3617.03  4.48 3.45 -35.7 -0.503    18.72 19.94 02a57466o0552o  0x80000   46.032724      -24.12
57466.501996 18.163834 0.170852   172.88    31 o    0    9.52 196.6049 53.47931   289.05  4133.37  4.87 3.48 -42.7 -0.454    18.75 19.99 02a57466o0588o   0x0001   39.484322      -24.12
