         MJD         m       dm      uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    duJy_new  uJy_offset
58152.655368 18.550302      NaN    23.88    30 o    0    1.25 196.6049 53.47931  9641.11   622.13  3.34 2.32  49.1 -0.425    19.06 19.82 02a58152o0951o  0x80000   38.704156      -24.12
58152.655825 19.102305      NaN   -22.12    27 o    0    1.24 196.6049 53.47931  3123.41 10160.31  2.56 2.09  30.7 -0.467    19.04 19.74 02a58152o0952o   0x0000   36.428172      -24.12
58152.665135 19.014394      NaN   -61.12    30 o    0    0.73 196.6049 53.47931  9665.49   504.04  3.23 2.29  49.1 -0.435    19.00 19.68 02a58152o0972o   0x0000   38.704156      -24.12
58156.615031 19.436675      NaN   -17.12    18 o    0    1.09 196.6049 53.47931  1415.13  3283.65  2.61 2.20  51.0 -0.443    19.35 20.59 02a58156o0689o   0x0000   30.364646      -24.12
58156.624747 19.491430      NaN   -20.12    18 o    0    2.24 196.6049 53.47931  1392.37  3247.63  2.45 1.96  53.9 -0.452    19.45 20.59 02a58156o0710o   0x0000   30.364646      -24.12
58156.635638 18.910912      NaN    11.88    21 o    0    0.73 196.6049 53.47931  1462.33  3320.79  2.72 2.28  50.6 -0.438    19.25 20.54 02a58156o0731o   0x0000   32.233705      -24.12
58156.645575 19.287255      NaN   -11.12    19 o    0    0.77 196.6049 53.47931  1473.58  3201.94  2.55 2.09  51.6 -0.446    19.36 20.57 02a58156o0752o   0x0000   30.967914      -24.12
58162.599655 19.631075 0.276756    26.88    13 o    0    6.69 196.6049 53.47931  6800.11  7341.03  4.01 3.00 -85.4 -0.409    19.43 21.45 01a58162o0633o 0x800001   27.694976      -24.12
58162.609379 16.400000 0.014115   975.88    13 o    0  161.46 196.6049 53.47931  6823.82  7417.72  3.98 3.02 -85.1 -0.409    19.31 21.33 01a58162o0654o 0xc00801   27.694976      -24.12
58162.619277 15.611649      NaN   488.88   518 o    0    2.01 196.6049 53.47931  6766.95  7380.71  3.99 2.97 -87.1 -0.394    16.20 18.08 01a58162o0675o 0xc00802  518.576910      -24.12
58162.629146 19.128787 0.361912    56.88    27 o    0    3.54 196.6049 53.47931  6750.56  7537.20  4.01 3.07 -86.8 -0.404    18.78 20.78 01a58162o0696o 0xc00100   36.428172      -24.12
58176.548944 19.014394      NaN   -12.12    26 o    0    0.81 196.6049 53.47931  1398.50   916.25  2.23 1.87  41.8 -0.530    18.93 19.49 02a58176o0006o   0x0000   35.693301      -24.12
58176.561155 17.940462      NaN    70.88    49 o    0    1.50 196.6049 53.47931  4633.66 10514.52  2.27 1.93  31.9 -0.500    19.04 19.61 02a58176o0032o   0x0000   54.763233      -24.12
58176.562336 19.197966      NaN   -14.12    22 o    0    0.95 196.6049 53.47931  1450.44   989.15  2.14 1.78  39.3 -0.568    19.04 19.54 02a58176o0034o   0x0000   32.893947      -24.12
58176.570488 19.014394      NaN   -49.12    30 o    0    0.67 196.6049 53.47931  1472.95   869.72  2.31 1.85  42.7 -0.547    18.84 19.32 02a58176o0050o   0x0000   38.704156      -24.12
58176.579186 18.702047      NaN   -26.12    40 o    0    1.06 196.6049 53.47931  4691.15 10472.07  2.29 1.97  28.9 -0.524    18.95 19.51 02a58176o0066o   0x0000   46.882958      -24.12
58180.503995 13.495083      NaN  1424.88  4357 o    0    1.02 196.6049 53.47931  1735.18  8435.82 44.13 6.60  -6.0 -0.136    15.62 16.34 02a58180o0621o 0xc00802 4357.068626      -24.12
58180.506732 15.093563      NaN   645.88   887 o    0    0.85 196.6049 53.47931  1758.54  8475.19  2.29 2.15  -0.1 -0.447    16.18 16.16 02a58180o0627o 0xc00802  887.337034      -24.12
58188.504369 16.971031      NaN   200.88   122 o    0    1.58 196.6049 53.47931  1006.33   973.10  2.29 1.91  47.1 -0.570    17.37 18.55 02a58188o0600o   0x0000  124.426732      -24.12
58188.507689 18.237955      NaN    -2.12    54 o    0    0.69 196.6049 53.47931  9491.55  9495.46  2.20 1.98  29.7 -0.468    18.20 19.42 02a58188o0607o   0x0000   59.279100      -24.12
58188.520023 18.317510      NaN   -99.12    57 o    0    1.16 196.6049 53.47931  4267.39 10525.64  2.28 1.92  26.0 -0.484    19.15 20.39 02a58188o0632o 0x400800   62.024283      -24.12
58188.520479 18.978793      NaN   -24.12    31 o    0    0.67 196.6049 53.47931  1043.89  1013.01  2.32 1.93  39.7 -0.542    18.76 19.98 02a58188o0633o   0x0000   39.484322      -24.12
58188.530205 19.351140      NaN   -12.12    18 o    0    1.40 196.6049 53.47931  1056.71   890.38  2.38 1.99  36.6 -0.533    19.11 20.36 02a58188o0652o   0x0000   30.364646      -24.12
58188.543685 18.079051      NaN   -30.12    71 o    0    0.50 196.6049 53.47931  4339.35 10485.73  2.28 1.93  32.3 -0.489    18.90 19.93 02a58188o0680o   0x0000   75.093353      -24.12
58206.467466 18.311179      NaN    21.88    42 o    0    3.36 196.6049 53.47931  9418.97  9139.89  5.86 3.76 -82.6 -0.309    18.49 19.55 01a58206o0449o  0x80000   48.600532      -24.12
58206.470215 18.649074      NaN   -29.12    42 o    0    2.55 196.6049 53.47931  9443.45  9189.74  5.91 3.76 -82.7 -0.303    18.48 19.55 01a58206o0455o  0x80000   48.600532      -24.12
58206.484254 18.226218      NaN    47.88    38 o    0    2.99 196.6049 53.47931  9383.55  9170.42  5.80 3.71 -81.9 -0.308    18.50 19.56 01a58206o0485o  0x80000   45.188624      -24.12
58206.490692 18.847027      NaN  -102.12    35 o    0    1.83 196.6049 53.47931  9363.97  9314.43  5.81 3.74 -82.4 -0.306    18.50 19.58 01a58206o0499o 0x400100   42.696741      -24.12
58214.466335 19.334813      NaN    -5.12    16 o    0    1.71 196.6049 53.47931  7456.97  6317.12  3.52 2.88  89.7 -0.423    19.14 20.64 01a58214o0088o   0x2000   29.223479      -24.12
58214.468623 19.529530 0.310210    31.88    16 o    0    6.90 196.6049 53.47931  7470.39  6365.43  3.67 2.94 -87.8 -0.415    19.14 20.63 01a58214o0093o  0x82001   29.223479      -24.12
58214.482652 19.472870      NaN   -16.12    17 o    0    2.22 196.6049 53.47931  7416.26  6345.87  3.60 2.87 -89.4 -0.426    19.14 20.59 01a58214o0123o 0x402100   29.782742      -24.12
58214.489086 19.491430      NaN   -17.12    17 o    0    2.71 196.6049 53.47931  7398.46  6487.99  3.70 2.94  89.7 -0.421    19.15 20.60 01a58214o0137o  0x82000   29.782742      -24.12
58220.459058 19.674510      NaN   -23.12    16 o    0    0.70 196.6049 53.47931  5230.89 10121.97  2.28 2.04  30.7 -0.481    19.66 20.99 02a58220o0508o   0x0000   29.223479      -24.12
58220.460882 19.841877      NaN   -28.12    14 o    0    1.09 196.6049 53.47931  2068.27   515.39  2.20 1.91  45.6 -0.484    19.61 20.94 02a58220o0512o   0x0000   28.178214      -24.12
58220.464534 19.549093      NaN   -14.12    15 o    0    0.76 196.6049 53.47931  2044.04   480.34  2.15 1.87  49.7 -0.471    19.68 20.94 02a58220o0520o   0x0000   28.688181      -24.12
58220.465447 19.609992      NaN   -14.12    14 o    0    1.25 196.6049 53.47931  2102.27   556.02  2.20 1.90  44.4 -0.491    19.63 20.93 02a58220o0522o   0x0000   28.178214      -24.12
58220.466378 19.510313      NaN   -39.12    19 o    0    0.81 196.6049 53.47931  5206.49 10084.24  2.25 1.98  28.5 -0.477    19.65 20.96 02a58220o0524o   0x0000   30.967914      -24.12
58220.477706 19.631075      NaN   -28.12    17 o    0    1.90 196.6049 53.47931  5265.13 10162.07  2.15 1.91  25.7 -0.488    19.69 20.98 02a58220o0548o   0x0000   29.782742      -24.12
58220.478163 19.631075      NaN   -34.12    17 o    0    0.51 196.6049 53.47931  2128.69   437.05  2.26 1.86  43.1 -0.486    19.69 20.92 02a58220o0549o   0x0000   29.782742      -24.12
58220.486485 19.454622      NaN   -21.12    19 o    0    0.73 196.6049 53.47931  5276.48 10044.25  2.24 1.87  15.7 -0.479    19.72 21.00 02a58220o0567o   0x0000   30.967914      -24.12
58222.534393 19.318728      NaN    -7.12    17 o    0    2.21 196.6049 53.47931  6938.58 10067.66  4.18 3.35 -84.6 -0.392    19.14 20.79 01a58222o0265o  0x80000   29.782742      -24.12
58222.541095 19.419021 0.245166    37.88    14 o    0    6.64 196.6049 53.47931  3755.13   458.53  3.11 2.94  18.3 -0.421    19.17 20.78 01a58222o0279o   0x0001   28.178214      -24.12
58222.546170 19.631075      NaN   -57.12    17 o    0    2.31 196.6049 53.47931  6987.64 10148.91  3.81 3.04 -83.5 -0.419    19.18 20.71 01a58222o0289o  0x80000   29.782742      -24.12
58222.553344 19.569016      NaN   -18.12    16 o    0    1.88 196.6049 53.47931  3802.80   537.11  3.17 3.03  33.6 -0.420    19.15 20.77 01a58222o0304o   0x0000   29.223479      -24.12
58222.560209 19.454622      NaN   -15.12    17 o    0    6.44 196.6049 53.47931  6959.75 10117.21  4.49 3.54 -81.2 -0.380    19.07 20.74 01a58222o0319o  0x80001   29.782742      -24.12
58222.560667 19.384550      NaN    -2.12    14 o    0    3.67 196.6049 53.47931  3763.36   484.58  3.31 3.17  22.3 -0.414    19.16 20.79 01a58222o0320o  0x80000   28.178214      -24.12
58222.570223 19.212347      NaN    -9.12    20 o    0    4.41 196.6049 53.47931  6960.56 10262.37  4.51 3.54 -82.1 -0.374    19.02 20.61 01a58222o0340o  0x80000   31.591324      -24.12
58222.580469 19.696897      NaN   -46.12    16 o    0    4.12 196.6049 53.47931  3788.19   660.88  3.51 3.30  19.6 -0.402    19.00 20.61 01a58222o0361o  0x80000   29.223479      -24.12
58232.425485 19.256669      NaN   -35.12    24 o    0    0.77 196.6049 53.47931  2217.74  2587.22  2.12 2.05  38.2 -0.445    19.28 20.12 02a58232o0345o   0x0000   34.263854      -24.12
58232.440819 19.510313      NaN   -45.12    19 o    0    0.59 196.6049 53.47931  2195.15  2548.00  2.22 2.09  42.7 -0.449    19.20 20.11 02a58232o0378o   0x0000   30.967914      -24.12
58232.445844 19.569016      NaN   -25.12    18 o    0    0.94 196.6049 53.47931  2263.39  2622.02  2.19 2.10  34.8 -0.437    19.24 20.11 02a58232o0389o   0x0000   30.364646      -24.12
58232.458131 19.351140      NaN   -24.12    22 o    0    0.65 196.6049 53.47931  2289.64  2505.67  2.15 2.02  41.0 -0.440    19.28 20.09 02a58232o0415o   0x0000   32.893947      -24.12
58234.409511 14.053451      NaN -2299.12  2894 o    0    1.30 196.6049 53.47931  9609.95  8165.32  4.04 3.05 -87.4 -0.442    14.86 15.17 01a58234o0292o 0xc00802 2894.103317      -24.12
58234.423923 15.298121      NaN   361.88   791 o    0    1.15 196.6049 53.47931  9638.36  8259.42  4.92 3.42 -86.2 -0.407    16.20 16.77 01a58234o0323o 0xc00802  791.377920      -24.12
58234.429877 16.538793      NaN   180.88   225 o    0    1.08 196.6049 53.47931  9583.66  8209.06  4.69 3.11 -83.1 -0.403    17.31 17.74 01a58234o0336o 0xc00802  226.325013      -24.12
58234.441087 14.449747      NaN    59.88  1981 o    0    0.98 196.6049 53.47931  9569.19  8370.11  5.16 3.29 -86.6 -0.442    15.32 15.65 01a58234o0360o 0xc00802 1981.150931      -24.12
58244.407163 19.302877      NaN   -24.12    23 o    0    0.44 196.6049 53.47931   220.03  1581.10  1.88 1.71  42.8 -0.556    19.21 20.33 02a58244o0391o   0x0000   33.570995      -24.12
58244.422995 15.067477      NaN   876.88   837 o    0    0.91 196.6049 53.47931   210.73  1538.82  3.02 2.19  -4.1 -0.372    15.40 16.16 02a58244o0425o 0x400802  837.357159      -24.12
58244.426651 17.740268      NaN   -93.12    97 o    0    0.90 196.6049 53.47931 10188.38  1529.40  2.37 2.09  57.1 -0.500    17.99 18.91 02a58244o0433o   0x0000  100.035052      -24.12
58244.428492 17.373350      NaN  -134.12   136 o    0    0.97 196.6049 53.47931   268.98  1613.72  2.20 1.89  46.5 -0.566    17.16 18.01 02a58244o0437o   0x0000  138.181083      -24.12
58244.438763 17.116274      NaN   159.88   111 o    0    1.34 196.6049 53.47931   293.59  1495.95  2.11 1.81  39.3 -0.559    17.05 17.68 02a58244o0459o  0x80000  113.661831      -24.12
58244.440134 16.069351      NaN  -680.12   452 o    0    1.34 196.6049 53.47931 10225.93  1572.78  2.49 2.09  55.6 -0.357    15.53 15.99 02a58244o0462o 0x400802  452.661034      -24.12
58244.441045 15.817510      NaN   191.88   498 o    0    1.71 196.6049 53.47931 10167.81  1487.99  2.36 2.01  50.9 -0.459    15.99 16.41 02a58244o0464o 0x400802  498.600052      -24.12
58244.447180 15.075783      NaN   883.88   826 o    0    1.14 196.6049 53.47931 10254.09  1456.45  2.52 2.10  48.1 -0.478    14.86 15.42 02a58244o0477o 0x400802  826.361913      -24.12
58246.417049 19.002397      NaN     3.88    21 o    0    2.01 196.6049 53.47931  7590.04  7289.39  3.54 3.18 -87.4 -0.427    18.78 20.53 01a58246o0015o   0x0000   32.233705      -24.12
58246.420713 19.051202      NaN   -44.12    29 o    0    1.25 196.6049 53.47931  7621.23  7341.80  3.34 3.20  82.8 -0.427    18.62 20.29 01a58246o0023o  0x80000   37.934308      -24.12
58246.440289 19.256669      NaN   -46.12    24 o    0    3.91 196.6049 53.47931  7574.58  7321.81  3.50 3.25 -86.6 -0.423    18.69 20.40 01a58246o0058o   0x0000   34.263854      -24.12
58246.447100 19.609992      NaN   -20.12    16 o    0    3.12 196.6049 53.47931  7573.62  7461.55  3.38 2.92 -87.8 -0.426    19.21 20.83 01a58246o0071o   0x0000   29.223479      -24.12
58248.407832 19.696897      NaN   -26.12    16 o    0    0.64 196.6049 53.47931  1919.80  1173.46  2.02 1.93  62.7 -0.491    19.58 20.81 02a58248o0399o   0x0000   29.223479      -24.12
58248.410572 19.841877      NaN   -34.12    14 o    0    1.70 196.6049 53.47931  1905.58  1133.49  1.94 1.88  88.9 -0.488    19.59 20.76 02a58248o0405o   0x0000   28.178214      -24.12
58248.428519 19.631075      NaN   -39.12    17 o    0    0.90 196.6049 53.47931  1966.84  1211.52  1.88 1.79  69.7 -0.506    19.48 20.56 02a58248o0438o   0x0000   29.782742      -24.12
58248.436312 18.606822      NaN    28.88    26 o    0    0.73 196.6049 53.47931  1989.04  1091.64  1.99 1.85 -87.9 -0.479    19.29 20.34 02a58248o0453o   0x0000   35.693301      -24.12
58250.403630 19.089302      NaN    -3.12    21 o    0    4.08 196.6049 53.47931  7145.04  8346.18  3.66 3.01 -87.4 -0.418    18.88 20.51 01a58250o0361o   0x2000   32.233705      -24.12
58250.406840 19.302877      NaN   -28.12    23 o    0    1.81 196.6049 53.47931  7171.77  8397.77  3.92 3.08 -85.6 -0.409    18.55 20.14 01a58250o0368o 0x402100   33.570995      -24.12
58250.407758 18.921935      NaN    -4.12    26 o    0    1.44 196.6049 53.47931  7114.45  8325.72  3.84 3.07 -85.3 -0.414    18.79 20.35 01a58250o0370o   0x2000   35.693301      -24.12
58250.420361 18.417189      NaN  -396.12    52 o    0   39.74 196.6049 53.47931  7103.64  8488.82  3.94 3.10 -84.3 -0.409    18.19 19.72 01a58250o0397o 0x402801   57.463134      -24.12
58254.430464 19.183773      NaN     4.88    16 o    0    3.02 196.6049 53.47931  7162.41   491.73  3.19 3.13  83.4 -0.430    19.25 20.80 01a58254o0375o   0x0000   29.223479      -24.12
58254.437902 19.696897      NaN   -24.12    16 o    0    4.54 196.6049 53.47931   803.33 10255.95  3.26 2.87 -87.6 -0.468    19.13 20.72 01a58254o0390o   0x0000   29.223479      -24.12
58254.439275 19.128787      NaN     8.88    16 o    0    2.30 196.6049 53.47931  7203.32   564.28  3.24 3.19 -69.9 -0.424    19.20 20.71 01a58254o0393o  0x80000   29.223479      -24.12
58254.456568 19.766969      NaN   -40.12    15 o    0    2.93 196.6049 53.47931   859.22 10362.05  3.24 2.80 -86.3 -0.485    19.12 20.66 01a58254o0430o  0x80000   28.688181      -24.12
58254.458401 19.063754      NaN    13.88    16 o    0    1.87 196.6049 53.47931  7181.60   552.19  3.22 3.05  82.6 -0.437    19.13 20.63 01a58254o0434o   0x0000   29.223479      -24.12
58254.469269 18.889197      NaN    19.88    19 o    0    1.59 196.6049 53.47931  7181.63   701.88  3.34 3.20  65.3 -0.428    19.05 20.58 01a58254o0457o   0x0000   30.967914      -24.12
58254.470199 19.569016      NaN   -30.12    18 o    0    2.37 196.6049 53.47931   824.34 10322.94  3.35 2.90 -86.4 -0.466    19.08 20.62 01a58254o0459o  0x80000   30.364646      -24.12
58254.475699 19.102305      NaN     1.88    19 o    0    1.95 196.6049 53.47931   813.93 10462.21  3.31 2.89 -86.7 -0.455    19.11 20.55 01a58254o0471o  0x80000   30.967914      -24.12
58258.434170 19.419021      NaN   -13.12    17 o    0    3.21 196.6049 53.47931  8295.59  9103.22  4.08 3.14 -85.4 -0.387    19.13 20.68 01a58258o0390o  0x80000   29.782742      -24.12
58258.440207 19.454622      NaN   -12.12    16 o    0    3.63 196.6049 53.47931  8333.48  9165.36  3.96 3.19 -84.7 -0.383    19.15 20.65 01a58258o0401o  0x80000   29.223479      -24.12
58258.456106 19.155932      NaN     3.88    17 o    0    3.86 196.6049 53.47931  8310.53  9136.66  4.00 3.06 -83.6 -0.391    19.13 20.56 01a58258o0434o   0x0000   29.782742      -24.12
58258.468965 19.128787      NaN    -3.12    20 o    0    3.42 196.6049 53.47931  8320.12  9295.88  4.07 3.25 -82.6 -0.399    18.99 20.46 01a58258o0461o  0x80000   31.591324      -24.12
58260.444109 19.169763      NaN   -12.12    22 o    0    0.57 196.6049 53.47931  1853.10  3914.03  2.21 1.93 -44.4 -0.435    19.40 20.43 02a58260o0444o   0x0000   32.893947      -24.12
58260.447762 19.631075      NaN   -31.12    17 o    0    1.20 196.6049 53.47931  1826.18  3874.05  2.13 1.96 -38.2 -0.431    19.41 20.42 02a58260o0452o   0x0000   29.782742      -24.12
58260.464793 18.806434      NaN     0.88    28 o    0    0.72 196.6049 53.47931  1885.15  3977.40  2.09 1.92 -38.2 -0.439    18.89 19.88 02a58260o0484o   0x0000   37.175418      -24.12
58260.479756 18.816441      NaN   -59.12    36 o    0    0.74 196.6049 53.47931  1904.14  3854.42  2.06 1.93 -40.7 -0.439    18.06 19.16 02a58260o0513o   0x0000   43.520245      -24.12
58262.374168 16.624774      NaN  -254.12   271 o    0    0.89 196.6049 53.47931  7600.24  8208.90  3.04 2.92 -80.3 -0.520    16.83 18.46 01a58262o0286o 0x402802  272.101106      -24.12
58262.387661 15.466341      NaN   103.88   745 o    0    0.99 196.6049 53.47931  7626.01  8296.64  3.44 2.79 -86.9 -0.616    16.68 18.82 01a58262o0315o 0x402802  745.401242      -24.12
58262.393616 16.239791      NaN   102.88   344 o    0    1.15 196.6049 53.47931  7576.19  8226.08  3.38 2.84 -85.2 -0.436    16.90 18.82 01a58262o0328o 0x402802  344.868108      -24.12
58262.404896 17.555452      NaN  -123.12   115 o    0    1.46 196.6049 53.47931  7568.70  8382.68  3.45 2.84 -85.1 -0.436    17.24 18.29 01a58262o0352o  0x82000  117.571305      -24.12
58264.379503 18.356290      NaN  -114.12    55 o    0    0.96 196.6049 53.47931   820.81  3070.38  1.98 1.91  31.2 -0.485    17.83 18.01 02a58264o0312o   0x0000   60.191459      -24.12
58264.394488 18.343209      NaN    10.88    44 o    0    0.88 196.6049 53.47931   813.19  3028.89  1.97 1.87  34.8 -0.489    17.93 18.50 02a58264o0344o   0x0000   50.338968      -24.12
58264.399972 18.711133      NaN   -13.12    36 o    0    1.11 196.6049 53.47931   869.88  3101.94  2.28 2.15  27.4 -0.445    18.13 18.65 02a58264o0356o   0x0000   43.520245      -24.12
58264.410795 17.326476      NaN    14.88   129 o    0    0.95 196.6049 53.47931   882.83  2985.94  2.40 2.20  33.5 -0.516    17.14 17.51 02a58264o0379o  0x80000  131.297417      -24.12
58266.360948 15.440013      NaN  -423.12   807 o    0    0.99 196.6049 53.47931  9314.32  7012.06  3.32 3.12  78.4 -0.529    16.19 17.86 01a58266o0254o 0x402802  807.370430      -24.12
58266.365071 15.181447      NaN  -637.12  1024 o    0    0.97 196.6049 53.47931  9343.27  7065.67  3.61 3.30  76.4 -0.453    16.75 18.70 01a58266o0263o 0x402802 1024.291956      -24.12
58266.377662 17.718109      NaN  -100.12    99 o    0    1.10 196.6049 53.47931  9297.97  7035.80  3.95 3.02 -84.3 -0.427    17.69 18.77 01a58266o0290o   0x2000  101.975545      -24.12
58266.385925 18.757738      NaN   -43.12    38 o    0    2.14 196.6049 53.47931  9288.80  7185.25  4.00 2.96 -85.4 -0.425    18.46 19.49 01a58266o0308o   0x2000   45.188624      -24.12
58270.364961 18.816441      NaN    -0.12    28 o    0    1.32 196.6049 53.47931 10140.79  9047.78  3.71 2.76 -80.7 -0.425    18.74 19.88 01a58270o0281o   0x0000   37.175418      -24.12
58270.369177 18.729535      NaN   -45.12    39 o    0    1.26 196.6049 53.47931 10155.11  9101.04  3.74 2.69 -84.2 -0.439    18.71 19.82 01a58270o0290o   0x0000   46.032724      -24.12
58270.380927 18.806434      NaN     3.88    27 o    0    2.67 196.6049 53.47931 10114.63  9067.61  4.19 2.87 -83.8 -0.416    18.70 19.83 01a58270o0315o   0x0000   36.428172      -24.12
58270.388793 19.014394      NaN   -33.12    30 o    0    0.80 196.6049 53.47931   171.17  9326.05  2.98 2.55 -88.2 -0.478    18.70 19.84 01a58270o0332o   0x0000   38.704156      -24.12
58270.391097 18.910912      NaN   -37.12    33 o    0    1.77 196.6049 53.47931 10111.59  9223.51  4.22 2.96 -89.0 -0.413    18.60 19.66 01a58270o0337o  0x80000   41.073248      -24.12
58270.400575 18.693037      NaN     6.88    30 o    0    0.99 196.6049 53.47931   211.39  9407.43  3.01 2.61  88.9 -0.476    18.64 19.68 01a58270o0357o   0x0000   38.704156      -24.12
58270.408433 18.615142      NaN   -17.12    41 o    0    1.18 196.6049 53.47931   166.36  9355.02  3.08 2.60 -89.2 -0.459    18.09 19.08 01a58270o0374o  0x80000   47.738996      -24.12
58270.417349 18.693037      NaN   -23.12    40 o    0    0.90 196.6049 53.47931   158.56  9500.46  3.24 2.64  89.4 -0.463    18.19 19.17 01a58270o0393o  0x80000   46.882958      -24.12
58272.378843 18.590371      NaN   -11.12    40 o    0    0.63 196.6049 53.47931  9627.53  2301.19  2.28 2.06  60.3 -0.484    18.89 19.76 02a58272o0309o   0x2000   46.882958      -24.12
58272.393342 14.808780      NaN  1122.88  1061 o    0    0.97 196.6049 53.47931  9606.30  2259.66  2.75 2.56  54.1 -0.438    15.79 17.06 02a58272o0340o 0x402802 1061.281778      -24.12
58272.398828 13.747123      NaN  3846.88  2547 o    0    0.82 196.6049 53.47931  9674.61  2340.03  3.09 2.28 -45.8 -0.454    16.52 17.25 02a58272o0352o 0x402802 2547.117393      -24.12
58272.410165 19.142275      NaN   -16.12    24 o    0    0.70 196.6049 53.47931  9689.31  2226.27  2.30 2.00  44.5 -0.464    19.16 19.93 02a58272o0376o   0x2000   34.263854      -24.12
58274.353403 19.510313      NaN   -35.12    19 o    0    0.69 196.6049 53.47931   688.70  2338.92  2.30 2.25  49.3 -0.454    19.41 20.78 02a58274o0249o   0x0000   30.967914      -24.12
58274.354465 19.334813      NaN     0.88    14 o    0   12.19 196.6049 53.47931  7235.50  7266.00  3.60 3.26 -84.2 -0.419    19.16 20.90 01a58274o0258o  0x80001   28.178214      -24.12
58274.356794 19.367717      NaN    -7.12    16 o    0   17.08 196.6049 53.47931  7262.48  7313.01  3.44 3.14 -82.6 -0.418    19.18 20.90 01a58274o0263o   0x0001   29.223479      -24.12
58274.362321 19.212347      NaN     5.88    15 o    0    0.87 196.6049 53.47931   705.74  2312.31  2.25 2.19  45.5 -0.458    19.45 20.86 02a58274o0267o   0x0000   28.688181      -24.12
58274.368980 19.491430 0.299513    33.88    16 o    0    5.78 196.6049 53.47931  7219.69  7278.58  3.71 3.04 -86.4 -0.417    19.20 20.86 01a58274o0289o   0x0001   29.223479      -24.12
58274.376839 19.766969      NaN   -35.12    15 o    0    3.12 196.6049 53.47931  7210.67  7426.07  3.32 2.89 -86.3 -0.425    19.23 20.89 01a58274o0306o   0x0000   28.688181      -24.12
58274.377848 19.816329      NaN   -17.12    12 o    0    1.13 196.6049 53.47931   648.19  2298.68  2.35 2.08  37.6 -0.470    19.53 20.87 02a58274o0298o   0x0000   27.239892      -24.12
58274.379223 19.922338      NaN   -48.12    13 o    0    0.62 196.6049 53.47931   729.87  2367.74  2.05 1.90  33.9 -0.491    19.59 20.87 02a58274o0301o   0x0000   27.694976      -24.12
58274.393386 19.549093      NaN   -11.12    14 o    0    0.77 196.6049 53.47931   623.38  2396.02  2.26 2.01  39.6 -0.459    19.53 20.83 02a58274o0331o   0x0000   28.178214      -24.12
58276.389209 15.324812      NaN   729.88   646 o    0    0.74 196.6049 53.47931 10244.49  2935.41  2.42 2.39  54.7 -0.431    15.27 16.22 02a58276o0271o 0xc00802  646.462692      -24.12
58276.391037 15.651777      NaN  -224.12   664 o    0    1.24 196.6049 53.47931   380.01  2927.43  2.46 2.24  38.4 -0.448    15.32 16.27 02a58276o0275o 0xc00802  664.450157      -24.12
58276.409291 14.711929      NaN -1248.12  1578 o    0    1.23 196.6049 53.47931 10324.61  2901.09  2.62 2.19  51.2 -0.469    14.13 14.91 02a58276o0314o 0xc00802 1578.189473      -24.12
58278.337998 19.631075      NaN   -31.12    17 o    0    3.40 196.6049 53.47931  9581.09  7929.10  4.15 2.97 -83.5 -0.395    19.30 21.03 01a58278o0220o   0x2000   29.782742      -24.12
58278.351537 19.719755      NaN   -22.12    15 o    0    4.63 196.6049 53.47931  9624.83  8016.28  4.37 3.37 -78.3 -0.356    19.22 20.99 01a58278o0249o  0x82000   28.688181      -24.12
58278.368816 19.063754      NaN    13.88    16 o    0    5.52 196.6049 53.47931  9595.15  8002.21  4.20 3.05 -84.6 -0.387    19.25 21.02 01a58278o0286o   0x2001   29.223479      -24.12
58282.342239 19.334813      NaN    -5.12    16 o    0    4.14 196.6049 53.47931  8329.14  7426.13  3.49 2.97 -86.1 -0.428    19.23 20.87 01a58282o0161o   0x2000   29.223479      -24.12
58282.355381 19.367717      NaN    -1.12    14 o    0    6.35 196.6049 53.47931  8352.15  7463.66  3.48 2.88 -81.2 -0.423    19.24 20.84 01a58282o0189o   0x2001   28.178214      -24.12
58282.362309 19.766969      NaN   -29.12    15 o    0    3.54 196.6049 53.47931  8292.82  7390.30  3.44 2.86 -81.5 -0.430    19.25 20.87 01a58282o0204o   0x2000   28.688181      -24.12
58282.370797 19.076453      NaN    15.88    15 o    0    6.23 196.6049 53.47931  8269.72  7506.09  3.80 2.92 -84.5 -0.414    19.26 20.87 01a58282o0222o   0x2001   28.688181      -24.12
58286.345227 19.038793      NaN    12.88    17 o    0    5.83 196.6049 53.47931  7654.04   152.78  3.62 3.01 -11.0 -0.414    19.27 20.84 01a58286o0181o   0x0001   29.782742      -24.12
58286.352720 19.609992 0.354952    27.88    17 o    0    8.07 196.6049 53.47931  7595.40    76.03  3.39 2.99 -13.3 -0.417    19.26 20.84 01a58286o0197o   0x0001   29.782742      -24.12
58286.357393 15.811810 0.010106  1694.88    16 o    0  445.61 196.6049 53.47931  1361.90  9942.80  2.72 2.66 -69.1 -0.515    19.23 20.85 01a58286o0207o   0x0001   29.223479      -24.12
58286.360633 19.419021      NaN   -16.12    18 o    0    0.95 196.6049 53.47931  1385.78  9982.48  2.58 2.47 -43.3 -0.534    19.26 20.83 01a58286o0214o   0x0000   30.364646      -24.12
58286.363861 19.367717 0.283962    40.88    17 o    0    7.32 196.6049 53.47931  7588.69   197.02  3.47 2.93 -10.5 -0.421    19.27 20.78 01a58286o0221o 0x400801   29.782742      -24.12
