tid,mjd,fid,diffmaglim
"ztf",59671.33225690015,2,20.5851
"ztf",59671.3697453998,2,20.6749
"ztf",59671.42819439992,1,20.7858
"ztf",59671.43060189998,1,20.7719
"ztf",59674.32981480006,2,20.5597
"ztf",59674.330300900154,2,20.5546
"ztf",59674.410138899926,1,20.3241
"ztf",59674.415034700185,1,20.3953
"ztf",59676.30210650014,1,20.1188
"ztf",59676.32226849999,1,20.0947
"ztf",59676.349074100144,2,19.7969
"ztf",59676.371388900094,2,19.7779
"ztf",59678.24620370008,2,20.3509
"ztf",59678.26067129988,2,20.4686
"ztf",59678.304803200066,1,20.4225
"ztf",59678.347071799915,1,20.4437
"ztf",59680.23943290021,2,19.8128
"ztf",59682.21756940009,1,19.7087
"ztf",59682.284791700076,2,19.897
"ztf",59695.281979199965,1,18.2102
"ztf",59722.28603010019,1,20.4529
"ztf",59724.22037040023,1,20.6609
"ztf",59724.26508100005,2,20.4851
"ztf",59726.18537040008,2,20.5746
"ztf",59726.304803200066,1,20.6355
"ztf",59736.23978010006,1,20.088
"ztf",59736.24074070016,1,20.145
"ztf",59738.18430559989,1,19.9277
"ztf",59738.20172449993,1,19.707
"ztf",59740.20123839984,2,20.0785
"ztf",59740.26648150012,1,19.7385
"ztf",59742.29942130018,1,19.0505
"ztf",59742.32636569999,1,19.0187
"ztf",59747.30439809989,1,19.6474
